Gen	theta_1Jp	theta_2Me	theta_3MoN	theta_4MoS	theta_5Si	theta_6JpMeMoNMoSSi	theta_7JpMeMoNMoS	theta_8JpMeMoN	theta_9JpMe	tau_6JpMeMoNMoSSi	tau_7JpMeMoNMoS	tau_8JpMeMoN	tau_9JpMe	lnL
2	0.002134	0.000564	0.001980	0.010194	0.001831	0.003403	0.019723	0.002768	0.000433	0.000691	0.000263	0.000243	0.000235	-10385.948
4	0.002134	0.000564	0.001980	0.010095	0.001831	0.003503	0.019723	0.002768	0.000435	0.000679	0.000263	0.000243	0.000232	-10370.622
6	0.002134	0.000564	0.001980	0.010095	0.001831	0.003289	0.019723	0.002561	0.000435	0.000706	0.000263	0.000244	0.000232	-10406.427
8	0.002386	0.000630	0.002215	0.011290	0.002048	0.003619	0.022058	0.002051	0.000486	0.000798	0.000294	0.000278	0.000259	-10403.971
10	0.002386	0.000630	0.002215	0.011290	0.002048	0.003321	0.026407	0.002051	0.000486	0.000843	0.000292	0.000278	0.000259	-10434.454
12	0.002386	0.000630	0.002215	0.011290	0.002048	0.003490	0.030441	0.002051	0.000486	0.000816	0.000290	0.000278	0.000259	-10420.216
14	0.002201	0.000581	0.001426	0.010969	0.001888	0.003218	0.028070	0.001891	0.000449	0.000753	0.000267	0.000257	0.000239	-10411.899
16	0.002085	0.000532	0.001306	0.010049	0.001730	0.002939	0.025717	0.001302	0.000411	0.000691	0.000245	0.000235	0.000219	-10429.405
18	0.002085	0.000532	0.001306	0.010049	0.001730	0.002763	0.025717	0.001302	0.000411	0.000719	0.000245	0.000235	0.000219	-10429.925
20	0.002278	0.000582	0.002164	0.010982	0.001891	0.003115	0.028103	0.001234	0.000449	0.000770	0.000268	0.000260	0.000239	-10444.625
22	0.002278	0.000582	0.002164	0.010982	0.001891	0.003213	0.027134	0.001631	0.000474	0.000755	0.000268	0.000252	0.000227	-10432.096
24	0.002004	0.000512	0.001904	0.009659	0.001663	0.002611	0.023865	0.001187	0.000417	0.000699	0.000235	0.000226	0.000199	-10412.725
26	0.002004	0.000512	0.001904	0.009659	0.001663	0.002319	0.023080	0.001030	0.000417	0.000758	0.000235	0.000230	0.000199	-10402.491
28	0.002004	0.000512	0.001904	0.009156	0.001663	0.002415	0.023080	0.001438	0.000417	0.000737	0.000235	0.000230	0.000199	-10412.552
30	0.002300	0.000588	0.002186	0.010944	0.001909	0.002985	0.026498	0.002166	0.000522	0.000805	0.000270	0.000256	0.000210	-10387.850
32	0.002300	0.000588	0.002186	0.010333	0.001909	0.003610	0.027646	0.002155	0.000490	0.000821	0.000270	0.000256	0.000224	-10384.379
34	0.002051	0.000524	0.001949	0.009532	0.001702	0.003093	0.024651	0.001921	0.000437	0.000752	0.000241	0.000228	0.000199	-10391.564
36	0.002404	0.000614	0.002284	0.011170	0.001995	0.003712	0.028887	0.001388	0.000538	0.000868	0.000282	0.000267	0.000222	-10387.296
38	0.002076	0.000530	0.001431	0.009647	0.001723	0.003125	0.025470	0.001199	0.000464	0.000762	0.000244	0.000231	0.000192	-10382.154
40	0.002076	0.000530	0.001431	0.008991	0.001723	0.003239	0.025470	0.002312	0.000464	0.000744	0.000244	0.000212	0.000192	-10380.319
42	0.002076	0.000530	0.001431	0.008991	0.001723	0.003239	0.025470	0.002312	0.000464	0.000744	0.000244	0.000212	0.000192	-10389.190
44	0.001878	0.000480	0.001294	0.007403	0.001559	0.002944	0.022316	0.002091	0.000420	0.000671	0.000221	0.000192	0.000174	-10405.168
46	0.001878	0.000480	0.001294	0.007403	0.001559	0.002833	0.022316	0.001756	0.000420	0.000689	0.000221	0.000192	0.000174	-10399.977
48	0.001878	0.000480	0.001294	0.007403	0.001559	0.002755	0.024955	0.001756	0.000420	0.000702	0.000218	0.000192	0.000174	-10386.963
50	0.001843	0.000471	0.001183	0.007263	0.001529	0.002734	0.024880	0.001058	0.000511	0.000683	0.000213	0.000200	0.000170	-10405.493
52	0.001843	0.000471	0.001183	0.007263	0.001529	0.002605	0.025184	0.000883	0.000511	0.000707	0.000213	0.000205	0.000170	-10373.579
54	0.001871	0.000471	0.001183	0.007263	0.001529	0.002805	0.025593	0.000883	0.000511	0.000671	0.000213	0.000205	0.000170	-10371.544
56	0.001983	0.000499	0.001254	0.007696	0.001621	0.003070	0.039198	0.001625	0.000542	0.000696	0.000222	0.000212	0.000181	-10369.279
58	0.002044	0.000514	0.001293	0.007934	0.001671	0.003318	0.040412	0.001115	0.000558	0.000695	0.000229	0.000219	0.000186	-10364.140
60	0.001850	0.000465	0.001170	0.007181	0.001512	0.002886	0.036576	0.001646	0.000505	0.000646	0.000207	0.000196	0.000168	-10394.261
62	0.002128	0.000535	0.001346	0.007710	0.001740	0.003257	0.042020	0.001893	0.000581	0.000753	0.000238	0.000226	0.000194	-10389.510
64	0.002128	0.000535	0.001558	0.007710	0.001740	0.003343	0.042020	0.001831	0.000581	0.000775	0.000238	0.000227	0.000194	-10367.185
66	0.002493	0.000627	0.001825	0.009032	0.002038	0.004080	0.054378	0.001399	0.000675	0.000882	0.000278	0.000266	0.000229	-10375.801
68	0.002493	0.000627	0.001825	0.009032	0.002661	0.004064	0.054378	0.001286	0.000675	0.000885	0.000278	0.000269	0.000229	-10366.975
70	0.002218	0.000558	0.001623	0.008033	0.001695	0.003850	0.048368	0.001150	0.000600	0.000754	0.000247	0.000239	0.000204	-10368.320
72	0.002218	0.000558	0.001623	0.008033	0.001695	0.003850	0.048368	0.001152	0.000600	0.000754	0.000247	0.000239	0.000204	-10381.258
74	0.002308	0.000581	0.001690	0.008558	0.001764	0.004199	0.050345	0.001199	0.000625	0.000761	0.000257	0.000249	0.000212	-10397.261
76	0.002308	0.000581	0.001690	0.008558	0.001764	0.004199	0.050345	0.001276	0.000625	0.000761	0.000257	0.000247	0.000212	-10407.967
78	0.002128	0.000535	0.001558	0.007890	0.001627	0.003561	0.047465	0.001176	0.000576	0.000742	0.000237	0.000228	0.000196	-10417.075
80	0.002128	0.000535	0.001558	0.007890	0.001627	0.003689	0.047465	0.001176	0.000576	0.000724	0.000237	0.000228	0.000196	-10417.398
82	0.002293	0.000577	0.001678	0.008501	0.001753	0.004110	0.051140	0.001267	0.000621	0.000763	0.000255	0.000245	0.000211	-10398.037
84	0.002293	0.000577	0.001678	0.009220	0.001753	0.004089	0.051449	0.003177	0.000621	0.000766	0.000255	0.000232	0.000211	-10395.626
86	0.002203	0.000554	0.001612	0.008856	0.001683	0.003879	0.031912	0.002099	0.000596	0.000742	0.000250	0.000236	0.000202	-10409.359
88	0.002056	0.000517	0.001505	0.007683	0.001571	0.003718	0.030478	0.001590	0.000557	0.000680	0.000234	0.000220	0.000189	-10411.606
90	0.002105	0.000529	0.001541	0.007840	0.001609	0.003962	0.039032	0.001629	0.000570	0.000679	0.000236	0.000225	0.000193	-10417.592
92	0.002105	0.000529	0.001541	0.007840	0.001609	0.004056	0.039032	0.002153	0.000600	0.000668	0.000236	0.000225	0.000193	-10400.679
94	0.002105	0.000529	0.001541	0.007840	0.001609	0.003742	0.039032	0.002336	0.000600	0.000705	0.000236	0.000223	0.000193	-10388.083
96	0.002105	0.000529	0.001541	0.008423	0.001609	0.003990	0.024339	0.002336	0.000600	0.000676	0.000245	0.000223	0.000193	-10389.373
98	0.002006	0.000504	0.001468	0.008024	0.001533	0.003727	0.027059	0.001617	0.000572	0.000652	0.000230	0.000223	0.000184	-10402.410
100	0.001723	0.000433	0.001261	0.006893	0.001317	0.003114	0.022846	0.001389	0.000491	0.000570	0.000198	0.000191	0.000158	-10393.084
102	0.001723	0.000433	0.001261	0.006893	0.001317	0.003088	0.022846	0.001435	0.000491	0.000573	0.000198	0.000191	0.000158	-10417.811
104	0.001723	0.000433	0.001261	0.006893	0.001317	0.003255	0.022978	0.001435	0.000491	0.000554	0.000198	0.000191	0.000158	-10413.303
106	0.002027	0.000510	0.001484	0.008112	0.001550	0.003830	0.027041	0.001689	0.000578	0.000652	0.000233	0.000225	0.000186	-10399.961
108	0.001757	0.000442	0.001286	0.007032	0.001343	0.003334	0.022502	0.001863	0.000501	0.000564	0.000202	0.000197	0.000161	-10404.425
110	0.001757	0.000442	0.001286	0.006383	0.001343	0.003373	0.021766	0.002461	0.000501	0.000560	0.000202	0.000188	0.000161	-10415.235
112	0.001890	0.000401	0.001384	0.006866	0.000954	0.003825	0.022570	0.002647	0.000539	0.000582	0.000217	0.000203	0.000174	-10425.534
114	0.001890	0.000401	0.001384	0.006866	0.000954	0.003734	0.021255	0.003170	0.000539	0.000591	0.000218	0.000198	0.000174	-10416.741
