Gen	theta_1JpMe	theta_2MoN	theta_3MoS	theta_4Si	theta_5JpMeMoNMoSSi	theta_6JpMeMoNMoS	theta_7JpMeMoN	tau_5JpMeMoNMoSSi	tau_6JpMeMoNMoS	tau_7JpMeMoN	lnL
2	0.003306	0.002077	0.013619	0.002008	0.004209	0.005120	0.004025	0.000698	0.000462	0.000337	-10386.620
4	0.003306	0.002077	0.013619	0.002187	0.003928	0.005120	0.004089	0.000715	0.000462	0.000331	-10388.249
6	0.003750	0.002356	0.016477	0.002481	0.004455	0.006492	0.004884	0.000811	0.000508	0.000357	-10400.515
8	0.003735	0.002346	0.015954	0.002470	0.003967	0.006740	0.004092	0.000786	0.000497	0.000350	-10397.276
10	0.003523	0.001661	0.015246	0.001809	0.004079	0.006357	0.004998	0.000719	0.000469	0.000330	-10405.565
12	0.003523	0.001661	0.015751	0.001809	0.003605	0.005192	0.005705	0.000752	0.000500	0.000330	-10405.638
14	0.004042	0.001906	0.018075	0.002076	0.004136	0.005958	0.005756	0.000863	0.000574	0.000379	-10404.577
16	0.003532	0.001665	0.015792	0.001813	0.003253	0.005494	0.003907	0.000754	0.000493	0.000361	-10391.550
18	0.003854	0.001817	0.017232	0.002431	0.003549	0.005313	0.004476	0.000823	0.000562	0.000375	-10372.114
20	0.003854	0.001817	0.017232	0.002431	0.003906	0.006921	0.004003	0.000797	0.000519	0.000375	-10385.697
22	0.003373	0.001590	0.015081	0.002128	0.003174	0.006616	0.002860	0.000716	0.000430	0.000328	-10409.051
24	0.003233	0.001524	0.014454	0.002039	0.003664	0.005969	0.002741	0.000686	0.000419	0.000315	-10424.786
26	0.003233	0.001524	0.013733	0.002039	0.003518	0.005969	0.001721	0.000698	0.000419	0.000321	-10404.883
28	0.003233	0.001524	0.013733	0.002039	0.003464	0.006734	0.001721	0.000702	0.000419	0.000321	-10409.156
30	0.002996	0.001413	0.012730	0.001890	0.003211	0.007608	0.001532	0.000651	0.000388	0.000309	-10432.800
32	0.002996	0.001413	0.012188	0.001890	0.003211	0.007608	0.001625	0.000651	0.000388	0.000292	-10445.166
34	0.002996	0.001413	0.011312	0.001890	0.003453	0.008768	0.001488	0.000631	0.000370	0.000319	-10417.551
36	0.002996	0.001413	0.011312	0.001890	0.003175	0.010563	0.001488	0.000654	0.000370	0.000319	-10401.540
38	0.002996	0.001413	0.011312	0.001890	0.003132	0.009619	0.001488	0.000658	0.000370	0.000319	-10402.701
40	0.002996	0.001413	0.010655	0.001890	0.003355	0.008453	0.001488	0.000639	0.000370	0.000319	-10392.745
42	0.002619	0.001590	0.009314	0.001652	0.003210	0.007389	0.001237	0.000538	0.000323	0.000293	-10409.356
44	0.002263	0.001374	0.008049	0.001428	0.002774	0.006386	0.001042	0.000465	0.000279	0.000260	-10410.492
46	0.002647	0.001607	0.009412	0.001670	0.002992	0.007467	0.001295	0.000562	0.000327	0.000286	-10405.866
48	0.002532	0.001538	0.009005	0.001597	0.002966	0.006330	0.001239	0.000530	0.000313	0.000273	-10377.104
50	0.002937	0.001783	0.010442	0.001852	0.003439	0.007340	0.001437	0.000614	0.000362	0.000317	-10386.581
52	0.002937	0.001783	0.010442	0.001852	0.003439	0.007340	0.001437	0.000614	0.000362	0.000317	-10402.946
54	0.003350	0.002034	0.011911	0.002113	0.003923	0.009700	0.001587	0.000701	0.000408	0.000373	-10405.280
56	0.003145	0.001909	0.011182	0.001984	0.003548	0.008742	0.001490	0.000664	0.000383	0.000351	-10426.722
58	0.003145	0.001909	0.011182	0.001984	0.003548	0.008742	0.001490	0.000664	0.000383	0.000351	-10391.436
60	0.003145	0.001909	0.010331	0.001984	0.003835	0.008742	0.001490	0.000643	0.000383	0.000351	-10417.142
62	0.003145	0.001909	0.010331	0.001984	0.003899	0.008742	0.001490	0.000639	0.000383	0.000351	-10412.335
64	0.003145	0.001909	0.010331	0.001984	0.003899	0.008345	0.001490	0.000639	0.000383	0.000351	-10404.430
66	0.003145	0.001909	0.010331	0.001286	0.003899	0.008345	0.001550	0.000639	0.000383	0.000337	-10385.829
68	0.002719	0.001651	0.008932	0.001112	0.003074	0.007935	0.001339	0.000574	0.000331	0.000292	-10384.119
70	0.002719	0.001651	0.008142	0.001112	0.003418	0.007234	0.001339	0.000549	0.000331	0.000292	-10394.891
72	0.002719	0.001651	0.008142	0.001112	0.003238	0.007234	0.001339	0.000562	0.000331	0.000292	-10404.828
74	0.003143	0.001908	0.009412	0.001285	0.003743	0.007492	0.001548	0.000649	0.000383	0.000337	-10379.400
76	0.003143	0.001908	0.009412	0.001285	0.004025	0.007492	0.001548	0.000630	0.000383	0.000337	-10379.598
78	0.003143	0.001908	0.009412	0.001285	0.004025	0.007492	0.001460	0.000630	0.000383	0.000357	-10405.807
80	0.002997	0.001819	0.008973	0.001225	0.003536	0.007143	0.001392	0.000621	0.000365	0.000341	-10388.479
82	0.002997	0.001819	0.008973	0.001225	0.003536	0.007143	0.001474	0.000621	0.000365	0.000322	-10394.395
84	0.002452	0.001210	0.008973	0.001225	0.003536	0.007143	0.001474	0.000621	0.000365	0.000322	-10412.203
86	0.002452	0.001210	0.008973	0.001225	0.003536	0.005628	0.001474	0.000621	0.000377	0.000322	-10403.220
88	0.002373	0.001171	0.008002	0.001186	0.003421	0.005445	0.001427	0.000601	0.000364	0.000311	-10393.758
90	0.002373	0.001171	0.007680	0.001186	0.003421	0.005445	0.001427	0.000601	0.000364	0.000311	-10414.479
92	0.002373	0.001171	0.007680	0.001186	0.003421	0.004570	0.001634	0.000601	0.000392	0.000272	-10422.298
94	0.002373	0.001171	0.007680	0.001186	0.003421	0.004570	0.001574	0.000601	0.000392	0.000282	-10395.875
96	0.002373	0.001171	0.007680	0.001186	0.003421	0.004570	0.001574	0.000601	0.000392	0.000282	-10402.373
98	0.002373	0.001171	0.007680	0.001186	0.003421	0.003549	0.001574	0.000601	0.000405	0.000282	-10395.020
100	0.002767	0.001289	0.008457	0.001306	0.003767	0.004425	0.001749	0.000662	0.000431	0.000308	-10405.805
102	0.002488	0.001159	0.007603	0.001174	0.003387	0.003979	0.001572	0.000595	0.000387	0.000277	-10387.991
104	0.002209	0.001029	0.006751	0.001042	0.003007	0.004428	0.001466	0.000528	0.000324	0.000234	-10384.332
106	0.002045	0.000953	0.006250	0.000965	0.002600	0.004099	0.001357	0.000502	0.000300	0.000217	-10385.025
108	0.002045	0.000953	0.006250	0.000965	0.002600	0.004099	0.001357	0.000502	0.000300	0.000217	-10377.701
110	0.002045	0.000953	0.006250	0.000965	0.002623	0.003392	0.001357	0.000502	0.000317	0.000217	-10414.933
112	0.002000	0.000932	0.006113	0.000944	0.002566	0.004041	0.001403	0.000491	0.000310	0.000200	-10408.088
114	0.002028	0.000945	0.006981	0.000956	0.002601	0.003206	0.001422	0.000498	0.000345	0.000203	-10392.078
116	0.002028	0.000945	0.006981	0.000956	0.002601	0.003890	0.001422	0.000498	0.000320	0.000203	-10420.730
118	0.002480	0.001156	0.009435	0.001170	0.003182	0.004758	0.001740	0.000609	0.000392	0.000249	-10404.533
120	0.002361	0.001100	0.008977	0.001114	0.003029	0.004911	0.001740	0.000580	0.000362	0.000225	-10396.643
122	0.002361	0.001100	0.008977	0.001114	0.002976	0.004467	0.001740	0.000584	0.000375	0.000225	-10395.237
124	0.002142	0.000998	0.008144	0.001011	0.002867	0.004741	0.001579	0.000519	0.000321	0.000204	-10408.343
126	0.002136	0.000995	0.008873	0.001008	0.002449	0.003306	0.001788	0.000546	0.000370	0.000218	-10408.994
128	0.002364	0.001101	0.009818	0.001115	0.003573	0.003896	0.001978	0.000589	0.000399	0.000241	-10403.365
130	0.002340	0.001090	0.009721	0.001104	0.003333	0.004304	0.001845	0.000596	0.000379	0.000254	-10408.086
132	0.002340	0.001090	0.009721	0.001104	0.003597	0.005057	0.001845	0.000580	0.000360	0.000254	-10389.485
134	0.002134	0.000994	0.007952	0.001007	0.002929	0.005486	0.001837	0.000553	0.000328	0.000212	-10416.181
136	0.002443	0.001138	0.009106	0.001153	0.004323	0.008006	0.002104	0.000633	0.000347	0.000242	-10414.059
138	0.002252	0.001049	0.008393	0.001062	0.003985	0.006594	0.001911	0.000584	0.000331	0.000227	-10419.577
140	0.001951	0.000909	0.007271	0.000920	0.003222	0.005422	0.001655	0.000521	0.000292	0.000196	-10420.326
142	0.002049	0.000955	0.007638	0.000967	0.003385	0.008413	0.001886	0.000547	0.000271	0.000190	-10421.554
144	0.001927	0.000898	0.006730	0.000909	0.003183	0.006896	0.001774	0.000514	0.000254	0.000179	-10421.334
146	0.001927	0.000898	0.006730	0.000909	0.004020	0.006896	0.001774	0.000514	0.000254	0.000179	-10421.633
148	0.001927	0.000898	0.006730	0.000909	0.003632	0.008838	0.001774	0.000545	0.000229	0.000179	-10409.529
150	0.001927	0.000898	0.006310	0.000909	0.003808	0.010353	0.001706	0.000530	0.000222	0.000186	-10405.704
152	0.001927	0.000898	0.006310	0.000909	0.003564	0.010353	0.001706	0.000551	0.000222	0.000186	-10408.990
154	0.001887	0.001042	0.006179	0.000890	0.003490	0.012665	0.001671	0.000540	0.000210	0.000182	-10398.053
156	0.001703	0.000940	0.005578	0.000804	0.003014	0.012179	0.001508	0.000500	0.000190	0.000164	-10398.785
158	0.001703	0.000940	0.005578	0.000804	0.003014	0.012179	0.001508	0.000500	0.000190	0.000164	-10401.238
160	0.001703	0.000940	0.005578	0.000804	0.002874	0.012179	0.001508	0.000516	0.000190	0.000164	-10379.766
162	0.001703	0.000940	0.005578	0.000804	0.002874	0.011606	0.001508	0.000516	0.000190	0.000164	-10383.121
164	0.001954	0.001079	0.006398	0.000922	0.003806	0.013313	0.001801	0.000541	0.000218	0.000181	-10383.611
166	0.001954	0.001079	0.006398	0.000922	0.002759	0.012624	0.001801	0.000564	0.000218	0.000181	-10357.017
168	0.001734	0.000957	0.005677	0.000818	0.002963	0.012175	0.001598	0.000500	0.000193	0.000161	-10379.067
170	0.001962	0.001083	0.006425	0.000926	0.003498	0.011120	0.001809	0.000552	0.000227	0.000182	-10365.979
172	0.001962	0.001083	0.006425	0.000926	0.003166	0.010050	0.001809	0.000586	0.000227	0.000182	-10373.429
174	0.001962	0.001083	0.006425	0.000926	0.003348	0.010050	0.001809	0.000566	0.000227	0.000182	-10390.495
176	0.001962	0.001083	0.006425	0.000926	0.003547	0.010050	0.001809	0.000547	0.000227	0.000182	-10386.878
178	0.001962	0.001083	0.006425	0.000926	0.003547	0.012082	0.001809	0.000547	0.000220	0.000182	-10386.644
180	0.001962	0.001083	0.006425	0.000926	0.002914	0.012082	0.001809	0.000547	0.000220	0.000182	-10395.516
182	0.001962	0.001083	0.006425	0.000926	0.003059	0.012385	0.001809	0.000532	0.000220	0.000182	-10382.665
184	0.001962	0.001083	0.006425	0.000926	0.003084	0.012385	0.001809	0.000529	0.000220	0.000182	-10396.896
186	0.001962	0.001083	0.006425	0.000926	0.003084	0.013115	0.001809	0.000529	0.000220	0.000182	-10378.700
188	0.001804	0.000996	0.005908	0.000851	0.002651	0.012551	0.001663	0.000506	0.000202	0.000167	-10365.305
190	0.001598	0.000882	0.005232	0.000754	0.002412	0.011115	0.001473	0.000441	0.000179	0.000148	-10379.260
192	0.001598	0.000882	0.005232	0.000754	0.002412	0.011115	0.001473	0.000441	0.000179	0.000148	-10387.009
194	0.001612	0.000890	0.005279	0.000761	0.002433	0.011215	0.001486	0.000445	0.000180	0.000149	-10379.013
196	0.001612	0.000890	0.006407	0.000761	0.002433	0.011215	0.001486	0.000445	0.000180	0.000149	-10393.969
198	0.001612	0.000890	0.006407	0.000761	0.002433	0.009175	0.001486	0.000445	0.000180	0.000149	-10400.678
200	0.001727	0.000954	0.006864	0.000815	0.002529	0.009829	0.001592	0.000497	0.000193	0.000160	-10409.834
202	0.001727	0.000954	0.006864	0.000815	0.002701	0.009829	0.001592	0.000477	0.000193	0.000160	-10402.848
204	0.001994	0.001101	0.007925	0.001267	0.003118	0.011349	0.001810	0.000551	0.000223	0.000188	-10397.001
206	0.001708	0.000943	0.006788	0.001085	0.002417	0.009721	0.001550	0.000447	0.000191	0.000161	-10389.259
208	0.001754	0.000969	0.006971	0.001114	0.002379	0.009983	0.001636	0.000470	0.000196	0.000161	-10392.457
210	0.001754	0.000969	0.006971	0.001114	0.002612	0.009983	0.001636	0.000446	0.000196	0.000161	-10401.174
212	0.001754	0.000969	0.006971	0.001114	0.002612	0.009983	0.001577	0.000446	0.000196	0.000167	-10403.082
214	0.001754	0.000969	0.006971	0.001114	0.002612	0.009983	0.001661	0.000446	0.000196	0.000158	-10409.377
216	0.001754	0.000969	0.006971	0.001114	0.002564	0.009983	0.001661	0.000450	0.000196	0.000158	-10412.552
218	0.001754	0.001616	0.007663	0.001114	0.002564	0.009983	0.001661	0.000450	0.000196	0.000158	-10411.648
220	0.001754	0.001616	0.007663	0.001114	0.002564	0.009983	0.001661	0.000450	0.000196	0.000158	-10426.243
222	0.001689	0.001556	0.007378	0.001073	0.002469	0.008997	0.002381	0.000434	0.000189	0.000152	-10424.740
224	0.001693	0.001560	0.007396	0.001076	0.002475	0.009020	0.002387	0.000435	0.000189	0.000153	-10440.174
226	0.001810	0.001667	0.007904	0.001150	0.002645	0.009640	0.002551	0.000465	0.000203	0.000163	-10429.134
228	0.001810	0.001667	0.007904	0.001150	0.002335	0.010457	0.002700	0.000499	0.000203	0.000154	-10440.882
230	0.001810	0.001667	0.007904	0.001410	0.002395	0.010457	0.003107	0.000492	0.000203	0.000154	-10410.004
232	0.002250	0.002073	0.009830	0.001753	0.002929	0.013005	0.003864	0.000618	0.000252	0.000192	-10411.585
234	0.002025	0.001866	0.008847	0.001578	0.002636	0.009650	0.003477	0.000556	0.000238	0.000173	-10410.336
236	0.002035	0.001875	0.008889	0.001585	0.002517	0.011977	0.003494	0.000576	0.000223	0.000173	-10384.734
238	0.002099	0.001934	0.009169	0.001635	0.002753	0.011343	0.003326	0.000573	0.000231	0.000194	-10395.763
240	0.002381	0.002193	0.009035	0.001854	0.003122	0.012863	0.003772	0.000650	0.000261	0.000220	-10400.368
242	0.002402	0.002213	0.009117	0.001871	0.003150	0.012037	0.003806	0.000656	0.000264	0.000222	-10395.668
244	0.002270	0.002642	0.008615	0.001681	0.003577	0.011375	0.003302	0.000620	0.000249	0.000228	-10402.293
246	0.001985	0.002311	0.007534	0.001470	0.003128	0.009948	0.002803	0.000542	0.000218	0.000206	-10410.147
248	0.001985	0.002311	0.007534	0.001470	0.002950	0.009948	0.001619	0.000562	0.000218	0.000206	-10406.422
250	0.001985	0.002311	0.007329	0.001470	0.002950	0.010852	0.001617	0.000562	0.000218	0.000206	-10419.628
252	0.002176	0.002532	0.008032	0.001611	0.003171	0.010794	0.001773	0.000623	0.000239	0.000226	-10404.231
254	0.002176	0.002532	0.008032	0.001611	0.003171	0.010794	0.001773	0.000623	0.000239	0.000226	-10394.787
256	0.002176	0.002532	0.008887	0.001611	0.003256	0.010794	0.001773	0.000613	0.000239	0.000226	-10396.866
258	0.002203	0.002565	0.008145	0.001632	0.003298	0.010931	0.002961	0.000621	0.000242	0.000229	-10401.702
260	0.002268	0.002640	0.008383	0.001680	0.003665	0.011251	0.003048	0.000610	0.000249	0.000235	-10410.693
262	0.002268	0.002640	0.008383	0.001680	0.003665	0.010451	0.003024	0.000610	0.000249	0.000236	-10389.999
264	0.001757	0.002045	0.006494	0.001301	0.002750	0.008096	0.001924	0.000482	0.000193	0.000183	-10425.998
266	0.001893	0.001800	0.006998	0.001402	0.002964	0.008725	0.002073	0.000519	0.000208	0.000197	-10411.283
268	0.001893	0.001800	0.006998	0.001402	0.002964	0.008725	0.002157	0.000519	0.000208	0.000189	-10396.806
270	0.001893	0.001800	0.006998	0.001402	0.003165	0.009687	0.002036	0.000499	0.000208	0.000200	-10396.877
272	0.001842	0.001646	0.006399	0.001282	0.002894	0.008857	0.001830	0.000456	0.000190	0.000186	-10382.963
274	0.001826	0.001632	0.006344	0.001271	0.002869	0.008782	0.000803	0.000453	0.000188	0.000185	-10378.232
276	0.001826	0.001632	0.006344	0.001271	0.002869	0.010248	0.000803	0.000453	0.000188	0.000185	-10402.642
