Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
2	0.020475	0.001837	0.008028	0.001297	-10387.673
4	0.020475	0.001837	0.008028	0.001297	-10386.725
6	0.021108	0.001894	0.008276	0.001337	-10393.103
8	0.022002	0.001974	0.008627	0.001394	-10398.930
10	0.022002	0.001974	0.008111	0.001482	-10388.144
12	0.022002	0.001974	0.008111	0.001482	-10404.498
14	0.020732	0.001860	0.008418	0.001476	-10376.987
16	0.021726	0.001949	0.008821	0.001547	-10394.303
18	0.024431	0.002192	0.012316	0.001613	-10375.535
20	0.023795	0.002135	0.011536	0.001633	-10407.067
22	0.021216	0.001904	0.009823	0.001525	-10417.688
24	0.023577	0.002115	0.010917	0.001695	-10421.561
26	0.023577	0.002115	0.011132	0.001662	-10410.893
28	0.020951	0.001880	0.009892	0.001477	-10417.305
30	0.020951	0.001880	0.009892	0.001477	-10405.220
32	0.020067	0.002452	0.009475	0.001414	-10401.893
34	0.020067	0.002452	0.008947	0.001498	-10388.493
36	0.021868	0.002452	0.008173	0.001557	-10416.564
38	0.016736	0.001876	0.006254	0.001191	-10423.247
40	0.016736	0.001876	0.006254	0.001191	-10409.263
42	0.018185	0.002039	0.006796	0.001295	-10431.585
44	0.019273	0.002161	0.007202	0.001372	-10433.761
46	0.018142	0.002034	0.006741	0.001299	-10438.899
48	0.018142	0.002034	0.006741	0.001299	-10406.768
50	0.018142	0.002034	0.006741	0.001299	-10429.611
52	0.016443	0.002034	0.007048	0.001242	-10423.879
54	0.016443	0.002034	0.007048	0.001242	-10407.549
56	0.018958	0.002345	0.008579	0.001357	-10420.056
58	0.018051	0.002233	0.007890	0.001337	-10429.161
60	0.018051	0.002233	0.007683	0.001373	-10415.542
62	0.016518	0.002043	0.007116	0.001242	-10415.140
64	0.017148	0.002121	0.007404	0.001286	-10419.718
66	0.017134	0.002012	0.007094	0.001208	-10401.571
68	0.017134	0.002012	0.007094	0.001208	-10396.840
70	0.019160	0.002250	0.007562	0.001417	-10405.374
72	0.016408	0.001919	0.006726	0.001159	-10408.879
74	0.016408	0.001919	0.006726	0.001159	-10376.936
76	0.013089	0.001531	0.005365	0.000924	-10412.820
78	0.013607	0.001591	0.005578	0.000961	-10405.541
80	0.012349	0.001444	0.005062	0.000872	-10397.751
82	0.011816	0.001382	0.004843	0.000835	-10397.044
84	0.011816	0.001382	0.005189	0.000779	-10401.107
86	0.012940	0.001513	0.005682	0.000853	-10404.612
88	0.011588	0.001355	0.005089	0.000764	-10424.225
90	0.012353	0.001445	0.005425	0.000814	-10421.186
92	0.012353	0.001445	0.005425	0.000814	-10420.710
94	0.013667	0.001598	0.005773	0.000937	-10435.674
96	0.013667	0.002003	0.005773	0.000937	-10431.688
98	0.013667	0.002003	0.005773	0.000937	-10433.400
100	0.013667	0.002003	0.006038	0.000896	-10409.651
102	0.011948	0.001751	0.005104	0.000810	-10390.385
104	0.013295	0.001949	0.005679	0.000901	-10409.701
106	0.012076	0.001770	0.004961	0.000851	-10414.986
108	0.011075	0.001623	0.004680	0.000759	-10421.550
110	0.011850	0.001737	0.005007	0.000812	-10402.073
112	0.013572	0.001989	0.005735	0.000930	-10405.360
114	0.013572	0.002499	0.005735	0.000930	-10433.282
116	0.011732	0.002160	0.004280	0.000931	-10459.855
118	0.013420	0.002470	0.005103	0.001022	-10451.659
120	0.013420	0.002470	0.003812	0.000938	-10439.129
122	0.011895	0.002190	0.003379	0.000831	-10438.914
124	0.011895	0.002154	0.003404	0.000825	-10459.825
126	0.013095	0.002372	0.003750	0.000908	-10446.281
128	0.013095	0.002372	0.003909	0.000870	-10445.844
130	0.013283	0.002406	0.003965	0.000883	-10429.269
132	0.013283	0.002406	0.003741	0.000936	-10433.249
134	0.011996	0.002173	0.003455	0.000827	-10427.093
136	0.012989	0.002353	0.003649	0.000917	-10428.388
138	0.013110	0.002374	0.003683	0.000926	-10424.093
140	0.013110	0.002374	0.003892	0.000876	-10429.327
142	0.013110	0.002374	0.005514	0.000876	-10404.335
144	0.011526	0.002088	0.004502	0.000830	-10429.438
146	0.011307	0.002048	0.004417	0.000814	-10410.289
148	0.012229	0.002215	0.004777	0.000880	-10421.702
150	0.013170	0.002385	0.005144	0.000948	-10433.807
