Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
2	0.005224	0.018006	0.001760	0.004722	0.002871	0.000993	0.000547	-10422.723
4	0.005398	0.018605	0.001819	0.005423	0.002917	0.000980	0.000574	-10421.253
6	0.006568	0.022637	0.001634	0.006273	0.003476	0.001218	0.000714	-10401.951
8	0.005882	0.020527	0.001463	0.005618	0.002954	0.001091	0.000673	-10391.681
10	0.005565	0.020907	0.001463	0.005618	0.003031	0.001091	0.000656	-10401.505
12	0.005759	0.022159	0.001514	0.006517	0.003468	0.001080	0.000614	-10390.531
14	0.005759	0.022159	0.001514	0.006517	0.003179	0.001080	0.000670	-10423.050
16	0.005759	0.022159	0.001514	0.006517	0.002956	0.001080	0.000721	-10432.096
18	0.006569	0.025276	0.001727	0.007380	0.003709	0.001235	0.000747	-10389.869
20	0.005920	0.023085	0.001408	0.006651	0.003300	0.001113	0.000682	-10389.240
22	0.005920	0.023085	0.001408	0.006651	0.003535	0.001113	0.000637	-10414.530
24	0.006331	0.024689	0.001506	0.007042	0.003781	0.001160	0.000681	-10414.646
26	0.005363	0.021227	0.001276	0.005965	0.003322	0.000983	0.000556	-10414.985
28	0.005363	0.021227	0.001276	0.005564	0.003153	0.001014	0.000586	-10406.584
30	0.005363	0.021227	0.001276	0.005910	0.003153	0.000989	0.000586	-10421.261
32	0.006232	0.024666	0.001483	0.006742	0.003942	0.001158	0.000633	-10417.841
34	0.006232	0.025094	0.001909	0.006943	0.003206	0.001144	0.000682	-10422.562
36	0.006232	0.024620	0.001909	0.006405	0.003555	0.001144	0.000682	-10411.892
38	0.006232	0.024620	0.001909	0.006791	0.003555	0.001157	0.000682	-10406.383
40	0.006232	0.024452	0.001909	0.006415	0.003555	0.001136	0.000682	-10410.447
42	0.005685	0.022306	0.001801	0.006391	0.002193	0.001031	0.000674	-10415.405
44	0.006139	0.022306	0.001801	0.006251	0.002193	0.001007	0.000674	-10416.185
46	0.006895	0.025052	0.002023	0.006767	0.002463	0.001145	0.000757	-10401.042
48	0.006337	0.023458	0.001859	0.006219	0.002263	0.001052	0.000696	-10395.973
50	0.005746	0.020880	0.001600	0.005639	0.002052	0.000954	0.000631	-10409.655
52	0.006010	0.021484	0.001673	0.005562	0.002146	0.000998	0.000660	-10398.221
54	0.006010	0.021056	0.001673	0.004901	0.001956	0.001044	0.000724	-10398.350
56	0.005726	0.021056	0.001673	0.004614	0.002040	0.001044	0.000695	-10403.061
58	0.005049	0.018566	0.001475	0.004068	0.001678	0.000920	0.000657	-10405.325
60	0.004764	0.017518	0.001392	0.003839	0.001609	0.000868	0.000610	-10422.662
62	0.005977	0.021980	0.001747	0.004817	0.002019	0.001089	0.000765	-10400.530
64	0.005977	0.022387	0.001747	0.004817	0.002019	0.001089	0.000765	-10421.344
66	0.005977	0.022387	0.001747	0.004817	0.002019	0.001089	0.000765	-10409.695
68	0.005142	0.019258	0.001786	0.004143	0.001737	0.000937	0.000658	-10403.234
70	0.004806	0.019258	0.001786	0.004143	0.001737	0.000937	0.000658	-10397.986
72	0.005696	0.022340	0.002117	0.005591	0.002162	0.001093	0.000743	-10406.172
74	0.005696	0.021805	0.002117	0.006517	0.002111	0.001043	0.000760	-10403.339
76	0.004969	0.018549	0.001847	0.005521	0.001842	0.000917	0.000663	-10413.615
78	0.004441	0.016576	0.001651	0.004787	0.001646	0.000827	0.000593	-10413.915
80	0.005645	0.021664	0.002098	0.006085	0.002093	0.001051	0.000753	-10409.488
82	0.004995	0.018929	0.001800	0.005582	0.001663	0.000902	0.000698	-10429.080
84	0.004995	0.018929	0.001800	0.005304	0.001663	0.000912	0.000698	-10422.570
86	0.004995	0.018715	0.001800	0.005214	0.001663	0.000912	0.000698	-10434.624
88	0.005732	0.021475	0.002066	0.006140	0.001908	0.001047	0.000801	-10422.396
90	0.004582	0.018745	0.002109	0.005359	0.001666	0.000914	0.000699	-10417.537
92	0.003816	0.015619	0.001960	0.003929	0.001558	0.000761	0.000518	-10405.578
94	0.004589	0.018784	0.002357	0.004804	0.001873	0.000915	0.000623	-10405.413
96	0.004589	0.019689	0.002357	0.004804	0.001873	0.000915	0.000623	-10422.271
98	0.004533	0.019689	0.002357	0.004804	0.001959	0.000915	0.000596	-10402.919
100	0.004533	0.019861	0.002357	0.004668	0.001959	0.000925	0.000596	-10415.620
102	0.004533	0.019861	0.002357	0.004455	0.001959	0.000940	0.000596	-10436.109
104	0.004533	0.019158	0.002357	0.004455	0.001959	0.000940	0.000596	-10434.660
106	0.004101	0.017332	0.002132	0.004314	0.001772	0.000851	0.000539	-10439.565
108	0.004101	0.017332	0.002132	0.004314	0.001679	0.000851	0.000569	-10420.860
110	0.003898	0.016023	0.002027	0.004101	0.001596	0.000809	0.000541	-10425.548
112	0.003898	0.016023	0.002027	0.003839	0.001738	0.000809	0.000497	-10437.589
114	0.003890	0.015017	0.001900	0.003686	0.001629	0.000758	0.000466	-10455.277
116	0.003888	0.015009	0.001490	0.003684	0.001628	0.000757	0.000465	-10452.385
118	0.004725	0.018241	0.001811	0.003830	0.001978	0.000921	0.000566	-10447.636
120	0.004725	0.017929	0.001811	0.003830	0.001978	0.000921	0.000566	-10429.942
122	0.004725	0.018336	0.001811	0.003830	0.001978	0.000921	0.000566	-10452.871
124	0.005415	0.021418	0.002076	0.004071	0.002267	0.001055	0.000648	-10454.936
