Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
2	0.005146	0.015558	0.001235	0.006442	0.002657	0.000731	0.000579	-10435.495
4	0.005444	0.016459	0.001307	0.006815	0.002781	0.000773	0.000600	-10425.209
6	0.005444	0.016459	0.001307	0.006484	0.002781	0.000772	0.000600	-10429.553
8	0.005444	0.016813	0.001307	0.006484	0.002950	0.000772	0.000566	-10435.608
10	0.005444	0.016813	0.001307	0.005690	0.002783	0.000801	0.000600	-10448.480
12	0.005128	0.015836	0.001231	0.005360	0.002547	0.000754	0.000582	-10450.439
14	0.005559	0.016507	0.001335	0.006342	0.002762	0.000802	0.000631	-10436.006
16	0.005559	0.016186	0.001335	0.006342	0.002730	0.000802	0.000638	-10423.737
18	0.005415	0.015764	0.001300	0.006285	0.002659	0.000790	0.000621	-10444.765
20	0.005770	0.016801	0.001385	0.006307	0.002833	0.000842	0.000662	-10427.916
22	0.006016	0.017517	0.001444	0.006576	0.002811	0.000878	0.000726	-10423.041
24	0.006016	0.017200	0.001444	0.006069	0.003015	0.000878	0.000676	-10454.535
26	0.005526	0.017200	0.001846	0.006069	0.002979	0.000878	0.000684	-10414.923
28	0.004895	0.015236	0.001635	0.005376	0.002639	0.000778	0.000606	-10415.380
30	0.004971	0.015570	0.001622	0.005807	0.002680	0.000790	0.000616	-10404.844
32	0.005850	0.018324	0.001909	0.007199	0.003193	0.000919	0.000716	-10396.132
34	0.006061	0.018931	0.001978	0.007261	0.003467	0.000953	0.000708	-10399.814
36	0.005750	0.017959	0.001876	0.006888	0.002750	0.000904	0.000685	-10415.092
38	0.006713	0.021977	0.002036	0.007843	0.003380	0.001055	0.000759	-10421.207
40	0.006122	0.020042	0.001857	0.007152	0.003426	0.000962	0.000692	-10426.450
42	0.006457	0.020042	0.001857	0.007152	0.003279	0.000962	0.000723	-10400.187
44	0.006050	0.018777	0.002132	0.006923	0.003117	0.000901	0.000668	-10417.645
46	0.006458	0.020043	0.002276	0.008097	0.002858	0.000962	0.000722	-10405.526
48	0.006220	0.019304	0.002192	0.008514	0.002753	0.000907	0.000696	-10418.379
50	0.006455	0.020034	0.002275	0.008037	0.002986	0.000963	0.000691	-10417.173
52	0.007047	0.020724	0.002043	0.008540	0.003173	0.001024	0.000734	-10414.729
54	0.007673	0.022565	0.002225	0.009299	0.003550	0.001115	0.000778	-10423.192
56	0.006846	0.020131	0.001985	0.008296	0.003168	0.000995	0.000694	-10428.374
58	0.006846	0.020131	0.001747	0.007561	0.004079	0.001013	0.000622	-10432.447
60	0.006942	0.020415	0.001772	0.007667	0.004137	0.001028	0.000631	-10428.761
62	0.006891	0.020264	0.001759	0.008300	0.004075	0.001020	0.000627	-10408.199
64	0.006891	0.020264	0.001759	0.008834	0.004250	0.000996	0.000601	-10409.793
66	0.006206	0.019337	0.001678	0.007928	0.004253	0.000975	0.000547	-10402.999
68	0.006616	0.019607	0.001655	0.007822	0.003928	0.000962	0.000576	-10414.677
70	0.006616	0.019607	0.001655	0.007375	0.004159	0.000962	0.000544	-10392.153
72	0.006616	0.019607	0.001655	0.007375	0.003910	0.000962	0.000579	-10403.826
74	0.007573	0.022926	0.001895	0.008965	0.004475	0.001075	0.000662	-10426.956
76	0.007286	0.021545	0.001823	0.008635	0.004306	0.001034	0.000637	-10427.149
78	0.006381	0.018463	0.001597	0.007712	0.003771	0.000899	0.000558	-10428.366
80	0.007245	0.022171	0.002151	0.008832	0.004389	0.001017	0.000618	-10414.827
82	0.006576	0.020121	0.001858	0.008522	0.003983	0.000902	0.000561	-10426.183
84	0.006081	0.019499	0.001718	0.007881	0.003492	0.000834	0.000547	-10455.904
86	0.006250	0.019499	0.001718	0.007107	0.003492	0.000865	0.000547	-10438.086
88	0.007725	0.024101	0.002124	0.009342	0.005018	0.001069	0.000647	-10424.829
90	0.006562	0.020474	0.001804	0.007569	0.004180	0.000908	0.000577	-10424.259
92	0.007058	0.022018	0.002257	0.008595	0.004402	0.000977	0.000633	-10424.368
94	0.007438	0.022018	0.002257	0.007966	0.004402	0.001027	0.000633	-10431.407
96	0.007591	0.021885	0.001856	0.008121	0.004567	0.001048	0.000636	-10432.515
98	0.007570	0.023479	0.001991	0.009585	0.004308	0.001087	0.000716	-10419.230
100	0.007570	0.022154	0.001991	0.009628	0.004305	0.001086	0.000716	-10423.888
102	0.008079	0.023642	0.002125	0.010451	0.004595	0.001159	0.000765	-10418.642
104	0.008362	0.023642	0.002125	0.010451	0.004207	0.001159	0.000765	-10414.556
106	0.006790	0.019198	0.001726	0.008486	0.003416	0.000941	0.000621	-10419.368
108	0.006790	0.019198	0.001726	0.008486	0.003416	0.000941	0.000621	-10388.471
110	0.006188	0.017496	0.001573	0.007734	0.003227	0.000858	0.000546	-10399.674
112	0.005940	0.016379	0.001510	0.006387	0.003045	0.000869	0.000533	-10395.401
114	0.005940	0.016379	0.001510	0.007433	0.003111	0.000821	0.000522	-10403.432
116	0.005439	0.014997	0.001382	0.005647	0.003220	0.000806	0.000513	-10416.322
118	0.004672	0.012884	0.001187	0.005728	0.002931	0.000654	0.000416	-10417.266
120	0.004432	0.012221	0.001126	0.005433	0.002796	0.000620	0.000392	-10425.442
122	0.004432	0.012221	0.001126	0.004904	0.002796	0.000645	0.000392	-10403.713
124	0.004432	0.011831	0.001126	0.004904	0.002796	0.000645	0.000392	-10428.054
126	0.004522	0.011907	0.001149	0.005004	0.002650	0.000658	0.000400	-10394.077
128	0.003515	0.009256	0.000893	0.004215	0.002060	0.000511	0.000311	-10399.490
130	0.004004	0.010062	0.001017	0.004801	0.002346	0.000582	0.000355	-10400.147
132	0.003535	0.008885	0.000898	0.004240	0.002062	0.000514	0.000315	-10405.851
134	0.003358	0.008885	0.000898	0.004240	0.002062	0.000514	0.000315	-10407.518
136	0.003358	0.008796	0.000898	0.004240	0.002188	0.000514	0.000324	-10378.996
138	0.003323	0.007984	0.000889	0.004197	0.002166	0.000509	0.000321	-10393.630
140	0.003856	0.009264	0.001032	0.005339	0.002513	0.000591	0.000372	-10405.066
142	0.003856	0.009264	0.000726	0.005339	0.002513	0.000591	0.000372	-10408.817
144	0.003856	0.009633	0.000726	0.006189	0.002757	0.000591	0.000340	-10409.064
146	0.003328	0.007903	0.000626	0.005460	0.002173	0.000505	0.000321	-10388.990
148	0.003582	0.008507	0.000674	0.005611	0.002339	0.000544	0.000345	-10388.668
150	0.003582	0.008507	0.000674	0.004613	0.002938	0.000544	0.000336	-10403.805
152	0.003582	0.008507	0.000674	0.005017	0.003502	0.000544	0.000336	-10382.471
154	0.003582	0.008507	0.000674	0.005271	0.003502	0.000534	0.000336	-10402.813
156	0.003582	0.008507	0.000674	0.005271	0.003502	0.000534	0.000336	-10384.481
158	0.003063	0.006968	0.000576	0.004506	0.002994	0.000456	0.000287	-10426.133
160	0.003316	0.007545	0.000624	0.004879	0.003242	0.000494	0.000311	-10414.790
162	0.003316	0.007545	0.000624	0.004606	0.003522	0.000494	0.000287	-10414.493
164	0.003213	0.007312	0.000605	0.004353	0.003200	0.000484	0.000296	-10412.895
166	0.003063	0.006970	0.000577	0.004639	0.003050	0.000461	0.000282	-10402.225
168	0.003275	0.007451	0.000616	0.004960	0.003261	0.000493	0.000302	-10417.254
170	0.003696	0.008410	0.000696	0.005598	0.003681	0.000556	0.000341	-10396.536
172	0.003696	0.008921	0.000696	0.005598	0.003681	0.000556	0.000341	-10437.728
174	0.003696	0.009332	0.000696	0.005504	0.003512	0.000573	0.000341	-10411.671
176	0.004015	0.010137	0.000756	0.005979	0.003815	0.000622	0.000370	-10422.996
178	0.004015	0.010137	0.000756	0.005975	0.003815	0.000622	0.000370	-10398.395
180	0.004294	0.010842	0.000882	0.006391	0.003992	0.000666	0.000354	-10406.613
182	0.004294	0.010842	0.000882	0.007344	0.003992	0.000625	0.000354	-10400.902
184	0.004294	0.010842	0.000882	0.007344	0.003593	0.000625	0.000375	-10387.207
186	0.004294	0.010561	0.000882	0.007725	0.003316	0.000625	0.000406	-10411.998
188	0.003873	0.009525	0.000796	0.006967	0.002836	0.000564	0.000386	-10408.349
190	0.004378	0.010766	0.000900	0.008361	0.003205	0.000637	0.000436	-10392.273
192	0.004094	0.010580	0.000841	0.006935	0.002997	0.000620	0.000408	-10405.929
194	0.004094	0.010580	0.000841	0.006935	0.002997	0.000620	0.000408	-10406.207
196	0.004094	0.010580	0.000841	0.007404	0.002721	0.000620	0.000450	-10390.000
198	0.003735	0.009651	0.000767	0.006753	0.002482	0.000566	0.000410	-10394.742
200	0.003569	0.009224	0.000733	0.006137	0.002372	0.000548	0.000392	-10394.236
202	0.003569	0.009224	0.000745	0.006084	0.002381	0.000548	0.000390	-10406.978
204	0.003569	0.009224	0.000745	0.005490	0.002702	0.000548	0.000390	-10385.593
206	0.003834	0.009907	0.000800	0.005752	0.002902	0.000607	0.000419	-10402.018
208	0.003820	0.010439	0.000797	0.006263	0.002440	0.000589	0.000418	-10424.672
210	0.003820	0.010439	0.000797	0.006205	0.002440	0.000591	0.000418	-10404.498
212	0.003820	0.010439	0.000797	0.006205	0.003031	0.000591	0.000397	-10396.300
214	0.003521	0.009620	0.000734	0.005718	0.002794	0.000544	0.000366	-10425.103
216	0.003946	0.010525	0.001296	0.006409	0.003131	0.000610	0.000411	-10437.016
218	0.003546	0.009459	0.001165	0.005188	0.002949	0.000568	0.000352	-10397.194
220	0.003546	0.009459	0.001273	0.004723	0.002949	0.000568	0.000352	-10393.586
222	0.003798	0.011056	0.001426	0.005576	0.003305	0.000624	0.000395	-10406.746
224	0.003798	0.011056	0.000995	0.005576	0.003305	0.000624	0.000395	-10385.716
226	0.003798	0.011056	0.000995	0.005576	0.003543	0.000624	0.000395	-10384.899
228	0.003573	0.011687	0.000995	0.005727	0.003377	0.000602	0.000396	-10384.778
230	0.003573	0.011792	0.000995	0.006050	0.003377	0.000602	0.000396	-10400.709
232	0.003573	0.011792	0.000995	0.006050	0.002818	0.000602	0.000396	-10421.999
234	0.003573	0.011792	0.000995	0.006415	0.002470	0.000602	0.000425	-10394.389
236	0.003966	0.011792	0.000995	0.006415	0.002470	0.000602	0.000425	-10428.854
238	0.004124	0.012598	0.001034	0.006671	0.002569	0.000626	0.000442	-10414.590
240	0.003682	0.010693	0.000924	0.005045	0.002219	0.000587	0.000408	-10410.224
242	0.003976	0.011178	0.000997	0.005447	0.002396	0.000633	0.000441	-10413.642
244	0.003473	0.009388	0.000871	0.004597	0.002093	0.000553	0.000385	-10428.138
246	0.003473	0.009312	0.000871	0.004525	0.002093	0.000533	0.000385	-10415.039
248	0.003851	0.010325	0.000966	0.005017	0.002321	0.000591	0.000427	-10405.558
250	0.003851	0.010325	0.000966	0.005017	0.002321	0.000591	0.000427	-10403.005
252	0.003851	0.010780	0.000966	0.005267	0.001887	0.000591	0.000445	-10416.563
254	0.004073	0.012099	0.001084	0.005102	0.002118	0.000689	0.000500	-10421.024
256	0.003444	0.010232	0.000917	0.004315	0.001791	0.000583	0.000423	-10417.627
258	0.003821	0.011351	0.001017	0.004956	0.001987	0.000641	0.000469	-10401.808
260	0.003578	0.010630	0.000952	0.004642	0.001861	0.000600	0.000439	-10410.122
262	0.004118	0.012233	0.001096	0.006593	0.002142	0.000655	0.000505	-10413.115
264	0.004182	0.012154	0.000955	0.006550	0.002128	0.000651	0.000502	-10397.284
266	0.004182	0.013299	0.000955	0.006550	0.001678	0.000651	0.000528	-10397.039
