Gen	theta_1Jp	theta_2Me	theta_3MoN	theta_4MoS	theta_5Si	theta_6JpMeMoNMoSSi	theta_7JpMeMoNMoS	theta_8JpMeMoN	theta_9JpMe	tau_6JpMeMoNMoSSi	tau_7JpMeMoNMoS	tau_8JpMeMoN	tau_9JpMe	lnL
2	0.002243	0.000664	0.002161	0.015835	0.001185	0.007199	0.001762	0.002959	0.002740	0.000695	0.000563	0.000358	0.000230	-10414.068
4	0.002243	0.000664	0.002161	0.015835	0.001185	0.007199	0.002137	0.002446	0.002740	0.000695	0.000528	0.000385	0.000230	-10433.261
6	0.002479	0.000734	0.002389	0.017501	0.001310	0.008324	0.002186	0.002512	0.003209	0.000760	0.000596	0.000438	0.000240	-10427.514
8	0.002479	0.000734	0.002389	0.017501	0.001310	0.008324	0.002339	0.002569	0.003392	0.000760	0.000585	0.000434	0.000227	-10391.853
10	0.002479	0.000734	0.002389	0.017501	0.001310	0.008412	0.002369	0.002089	0.003392	0.000760	0.000581	0.000437	0.000227	-10428.357
12	0.002230	0.000660	0.002148	0.015739	0.001178	0.007037	0.002213	0.001883	0.002482	0.000696	0.000517	0.000392	0.000204	-10418.130
14	0.002168	0.000642	0.002089	0.015303	0.001146	0.007184	0.002152	0.001783	0.002413	0.000668	0.000503	0.000386	0.000198	-10419.566
16	0.002634	0.000780	0.002538	0.018532	0.001392	0.008918	0.002879	0.002447	0.002932	0.000807	0.000598	0.000443	0.000241	-10426.900
18	0.002634	0.000780	0.002089	0.018532	0.001392	0.009812	0.003109	0.002219	0.002767	0.000788	0.000587	0.000464	0.000255	-10428.629
20	0.002634	0.000780	0.002089	0.018125	0.001392	0.009431	0.002746	0.002026	0.002683	0.000788	0.000602	0.000484	0.000263	-10438.444
22	0.002271	0.000672	0.001801	0.015627	0.001200	0.008283	0.002213	0.001885	0.002290	0.000688	0.000526	0.000403	0.000229	-10414.318
24	0.002612	0.000672	0.001801	0.015504	0.001200	0.007729	0.002195	0.001780	0.002067	0.000688	0.000528	0.000413	0.000254	-10439.661
26	0.002462	0.000634	0.001698	0.015108	0.001131	0.007286	0.001792	0.001569	0.001890	0.000649	0.000513	0.000400	0.000247	-10426.372
28	0.002072	0.000634	0.001698	0.015108	0.001131	0.006490	0.001765	0.001369	0.001945	0.000649	0.000515	0.000423	0.000240	-10427.685
30	0.002334	0.000714	0.001912	0.017014	0.001930	0.007309	0.001987	0.001372	0.002950	0.000731	0.000580	0.000504	0.000247	-10407.477
32	0.002334	0.000714	0.001912	0.017014	0.001930	0.007309	0.001987	0.001324	0.002986	0.000731	0.000580	0.000513	0.000244	-10396.232
34	0.002721	0.000832	0.002788	0.019172	0.002250	0.008364	0.002318	0.001613	0.003365	0.000847	0.000676	0.000587	0.000294	-10419.211
36	0.002297	0.000717	0.002402	0.016521	0.001939	0.007207	0.002229	0.001388	0.003005	0.000730	0.000573	0.000506	0.000245	-10431.510
38	0.002297	0.000717	0.001865	0.016163	0.001939	0.007383	0.001924	0.001766	0.002441	0.000726	0.000584	0.000520	0.000245	-10408.793
40	0.002854	0.000891	0.002972	0.020079	0.002409	0.009508	0.002028	0.002363	0.004523	0.000896	0.000742	0.000621	0.000292	-10419.011
42	0.002854	0.000891	0.002972	0.020079	0.002409	0.009970	0.002021	0.002782	0.004532	0.000895	0.000743	0.000636	0.000292	-10416.468
44	0.002854	0.000891	0.002972	0.020807	0.002409	0.010782	0.002232	0.002954	0.004325	0.000895	0.000732	0.000617	0.000305	-10445.557
46	0.002854	0.000891	0.002972	0.020807	0.001893	0.010625	0.002621	0.003681	0.004106	0.000909	0.000714	0.000598	0.000293	-10446.378
