Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
2	0.006188	0.016067	0.002061	0.005069	0.003995	0.001044	0.000709	-10410.343
4	0.007156	0.017846	0.002384	0.006350	0.004886	0.001178	0.000775	-10433.283
6	0.007156	0.017846	0.002384	0.006927	0.004886	0.001144	0.000775	-10442.170
8	0.007156	0.017846	0.002384	0.005800	0.004886	0.001168	0.000775	-10458.979
10	0.006651	0.016585	0.002215	0.005390	0.004359	0.001085	0.000750	-10431.241
12	0.006651	0.016055	0.002215	0.004916	0.004183	0.001115	0.000782	-10413.666
14	0.005445	0.013144	0.001814	0.004634	0.003647	0.000913	0.000601	-10431.117
16	0.004702	0.011352	0.001566	0.004002	0.002976	0.000788	0.000549	-10437.050
18	0.004702	0.011352	0.001566	0.004002	0.002976	0.000788	0.000549	-10403.366
20	0.004702	0.011352	0.001566	0.004002	0.002976	0.000788	0.000549	-10416.606
22	0.004518	0.010906	0.001674	0.004254	0.002798	0.000793	0.000539	-10406.019
24	0.004518	0.010049	0.001674	0.004254	0.002798	0.000793	0.000539	-10407.627
26	0.004518	0.010049	0.001674	0.004254	0.002798	0.000793	0.000539	-10401.495
28	0.004518	0.010772	0.001674	0.003537	0.002823	0.000793	0.000534	-10409.291
30	0.004708	0.011226	0.001745	0.004256	0.002942	0.000827	0.000557	-10412.932
32	0.005281	0.011919	0.001957	0.004774	0.003044	0.000927	0.000677	-10416.760
34	0.006060	0.014523	0.002246	0.006729	0.002939	0.001038	0.000736	-10404.098
36	0.006060	0.014523	0.002246	0.006729	0.003015	0.001038	0.000718	-10397.359
38	0.005667	0.013581	0.002100	0.006292	0.002819	0.000970	0.000671	-10407.409
40	0.005667	0.013581	0.002100	0.006292	0.002701	0.000970	0.000700	-10414.728
42	0.005936	0.013581	0.002100	0.006292	0.002553	0.000970	0.000741	-10431.168
44	0.005936	0.013581	0.002100	0.006292	0.002692	0.000970	0.000703	-10401.192
46	0.005105	0.011678	0.001806	0.004882	0.002315	0.000859	0.000604	-10410.730
48	0.005254	0.012020	0.001859	0.005025	0.002310	0.000885	0.000642	-10414.576
50	0.005254	0.012020	0.001859	0.005025	0.002413	0.000885	0.000614	-10419.283
52	0.005254	0.012020	0.001859	0.005025	0.002740	0.000885	0.000603	-10404.923
54	0.004708	0.010771	0.001665	0.004503	0.002455	0.000793	0.000540	-10404.809
56	0.004708	0.010771	0.001665	0.005087	0.001913	0.000764	0.000531	-10449.022
58	0.004829	0.010771	0.002282	0.005087	0.001752	0.000764	0.000580	-10433.268
60	0.004829	0.010771	0.002282	0.005087	0.001900	0.000764	0.000535	-10448.940
62	0.004829	0.010912	0.002282	0.005087	0.001892	0.000764	0.000537	-10418.170
64	0.004829	0.010912	0.002282	0.004930	0.001781	0.000771	0.000571	-10412.282
66	0.005409	0.012223	0.002088	0.004601	0.001996	0.000842	0.000639	-10405.370
68	0.005409	0.012223	0.002088	0.004390	0.002103	0.000851	0.000607	-10411.419
70	0.004826	0.011851	0.001863	0.003917	0.001876	0.000760	0.000541	-10434.590
72	0.005464	0.014297	0.002109	0.005008	0.002096	0.000860	0.000621	-10436.932
74	0.005464	0.014297	0.002109	0.004189	0.002246	0.000860	0.000580	-10420.774
76	0.005514	0.015555	0.002295	0.004557	0.002672	0.000936	0.000577	-10428.506
78	0.005514	0.014931	0.002295	0.005131	0.002672	0.000896	0.000577	-10434.631
80	0.005867	0.015887	0.002442	0.005460	0.002843	0.000953	0.000614	-10431.947
82	0.005818	0.016013	0.002421	0.005906	0.002820	0.000968	0.000608	-10419.739
84	0.006943	0.019107	0.002889	0.008168	0.003365	0.001096	0.000726	-10424.074
86	0.006513	0.017548	0.002710	0.007268	0.003029	0.001044	0.000710	-10412.585
88	0.005534	0.014910	0.002303	0.005255	0.002544	0.000887	0.000610	-10423.988
90	0.005782	0.015577	0.002406	0.005490	0.002836	0.000926	0.000597	-10396.787
92	0.005782	0.015577	0.002406	0.006086	0.002614	0.000926	0.000648	-10384.595
94	0.005168	0.013922	0.002150	0.004218	0.002337	0.000820	0.000579	-10410.138
96	0.005168	0.013922	0.002150	0.004363	0.002337	0.000850	0.000579	-10428.269
98	0.005567	0.014893	0.002413	0.005333	0.002622	0.000929	0.000650	-10428.822
100	0.005567	0.014893	0.002413	0.004567	0.002622	0.000975	0.000650	-10401.605
102	0.006009	0.015608	0.002605	0.004930	0.002830	0.001053	0.000702	-10398.432
104	0.006009	0.015608	0.002605	0.004930	0.003008	0.001053	0.000660	-10440.522
106	0.006009	0.015902	0.002605	0.005053	0.002841	0.001043	0.000699	-10443.259
108	0.006009	0.015902	0.002605	0.005396	0.002841	0.001021	0.000699	-10430.076
110	0.005568	0.014734	0.002414	0.004531	0.002632	0.000977	0.000648	-10414.166
112	0.005568	0.014734	0.001767	0.005242	0.002632	0.000992	0.000648	-10425.715
114	0.004636	0.012268	0.001471	0.004365	0.002136	0.000826	0.000553	-10433.474
116	0.005686	0.014284	0.001804	0.005353	0.002620	0.001013	0.000679	-10414.472
118	0.005499	0.014284	0.001804	0.006252	0.002655	0.000965	0.000670	-10414.611
120	0.005761	0.014965	0.002244	0.005930	0.002782	0.001043	0.000702	-10424.165
122	0.005614	0.015296	0.002187	0.006160	0.002711	0.000996	0.000684	-10419.976
124	0.005614	0.015296	0.002187	0.006160	0.002667	0.000996	0.000695	-10414.730
126	0.005614	0.015480	0.002187	0.005484	0.002797	0.001033	0.000662	-10404.706
128	0.005614	0.014502	0.002211	0.005520	0.002916	0.001024	0.000636	-10399.518
130	0.005614	0.014971	0.002211	0.005349	0.002842	0.001036	0.000652	-10430.320
132	0.005614	0.014971	0.002211	0.005880	0.002877	0.001001	0.000644	-10424.562
