Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
2	0.019200	0.002438	0.008214	0.000913	-10408.333
4	0.021066	0.002675	0.009012	0.001001	-10423.496
6	0.018264	0.002319	0.007817	0.000868	-10411.486
8	0.017576	0.002319	0.007817	0.000868	-10397.263
10	0.020226	0.002669	0.008996	0.000999	-10407.096
12	0.018666	0.002499	0.008318	0.000947	-10409.983
14	0.017146	0.002296	0.007388	0.000900	-10406.078
16	0.020367	0.002599	0.008365	0.001019	-10421.538
18	0.020367	0.002599	0.008115	0.001050	-10423.056
20	0.019639	0.002599	0.008687	0.000981	-10416.089
22	0.019212	0.002543	0.008237	0.000990	-10403.803
24	0.016785	0.002257	0.007614	0.000844	-10392.906
26	0.017145	0.002435	0.008815	0.000848	-10397.164
28	0.017145	0.002435	0.008647	0.000865	-10397.634
30	0.017145	0.002435	0.007679	0.000865	-10414.401
32	0.015141	0.002151	0.006781	0.000764	-10413.839
34	0.015141	0.002151	0.006781	0.000764	-10412.680
36	0.015141	0.002151	0.006781	0.000764	-10406.964
38	0.017654	0.002508	0.008075	0.000872	-10422.143
40	0.016029	0.002277	0.006659	0.000774	-10425.010
42	0.023400	0.003324	0.009318	0.001178	-10425.441
44	0.021505	0.003055	0.009186	0.001059	-10413.157
46	0.023889	0.003535	0.011701	0.001225	-10397.172
48	0.020152	0.003045	0.009053	0.001067	-10398.648
50	0.024234	0.002917	0.011131	0.001214	-10416.131
52	0.023263	0.002719	0.008912	0.001198	-10399.506
54	0.027475	0.003212	0.011947	0.001415	-10412.197
56	0.029405	0.003437	0.013265	0.001427	-10403.581
58	0.024605	0.002876	0.011100	0.001194	-10424.114
60	0.024605	0.002876	0.010293	0.001288	-10417.471
62	0.027230	0.003183	0.011685	0.001390	-10401.447
64	0.024331	0.002844	0.010084	0.001286	-10435.366
66	0.024331	0.002844	0.009941	0.001304	-10426.655
68	0.025059	0.002844	0.010336	0.001254	-10405.964
70	0.023803	0.002844	0.010405	0.001185	-10424.132
72	0.025208	0.003065	0.009690	0.001316	-10407.489
74	0.026217	0.003065	0.009902	0.001287	-10411.859
76	0.026217	0.001900	0.010830	0.001247	-10397.880
78	0.030206	0.002189	0.013280	0.001421	-10401.267
80	0.030206	0.002189	0.013024	0.001449	-10402.799
82	0.023171	0.001679	0.009625	0.001092	-10401.465
84	0.019961	0.001447	0.007964	0.000979	-10411.331
86	0.019961	0.001447	0.006854	0.001025	-10415.944
88	0.019961	0.001447	0.007170	0.000979	-10439.107
90	0.020807	0.001447	0.006920	0.001015	-10389.057
92	0.021410	0.001896	0.006660	0.001054	-10425.193
94	0.022227	0.001896	0.006125	0.001024	-10440.637
96	0.018830	0.001606	0.005253	0.000857	-10410.439
98	0.018830	0.001606	0.005501	0.000819	-10399.973
