Gen	theta_1JpMe	theta_2MoN	theta_3MoS	theta_4Si	theta_5JpMeMoNMoSSi	theta_6JpMeMoNMoS	theta_7JpMeMoN	tau_5JpMeMoNMoSSi	tau_6JpMeMoNMoS	tau_7JpMeMoN	lnL
2	0.003130	0.001384	0.009866	0.002266	0.003271	0.004844	0.005438	0.000830	0.000471	0.000223	-10421.613
4	0.002495	0.001103	0.007863	0.001806	0.002792	0.003860	0.005018	0.000642	0.000375	0.000178	-10414.047
6	0.002495	0.001103	0.007863	0.001806	0.002792	0.003381	0.005018	0.000642	0.000403	0.000178	-10404.064
8	0.002188	0.000967	0.006895	0.001584	0.002449	0.003567	0.004400	0.000563	0.000320	0.000156	-10396.049
10	0.002442	0.001079	0.007697	0.001768	0.002711	0.003440	0.004912	0.000630	0.000386	0.000174	-10395.609
12	0.002442	0.001079	0.007697	0.001768	0.002711	0.003002	0.004912	0.000630	0.000417	0.000174	-10377.239
14	0.002442	0.001079	0.007697	0.001768	0.002476	0.003278	0.004912	0.000651	0.000397	0.000174	-10377.581
16	0.002442	0.001079	0.007697	0.001768	0.002694	0.003212	0.004912	0.000631	0.000401	0.000174	-10387.884
18	0.002398	0.001060	0.006826	0.001736	0.002645	0.003412	0.004823	0.000620	0.000377	0.000171	-10413.543
20	0.002398	0.001060	0.006826	0.001736	0.002645	0.003081	0.004481	0.000620	0.000398	0.000184	-10406.342
22	0.002398	0.001060	0.006826	0.001736	0.002645	0.003511	0.004481	0.000620	0.000372	0.000184	-10393.551
24	0.002398	0.001060	0.006826	0.001736	0.002841	0.003830	0.003815	0.000603	0.000356	0.000216	-10403.586
26	0.002398	0.001060	0.006826	0.001736	0.002841	0.003830	0.003815	0.000603	0.000356	0.000216	-10416.472
28	0.002116	0.000935	0.006023	0.001532	0.002329	0.003257	0.003366	0.000549	0.000319	0.000190	-10413.428
30	0.002255	0.000997	0.006418	0.001632	0.002482	0.003471	0.003587	0.000585	0.000340	0.000203	-10397.619
32	0.002255	0.000997	0.006418	0.001632	0.002264	0.003471	0.003587	0.000608	0.000340	0.000203	-10410.253
34	0.002255	0.000997	0.006418	0.001632	0.002343	0.003574	0.004037	0.000599	0.000335	0.000180	-10423.426
36	0.002255	0.000997	0.006418	0.001632	0.002343	0.003574	0.004037	0.000599	0.000335	0.000180	-10403.611
38	0.002255	0.000997	0.006418	0.001632	0.002692	0.003574	0.004037	0.000565	0.000335	0.000180	-10411.766
40	0.002255	0.000997	0.006418	0.001632	0.002692	0.004006	0.005567	0.000565	0.000319	0.000180	-10391.673
42	0.002255	0.000997	0.006418	0.001632	0.002564	0.003089	0.006085	0.000577	0.000362	0.000165	-10387.802
44	0.002369	0.001047	0.006742	0.001714	0.002764	0.003791	0.006392	0.000601	0.000350	0.000173	-10398.916
46	0.002369	0.001047	0.006742	0.001714	0.003060	0.003273	0.006392	0.000576	0.000378	0.000173	-10408.212
48	0.002369	0.001047	0.006742	0.001714	0.003060	0.003273	0.006392	0.000576	0.000378	0.000173	-10390.682
50	0.002678	0.001184	0.007622	0.001938	0.003065	0.003239	0.007227	0.000680	0.000461	0.000196	-10397.750
52	0.002678	0.001184	0.007622	0.001938	0.003065	0.003342	0.007227	0.000680	0.000452	0.000196	-10405.888
54	0.002678	0.001184	0.007622	0.001938	0.002608	0.003382	0.007687	0.000721	0.000449	0.000184	-10406.171
56	0.002678	0.001184	0.007622	0.001938	0.002608	0.003362	0.007687	0.000721	0.000451	0.000184	-10397.228
58	0.002698	0.001180	0.007680	0.001953	0.002990	0.003387	0.005108	0.000693	0.000454	0.000198	-10395.382
60	0.002698	0.001180	0.007680	0.001953	0.002813	0.003776	0.005108	0.000711	0.000428	0.000198	-10407.149
62	0.002785	0.001218	0.007927	0.002016	0.002904	0.004022	0.005272	0.000734	0.000434	0.000204	-10413.259
64	0.002785	0.001218	0.007927	0.002016	0.002904	0.004488	0.005477	0.000734	0.000410	0.000197	-10412.279
