Gen	theta_1JpMe	theta_2MoN	theta_3MoS	theta_4Si	theta_5JpMeMoNMoSSi	theta_6JpMeMoNMoS	theta_7JpMeMoN	tau_5JpMeMoNMoSSi	tau_6JpMeMoNMoS	tau_7JpMeMoN	lnL
2	0.002436	0.001629	0.008875	0.001475	0.002967	0.000957	0.003514	0.000507	0.000406	0.000223	-10416.658
4	0.002594	0.001734	0.009450	0.001571	0.002931	0.001019	0.004112	0.000548	0.000433	0.000216	-10396.662
6	0.002594	0.001734	0.009928	0.001571	0.003114	0.001068	0.004229	0.000541	0.000422	0.000210	-10420.932
8	0.002594	0.001734	0.009342	0.001571	0.002863	0.001156	0.003907	0.000527	0.000406	0.000227	-10433.109
10	0.002677	0.001790	0.009642	0.001621	0.002955	0.001368	0.004438	0.000544	0.000396	0.000213	-10423.370
12	0.002677	0.001790	0.009642	0.001621	0.002955	0.001259	0.004438	0.000544	0.000412	0.000213	-10428.853
14	0.002677	0.001790	0.009642	0.001621	0.002955	0.001259	0.005189	0.000544	0.000412	0.000233	-10419.924
16	0.002677	0.001790	0.009233	0.001621	0.003228	0.001107	0.005886	0.000532	0.000436	0.000205	-10432.576
18	0.002416	0.001615	0.008332	0.001463	0.002538	0.000999	0.005086	0.000493	0.000394	0.000193	-10426.445
20	0.002416	0.001615	0.008332	0.001463	0.002538	0.000894	0.005086	0.000493	0.000417	0.000193	-10425.966
22	0.002416	0.001615	0.008980	0.001463	0.002538	0.000882	0.005086	0.000493	0.000420	0.000193	-10408.138
24	0.002115	0.001615	0.008980	0.001463	0.002235	0.000846	0.005517	0.000493	0.000430	0.000178	-10427.981
26	0.002371	0.001811	0.010067	0.001640	0.002506	0.000909	0.006186	0.000553	0.000494	0.000200	-10411.121
28	0.002183	0.001668	0.009271	0.001510	0.002307	0.000887	0.005092	0.000509	0.000440	0.000206	-10412.987
30	0.002183	0.001668	0.009271	0.001510	0.002307	0.000912	0.005189	0.000509	0.000433	0.000202	-10425.470
32	0.002183	0.001668	0.009271	0.001510	0.002307	0.000944	0.003888	0.000509	0.000426	0.000199	-10427.690
34	0.002183	0.001668	0.009271	0.001510	0.002260	0.000891	0.003850	0.000511	0.000439	0.000201	-10429.313
36	0.002183	0.001668	0.008400	0.001510	0.002260	0.000956	0.003696	0.000511	0.000422	0.000209	-10433.131
38	0.002553	0.001950	0.009822	0.001766	0.003263	0.001154	0.004322	0.000576	0.000485	0.000245	-10398.073
40	0.002737	0.002091	0.012534	0.001894	0.003030	0.001271	0.005888	0.000633	0.000513	0.000256	-10401.974
42	0.002410	0.002091	0.011409	0.001894	0.003030	0.001403	0.006255	0.000633	0.000489	0.000241	-10421.024
44	0.002410	0.002091	0.011409	0.001894	0.003030	0.001374	0.003874	0.000633	0.000492	0.000237	-10408.151
46	0.002410	0.002091	0.011409	0.001894	0.003030	0.001302	0.003874	0.000633	0.000506	0.000237	-10403.449
48	0.002204	0.001912	0.010433	0.001732	0.003334	0.001334	0.003511	0.000593	0.000436	0.000219	-10421.404
50	0.002421	0.002100	0.011459	0.001902	0.003662	0.001334	0.004040	0.000652	0.000503	0.000230	-10415.577
52	0.002178	0.001889	0.011157	0.001711	0.003294	0.001109	0.003634	0.000586	0.000472	0.000207	-10409.102
54	0.002178	0.001889	0.012005	0.001711	0.003031	0.001036	0.003634	0.000596	0.000491	0.000207	-10427.875
56	0.002178	0.001889	0.012005	0.001711	0.003031	0.000984	0.003634	0.000596	0.000506	0.000207	-10424.119
58	0.002038	0.001768	0.011235	0.001601	0.002836	0.000867	0.003176	0.000558	0.000490	0.000207	-10414.360
60	0.002391	0.002074	0.013177	0.001878	0.003372	0.001047	0.003517	0.000653	0.000565	0.000257	-10432.281
62	0.002351	0.002039	0.012958	0.001847	0.003620	0.000991	0.003459	0.000636	0.000568	0.000253	-10413.240
64	0.002351	0.002039	0.012257	0.001847	0.002927	0.001093	0.003627	0.000652	0.000538	0.000241	-10442.405
66	0.002351	0.002039	0.011517	0.001847	0.002927	0.000998	0.003442	0.000652	0.000566	0.000254	-10417.394
68	0.002088	0.001812	0.010230	0.001641	0.002600	0.000836	0.004066	0.000579	0.000520	0.000215	-10412.705
70	0.002088	0.001812	0.010230	0.001641	0.002600	0.000836	0.004066	0.000579	0.000520	0.000215	-10418.248
72	0.001908	0.001655	0.009345	0.001499	0.002375	0.000764	0.003427	0.000529	0.000475	0.000213	-10420.074
74	0.002219	0.001925	0.009847	0.001743	0.004836	0.000915	0.003986	0.000615	0.000543	0.000248	-10420.781
76	0.001881	0.001632	0.008348	0.001478	0.004100	0.000775	0.005335	0.000521	0.000461	0.000195	-10387.248
