Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
2	0.004514	0.012846	0.001751	0.004218	0.003560	0.001157	0.000505	-10435.359
4	0.004810	0.013688	0.001866	0.004239	0.003291	0.001259	0.000532	-10432.865
6	0.004752	0.013688	0.001866	0.004230	0.003218	0.001261	0.000544	-10435.101
8	0.004752	0.013688	0.001866	0.003837	0.003218	0.001261	0.000544	-10445.245
10	0.004752	0.013688	0.001520	0.004060	0.003092	0.001221	0.000544	-10433.347
12	0.004596	0.012328	0.001407	0.003427	0.002679	0.001188	0.000538	-10425.108
14	0.004596	0.012328	0.001407	0.003670	0.002540	0.001147	0.000568	-10437.533
16	0.005121	0.013615	0.001568	0.004193	0.003155	0.001261	0.000567	-10432.436
18	0.005475	0.015885	0.001850	0.004827	0.004627	0.001459	0.000574	-10413.646
20	0.005475	0.015672	0.002187	0.004902	0.004627	0.001446	0.000574	-10421.501
22	0.004927	0.014105	0.001968	0.004761	0.004164	0.001243	0.000517	-10407.105
24	0.004927	0.013653	0.001968	0.005095	0.004342	0.001213	0.000496	-10412.594
26	0.005507	0.015270	0.002511	0.005855	0.004853	0.001334	0.000554	-10403.874
28	0.005507	0.015270	0.002511	0.005735	0.004853	0.001350	0.000554	-10393.910
30	0.005646	0.015656	0.002575	0.006089	0.004976	0.001357	0.000568	-10403.558
32	0.005646	0.015656	0.001969	0.005592	0.004652	0.001389	0.000608	-10412.845
34	0.006209	0.017215	0.002537	0.006429	0.005115	0.001490	0.000668	-10429.606
36	0.006965	0.019313	0.002847	0.006805	0.005738	0.001669	0.000750	-10409.902
38	0.006702	0.018584	0.003228	0.006645	0.005632	0.001593	0.000707	-10412.730
40	0.006702	0.018584	0.003228	0.006481	0.005375	0.001615	0.000741	-10418.132
42	0.006815	0.018236	0.003228	0.006170	0.005648	0.001661	0.000705	-10425.994
44	0.006815	0.018236	0.002893	0.006291	0.005674	0.001642	0.000702	-10405.834
46	0.006815	0.018236	0.002893	0.006372	0.005674	0.001630	0.000702	-10394.862
48	0.005313	0.015533	0.002347	0.005169	0.005038	0.001430	0.000573	-10428.314
50	0.005517	0.016128	0.002437	0.005283	0.005450	0.001510	0.000572	-10403.484
52	0.004894	0.014308	0.002162	0.004825	0.004835	0.001316	0.000507	-10435.981
54	0.004894	0.014308	0.002162	0.004975	0.004835	0.001292	0.000507	-10425.868
56	0.004221	0.012340	0.001865	0.004135	0.004170	0.001139	0.000437	-10421.119
58	0.004771	0.013948	0.002107	0.004226	0.005099	0.001299	0.000494	-10433.084
60	0.005092	0.015170	0.002249	0.004782	0.004731	0.001338	0.000607	-10428.119
62	0.005092	0.015170	0.002249	0.004575	0.005180	0.001371	0.000607	-10432.907
64	0.005092	0.015170	0.002249	0.004513	0.005602	0.001410	0.000561	-10425.263
66	0.005092	0.015170	0.002249	0.004556	0.005602	0.001408	0.000561	-10428.372
68	0.005780	0.017218	0.002553	0.005843	0.006261	0.001568	0.000647	-10430.266
70	0.004784	0.014253	0.002113	0.004626	0.004826	0.001333	0.000575	-10432.516
72	0.004011	0.012461	0.001848	0.004126	0.004130	0.001152	0.000514	-10445.521
74	0.003673	0.012461	0.001848	0.004527	0.004409	0.001119	0.000481	-10439.456
76	0.004401	0.014933	0.002371	0.005484	0.005400	0.001332	0.000528	-10439.357
78	0.003929	0.013332	0.002117	0.004806	0.004821	0.001219	0.000472	-10442.585
80	0.003495	0.011859	0.001883	0.004150	0.004045	0.001064	0.000445	-10434.410
82	0.003495	0.011859	0.001883	0.004128	0.004018	0.001069	0.000478	-10411.168
84	0.003744	0.012395	0.002017	0.004406	0.004764	0.001147	0.000462	-10419.448
86	0.003692	0.012220	0.001989	0.004298	0.004557	0.001139	0.000470	-10437.288
88	0.003692	0.012606	0.002012	0.004298	0.004557	0.001139	0.000470	-10425.842
90	0.003469	0.011641	0.001890	0.004479	0.004282	0.001008	0.000441	-10436.533
92	0.003632	0.012188	0.001989	0.004418	0.004484	0.001092	0.000462	-10407.888
94	0.003587	0.012188	0.001989	0.004501	0.004607	0.001021	0.000450	-10419.296
96	0.003587	0.012188	0.001989	0.004501	0.004756	0.001021	0.000436	-10414.121
98	0.003099	0.010532	0.001718	0.003553	0.004137	0.000930	0.000374	-10422.155
100	0.002882	0.009793	0.001598	0.003599	0.003651	0.000823	0.000345	-10424.935
102	0.002882	0.009793	0.001598	0.003599	0.003651	0.000823	0.000345	-10411.814
104	0.002882	0.009793	0.001598	0.003539	0.004139	0.000831	0.000345	-10417.921
106	0.002898	0.009849	0.001640	0.003256	0.004163	0.000881	0.000347	-10431.012
108	0.002552	0.008672	0.001444	0.002749	0.003373	0.000796	0.000305	-10425.749
110	0.002552	0.008369	0.001444	0.002562	0.003373	0.000832	0.000305	-10432.512
112	0.002844	0.009327	0.001609	0.003099	0.003760	0.000881	0.000340	-10415.780
114	0.002844	0.009327	0.001609	0.002930	0.003433	0.000912	0.000340	-10416.588
116	0.002844	0.009327	0.001856	0.003155	0.003433	0.000871	0.000340	-10414.145
118	0.002480	0.007867	0.001619	0.002751	0.002993	0.000760	0.000297	-10413.302
120	0.002480	0.006957	0.001619	0.002599	0.002993	0.000787	0.000297	-10414.699
122	0.002480	0.006957	0.001134	0.002853	0.002908	0.000743	0.000306	-10407.730
124	0.003006	0.007726	0.001468	0.003169	0.003001	0.000825	0.000339	-10401.728
126	0.003098	0.007964	0.001513	0.003574	0.003093	0.000808	0.000350	-10414.611
128	0.003441	0.008845	0.001680	0.003786	0.003014	0.000954	0.000443	-10417.306
130	0.003441	0.008845	0.001680	0.004168	0.003273	0.000904	0.000408	-10412.485
132	0.003716	0.009279	0.001814	0.004355	0.003820	0.000976	0.000440	-10385.381
134	0.003716	0.009265	0.001814	0.003813	0.003820	0.001008	0.000440	-10404.357
136	0.003716	0.009265	0.002084	0.003746	0.003820	0.001019	0.000440	-10420.135
138	0.003716	0.009265	0.002084	0.003384	0.003820	0.001019	0.000440	-10410.517
140	0.003510	0.008752	0.001969	0.003400	0.003609	0.000930	0.000416	-10400.143
142	0.003873	0.009657	0.002172	0.003677	0.003982	0.001037	0.000459	-10391.363
144	0.003873	0.009026	0.002484	0.004405	0.004008	0.001006	0.000459	-10404.941
146	0.003873	0.009026	0.002484	0.003784	0.004230	0.001096	0.000435	-10402.427
148	0.003628	0.008455	0.002327	0.003544	0.003962	0.001027	0.000407	-10397.748
150	0.003628	0.008455	0.002327	0.003966	0.003990	0.001037	0.000404	-10409.756
152	0.003628	0.008455	0.002009	0.004307	0.003990	0.000987	0.000404	-10410.697
154	0.003391	0.007902	0.001877	0.004013	0.003729	0.000924	0.000378	-10411.014
156	0.003806	0.008869	0.002107	0.004864	0.003796	0.000992	0.000424	-10410.043
158	0.003806	0.008869	0.001808	0.004913	0.003796	0.000987	0.000424	-10409.749
160	0.003806	0.008869	0.001808	0.004935	0.003587	0.000984	0.000424	-10395.686
162	0.003806	0.008869	0.001540	0.004688	0.003261	0.001014	0.000467	-10391.189
164	0.004136	0.009299	0.001674	0.004444	0.003958	0.001189	0.000507	-10400.216
166	0.003823	0.008594	0.002035	0.004238	0.003658	0.001040	0.000469	-10413.844
168	0.004295	0.009655	0.002286	0.004675	0.004001	0.001183	0.000541	-10424.661
170	0.004295	0.009655	0.001842	0.005365	0.004429	0.001172	0.000541	-10453.590
172	0.003845	0.008645	0.001649	0.004849	0.003965	0.001044	0.000484	-10422.533
174	0.003329	0.007485	0.001428	0.003849	0.003567	0.000952	0.000384	-10425.630
176	0.003329	0.007485	0.001428	0.003653	0.003567	0.000982	0.000384	-10422.928
178	0.002892	0.006502	0.001241	0.003379	0.003248	0.000820	0.000318	-10426.377
180	0.003124	0.007023	0.001340	0.003649	0.003508	0.000886	0.000344	-10435.796
182	0.003338	0.008014	0.001432	0.004049	0.003508	0.000927	0.000393	-10428.287
184	0.003338	0.007983	0.001432	0.003572	0.003348	0.000974	0.000412	-10447.472
186	0.003338	0.007983	0.001432	0.003818	0.003663	0.000935	0.000376	-10430.250
188	0.003296	0.007883	0.001414	0.003515	0.003617	0.000965	0.000371	-10430.242
190	0.003857	0.008875	0.001655	0.004113	0.004233	0.001129	0.000435	-10432.390
192	0.003355	0.007719	0.001439	0.003578	0.003342	0.000982	0.000416	-10431.891
194	0.003355	0.007719	0.001439	0.003890	0.003574	0.000937	0.000389	-10445.217
196	0.003842	0.009065	0.001648	0.004315	0.004540	0.001041	0.000402	-10450.698
198	0.004397	0.010374	0.002237	0.004847	0.004569	0.001203	0.000512	-10445.163
200	0.004555	0.011188	0.002317	0.004882	0.004733	0.001267	0.000530	-10456.716
