Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
2	0.005530	0.012560	0.001661	0.005242	0.001667	0.000784	0.000620	-10423.233
4	0.006304	0.014316	0.001893	0.005738	0.001930	0.000902	0.000696	-10412.782
6	0.006304	0.014316	0.001893	0.005885	0.001919	0.000906	0.000700	-10419.234
8	0.006645	0.014316	0.001893	0.005886	0.001924	0.000906	0.000699	-10427.359
10	0.005876	0.012660	0.001674	0.005256	0.001693	0.000800	0.000621	-10434.961
12	0.005851	0.014529	0.001921	0.005873	0.001931	0.000923	0.000717	-10450.786
14	0.005159	0.012813	0.001694	0.005047	0.001693	0.000819	0.000636	-10414.625
16	0.005189	0.013242	0.001651	0.004870	0.001684	0.000819	0.000639	-10416.927
18	0.005189	0.013242	0.001651	0.004990	0.001690	0.000815	0.000637	-10411.843
20	0.005091	0.014018	0.001748	0.005133	0.001822	0.000868	0.000662	-10423.266
22	0.005653	0.015567	0.001941	0.005863	0.002030	0.000957	0.000733	-10428.707
24	0.005653	0.015567	0.002822	0.006649	0.002019	0.000946	0.000737	-10437.649
26	0.005653	0.015567	0.002616	0.006903	0.002052	0.000938	0.000725	-10412.791
28	0.004948	0.013625	0.002290	0.006317	0.001796	0.000813	0.000635	-10408.912
30	0.004948	0.013625	0.002290	0.006616	0.001792	0.000805	0.000636	-10429.972
32	0.004315	0.012215	0.001997	0.005770	0.001542	0.000702	0.000562	-10429.143
34	0.004315	0.012558	0.001997	0.005623	0.001557	0.000696	0.000557	-10422.392
36	0.004315	0.012558	0.001997	0.004985	0.001547	0.000707	0.000560	-10426.629
38	0.004315	0.013040	0.001997	0.005202	0.001551	0.000701	0.000559	-10423.360
40	0.004315	0.013040	0.001584	0.005202	0.001553	0.000701	0.000558	-10406.356
42	0.004315	0.012829	0.001584	0.005202	0.001567	0.000701	0.000553	-10388.031
44	0.004323	0.012829	0.001584	0.004864	0.001552	0.000711	0.000559	-10393.152
46	0.004323	0.013606	0.001584	0.004864	0.001536	0.000711	0.000564	-10399.037
48	0.004323	0.013606	0.001584	0.004316	0.001554	0.000706	0.000558	-10417.509
50	0.003971	0.012498	0.001917	0.004018	0.001442	0.000647	0.000507	-10416.336
52	0.004029	0.012680	0.001945	0.003938	0.001477	0.000662	0.000510	-10436.509
54	0.003528	0.010636	0.001703	0.003504	0.001315	0.000577	0.000439	-10438.191
56	0.003528	0.010636	0.001387	0.003504	0.001327	0.000577	0.000435	-10439.672
58	0.003759	0.011332	0.001478	0.003954	0.001432	0.000607	0.000458	-10426.982
60	0.003759	0.011332	0.001478	0.003860	0.001398	0.000610	0.000469	-10433.175
62	0.004297	0.012952	0.001689	0.004717	0.001592	0.000700	0.000538	-10424.757
64	0.003951	0.012293	0.001271	0.004732	0.001475	0.000631	0.000491	-10434.420
66	0.003951	0.012772	0.001271	0.004943	0.001451	0.000636	0.000499	-10415.237
68	0.003951	0.012711	0.001271	0.005084	0.001419	0.000632	0.000510	-10420.430
70	0.003981	0.012711	0.001271	0.004900	0.001436	0.000637	0.000504	-10417.203
72	0.003815	0.012179	0.001218	0.004564	0.001373	0.000614	0.000484	-10425.851
74	0.003982	0.013891	0.001433	0.005369	0.001612	0.000722	0.000571	-10444.063
76	0.003204	0.011175	0.001153	0.004145	0.001281	0.000586	0.000465	-10442.740
78	0.003204	0.011175	0.001153	0.004297	0.001276	0.000582	0.000466	-10409.482
80	0.002866	0.009998	0.001031	0.003666	0.001176	0.000526	0.000405	-10419.642
82	0.002866	0.009998	0.001031	0.003944	0.001163	0.000526	0.000410	-10424.480
84	0.003350	0.011685	0.001205	0.004683	0.001358	0.000612	0.000479	-10412.893
86	0.002898	0.010020	0.001043	0.003891	0.001445	0.000534	0.000420	-10416.655
88	0.002950	0.010198	0.001061	0.003961	0.001507	0.000544	0.000417	-10421.830
90	0.002950	0.010198	0.001061	0.004286	0.001469	0.000534	0.000428	-10406.225
92	0.002924	0.010111	0.001052	0.004250	0.001410	0.000530	0.000419	-10434.275
94	0.003319	0.010940	0.001194	0.004734	0.001616	0.000593	0.000471	-10402.901
96	0.003319	0.010940	0.001194	0.004307	0.001650	0.000606	0.000461	-10406.051
98	0.003276	0.010445	0.001179	0.003200	0.001656	0.000598	0.000448	-10415.078
100	0.003803	0.011677	0.001368	0.003763	0.001912	0.000674	0.000523	-10413.721
102	0.004265	0.013093	0.001534	0.004252	0.002174	0.000754	0.000578	-10414.948
104	0.003920	0.012036	0.001411	0.003823	0.002000	0.000703	0.000531	-10422.613
106	0.003920	0.012036	0.001411	0.003720	0.001962	0.000708	0.000541	-10406.369
108	0.003784	0.011492	0.001362	0.003683	0.002299	0.000687	0.000518	-10392.324
110	0.003784	0.011492	0.001362	0.003931	0.001721	0.000676	0.000529	-10397.971
112	0.003784	0.011492	0.001362	0.003794	0.001678	0.000682	0.000543	-10405.970
114	0.003969	0.012054	0.001428	0.004278	0.001775	0.000705	0.000564	-10433.084
116	0.004210	0.013051	0.001711	0.004324	0.001916	0.000741	0.000588	-10418.907
118	0.004210	0.013560	0.001711	0.004605	0.001916	0.000741	0.000588	-10410.976
120	0.004210	0.013560	0.001711	0.004503	0.001914	0.000744	0.000589	-10424.419
122	0.003925	0.012642	0.001595	0.004374	0.001802	0.000705	0.000544	-10416.365
124	0.003925	0.012642	0.001595	0.004005	0.001836	0.000701	0.000544	-10415.852
126	0.003925	0.012642	0.001595	0.004294	0.001873	0.000690	0.000534	-10404.981
128	0.004184	0.012642	0.001595	0.004715	0.002288	0.000685	0.000539	-10412.717
130	0.004410	0.012083	0.001595	0.004422	0.002291	0.000694	0.000538	-10411.970
132	0.004085	0.011192	0.001478	0.003974	0.002148	0.000648	0.000493	-10410.205
134	0.003951	0.011672	0.001541	0.004584	0.002274	0.000674	0.000506	-10402.813
136	0.004200	0.012409	0.001638	0.004885	0.002451	0.000716	0.000531	-10428.061
138	0.004090	0.012085	0.001596	0.004529	0.002378	0.000707	0.000519	-10394.889
140	0.004090	0.011886	0.001596	0.004353	0.002440	0.000706	0.000506	-10404.746
142	0.004090	0.011886	0.001596	0.004359	0.002496	0.000691	0.000494	-10418.017
144	0.004090	0.011886	0.001596	0.004191	0.002476	0.000699	0.000498	-10421.273
146	0.004090	0.011886	0.001596	0.004197	0.002461	0.000698	0.000501	-10398.892
148	0.003907	0.011095	0.001524	0.004199	0.002307	0.000659	0.000488	-10416.346
150	0.004719	0.013401	0.001841	0.005384	0.002934	0.000790	0.000602	-10402.727
152	0.004719	0.013401	0.001841	0.005409	0.002988	0.000789	0.000591	-10396.880
154	0.004178	0.011864	0.001630	0.004995	0.002516	0.000691	0.000521	-10425.553
156	0.004799	0.013395	0.001872	0.005792	0.002861	0.000792	0.000605	-10391.081
158	0.004799	0.013395	0.001872	0.005093	0.002906	0.000800	0.000596	-10393.186
160	0.005120	0.014683	0.001997	0.005288	0.003032	0.000860	0.000650	-10392.216
162	0.005120	0.014683	0.001702	0.005235	0.003088	0.000862	0.000638	-10424.323
164	0.005120	0.014683	0.001702	0.005496	0.003123	0.000851	0.000631	-10447.284
166	0.004762	0.013722	0.001591	0.005136	0.002851	0.000795	0.000604	-10443.919
168	0.004762	0.013722	0.001591	0.005162	0.002902	0.000794	0.000593	-10424.560
170	0.005627	0.015791	0.001880	0.006327	0.002912	0.000930	0.000703	-10436.677
172	0.005005	0.014044	0.001392	0.005537	0.002585	0.000830	0.000626	-10424.467
174	0.005005	0.014044	0.001392	0.005887	0.002544	0.000818	0.000636	-10389.831
176	0.004476	0.012561	0.001245	0.005310	0.002280	0.000731	0.000568	-10410.115
178	0.004476	0.012561	0.001245	0.005717	0.002304	0.000719	0.000562	-10394.142
180	0.004005	0.012561	0.001245	0.004941	0.002331	0.000731	0.000556	-10416.321
182	0.004668	0.014641	0.001451	0.005840	0.002721	0.000849	0.000647	-10428.729
184	0.004017	0.012598	0.001249	0.004992	0.002378	0.000731	0.000548	-10420.107
186	0.004215	0.013549	0.001310	0.005014	0.002499	0.000776	0.000574	-10434.706
188	0.004215	0.014002	0.001225	0.004857	0.002984	0.000783	0.000570	-10404.756
190	0.004215	0.014229	0.001225	0.005158	0.002931	0.000788	0.000580	-10420.743
192	0.003821	0.013208	0.001111	0.004994	0.002670	0.000702	0.000523	-10430.323
194	0.003579	0.012370	0.001040	0.004668	0.002499	0.000658	0.000490	-10441.776
196	0.003579	0.012766	0.001040	0.004407	0.002496	0.000668	0.000491	-10422.715
198	0.004064	0.014498	0.001181	0.004981	0.002858	0.000759	0.000553	-10405.521
200	0.004315	0.015393	0.001254	0.005291	0.003052	0.000806	0.000584	-10423.633
202	0.003557	0.012688	0.001034	0.004123	0.002492	0.000675	0.000486	-10421.609
204	0.003155	0.011254	0.000917	0.003480	0.002264	0.000607	0.000421	-10427.042
206	0.003326	0.011685	0.000967	0.003852	0.002370	0.000631	0.000447	-10449.190
208	0.003894	0.013682	0.001132	0.004510	0.002775	0.000739	0.000523	-10433.834
210	0.003453	0.012511	0.001004	0.003946	0.002461	0.000647	0.000464	-10421.473
212	0.003577	0.012258	0.000983	0.003385	0.002420	0.000624	0.000452	-10442.092
214	0.003577	0.012258	0.000983	0.002868	0.002413	0.000631	0.000454	-10438.037
216	0.003577	0.012258	0.000983	0.003253	0.002446	0.000625	0.000448	-10446.387
218	0.003577	0.012258	0.000983	0.003388	0.002452	0.000618	0.000446	-10445.271
220	0.003577	0.012258	0.000983	0.003378	0.002457	0.000618	0.000446	-10445.853
222	0.003577	0.012258	0.000983	0.003146	0.002442	0.000631	0.000448	-10438.153
