Gen	theta_1Jp	theta_2Me	theta_3MoN	theta_4MoS	theta_5Si	theta_6JpMeMoNMoSSi	theta_7JpMeMoNMoS	theta_8JpMeMoN	theta_9JpMe	tau_6JpMeMoNMoSSi	tau_7JpMeMoNMoS	tau_8JpMeMoN	tau_9JpMe	lnL
2	0.002784	0.000441	0.001220	0.006922	0.001204	0.004979	0.150479	0.000294	0.000216	0.000560	0.000184	0.000180	0.000158	-10398.002
4	0.002603	0.000412	0.001141	0.006472	0.001126	0.004878	0.091708	0.000266	0.000202	0.000507	0.000174	0.000169	0.000148	-10392.841
6	0.002478	0.000392	0.001086	0.006388	0.001072	0.004463	0.087036	0.000253	0.000193	0.000496	0.000165	0.000161	0.000141	-10426.745
8	0.002510	0.000392	0.001086	0.006388	0.001072	0.004427	0.079810	0.000313	0.000193	0.000499	0.000166	0.000161	0.000141	-10411.248
10	0.002246	0.000351	0.000972	0.005714	0.000959	0.004178	0.071398	0.000289	0.000172	0.000446	0.000148	0.000144	0.000126	-10413.810
12	0.002471	0.000386	0.001069	0.005932	0.001055	0.004616	0.078787	0.000336	0.000190	0.000490	0.000163	0.000157	0.000138	-10413.486
14	0.002471	0.000386	0.001069	0.005932	0.001055	0.004537	0.078787	0.000336	0.000190	0.000495	0.000163	0.000157	0.000138	-10416.008
16	0.002471	0.000386	0.001284	0.005932	0.001055	0.004638	0.078787	0.000336	0.000190	0.000488	0.000163	0.000157	0.000138	-10411.642
18	0.002881	0.000450	0.001837	0.006916	0.001230	0.005578	0.091859	0.000391	0.000221	0.000557	0.000190	0.000183	0.000161	-10415.525
20	0.002881	0.000450	0.001837	0.006916	0.001230	0.005390	0.091859	0.000391	0.000221	0.000573	0.000190	0.000183	0.000161	-10406.681
22	0.003560	0.000556	0.002270	0.008547	0.001520	0.006718	0.113522	0.000496	0.000273	0.000704	0.000235	0.000226	0.000199	-10411.782
24	0.003560	0.000556	0.002270	0.008547	0.001520	0.006718	0.113658	0.000496	0.000273	0.000704	0.000235	0.000226	0.000199	-10406.235
26	0.003042	0.000475	0.001940	0.007303	0.001299	0.006341	0.097419	0.000423	0.000233	0.000584	0.000201	0.000193	0.000170	-10396.268
28	0.003092	0.000483	0.001972	0.007693	0.001321	0.006264	0.099022	0.000430	0.000244	0.000605	0.000204	0.000196	0.000168	-10389.132
30	0.003092	0.000483	0.001972	0.007625	0.001321	0.005982	0.116766	0.000413	0.000244	0.000624	0.000203	0.000197	0.000168	-10406.241
32	0.003092	0.000483	0.001972	0.007288	0.001321	0.005822	0.116766	0.000413	0.000244	0.000636	0.000203	0.000197	0.000168	-10392.448
34	0.003101	0.000485	0.001977	0.007611	0.001324	0.006192	0.090899	0.000414	0.000245	0.000613	0.000205	0.000198	0.000169	-10390.096
36	0.003101	0.000485	0.001977	0.007326	0.001324	0.006043	0.090899	0.000414	0.000245	0.000623	0.000205	0.000198	0.000169	-10398.478
38	0.003101	0.000485	0.002141	0.007326	0.001324	0.005915	0.090899	0.000414	0.000258	0.000607	0.000205	0.000198	0.000160	-10392.603
40	0.003101	0.000485	0.002141	0.007326	0.001324	0.006502	0.090899	0.000429	0.000258	0.000608	0.000205	0.000197	0.000160	-10364.115
42	0.002674	0.000418	0.001846	0.006317	0.001142	0.005395	0.062504	0.000370	0.000222	0.000538	0.000179	0.000169	0.000138	-10384.176
44	0.002810	0.000439	0.001940	0.006883	0.000868	0.005664	0.065695	0.000407	0.000211	0.000555	0.000188	0.000178	0.000161	-10383.956
46	0.002636	0.000439	0.002474	0.006754	0.000868	0.005478	0.065421	0.000407	0.000211	0.000568	0.000188	0.000178	0.000161	-10399.549
48	0.002585	0.000431	0.002442	0.006624	0.000851	0.005452	0.064164	0.000351	0.000207	0.000551	0.000184	0.000177	0.000157	-10398.747
50	0.002585	0.000431	0.002442	0.006624	0.000851	0.005055	0.064000	0.000351	0.000207	0.000580	0.000184	0.000177	0.000157	-10419.337
52	0.002585	0.000431	0.002442	0.006624	0.000851	0.004879	0.064000	0.000351	0.000202	0.000575	0.000184	0.000177	0.000162	-10415.320
54	0.002542	0.000423	0.002401	0.006514	0.000837	0.004887	0.060789	0.000345	0.000199	0.000559	0.000182	0.000174	0.000159	-10409.043
56	0.002542	0.000423	0.002401	0.006775	0.000837	0.005091	0.064751	0.000345	0.000199	0.000543	0.000181	0.000174	0.000159	-10425.849
58	0.002670	0.000445	0.002522	0.006901	0.000879	0.005218	0.054163	0.000362	0.000209	0.000580	0.000192	0.000183	0.000167	-10412.696
60	0.002973	0.000445	0.002809	0.006901	0.000879	0.005411	0.054163	0.000362	0.000209	0.000566	0.000192	0.000183	0.000167	-10444.019
62	0.003239	0.000485	0.003061	0.007519	0.000958	0.005462	0.058664	0.000395	0.000227	0.000616	0.000209	0.000199	0.000182	-10413.358
64	0.003239	0.000485	0.003370	0.007519	0.000958	0.005866	0.058664	0.000395	0.000234	0.000588	0.000209	0.000199	0.000177	-10436.372
66	0.003239	0.000485	0.003370	0.007519	0.000958	0.005730	0.076097	0.000207	0.000234	0.000597	0.000207	0.000199	0.000177	-10427.222
68	0.003426	0.000513	0.003564	0.007951	0.001013	0.006241	0.080470	0.000219	0.000247	0.000634	0.000219	0.000211	0.000187	-10415.628
70	0.003977	0.000595	0.003917	0.009230	0.001176	0.007207	0.093037	0.000254	0.000287	0.000738	0.000254	0.000245	0.000217	-10400.711
72	0.003977	0.000595	0.003701	0.009230	0.001176	0.006733	0.104629	0.000254	0.000274	0.000738	0.000253	0.000245	0.000228	-10402.522
74	0.004141	0.000595	0.003701	0.009108	0.001176	0.006550	0.104267	0.000254	0.000274	0.000752	0.000253	0.000245	0.000228	-10382.581
76	0.004141	0.000595	0.003278	0.009108	0.001176	0.006550	0.104267	0.000241	0.000274	0.000752	0.000253	0.000246	0.000228	-10411.604
78	0.004141	0.000595	0.003474	0.008780	0.001176	0.006145	0.104267	0.000224	0.000274	0.000785	0.000253	0.000247	0.000228	-10376.359
80	0.004141	0.000595	0.003474	0.008780	0.001176	0.007100	0.104267	0.000224	0.000274	0.000740	0.000253	0.000247	0.000228	-10406.668
82	0.004141	0.000595	0.003474	0.009278	0.001176	0.007224	0.079284	0.000224	0.000274	0.000750	0.000255	0.000247	0.000228	-10394.320
84	0.004141	0.000595	0.003474	0.009278	0.001176	0.007144	0.079020	0.000207	0.000274	0.000750	0.000255	0.000249	0.000228	-10393.090
86	0.004141	0.000595	0.003474	0.009278	0.001625	0.006543	0.079020	0.000207	0.000274	0.000774	0.000255	0.000249	0.000228	-10410.084
88	0.004141	0.000595	0.003474	0.008834	0.001625	0.006496	0.070741	0.000241	0.000274	0.000778	0.000256	0.000246	0.000228	-10398.980
90	0.004141	0.000595	0.003106	0.009045	0.001319	0.006440	0.070649	0.000241	0.000274	0.000763	0.000256	0.000246	0.000228	-10382.794
92	0.004141	0.000595	0.003106	0.009792	0.001319	0.006531	0.070649	0.000241	0.000274	0.000756	0.000256	0.000246	0.000228	-10405.700
94	0.004764	0.000685	0.003573	0.011265	0.001518	0.007513	0.081281	0.000592	0.000315	0.000870	0.000294	0.000283	0.000262	-10410.166
96	0.003817	0.000590	0.002822	0.009717	0.001309	0.006695	0.070109	0.000510	0.000276	0.000734	0.000254	0.000244	0.000222	-10398.894
98	0.003694	0.000571	0.002730	0.009042	0.001267	0.006124	0.055795	0.000494	0.000267	0.000738	0.000248	0.000236	0.000215	-10415.288
100	0.003694	0.000571	0.002929	0.009042	0.001267	0.005745	0.056442	0.000494	0.000267	0.000725	0.000248	0.000236	0.000215	-10405.422
102	0.003547	0.000571	0.002929	0.008384	0.001267	0.005745	0.069915	0.000504	0.000267	0.000725	0.000246	0.000235	0.000215	-10433.407
104	0.003547	0.000571	0.002929	0.008198	0.001267	0.005604	0.069915	0.000504	0.000267	0.000737	0.000246	0.000235	0.000215	-10407.312
106	0.003547	0.000571	0.002929	0.008198	0.001267	0.006156	0.048887	0.000504	0.000267	0.000722	0.000250	0.000235	0.000215	-10402.821
108	0.003547	0.000571	0.002929	0.008198	0.001267	0.005933	0.048887	0.000504	0.000267	0.000748	0.000250	0.000235	0.000215	-10398.570
110	0.003547	0.000571	0.002317	0.008198	0.001267	0.006142	0.048887	0.000504	0.000267	0.000760	0.000250	0.000235	0.000215	-10406.648
112	0.003547	0.000571	0.002317	0.008198	0.001267	0.006085	0.076322	0.000504	0.000267	0.000765	0.000245	0.000235	0.000215	-10395.707
114	0.003639	0.000586	0.002377	0.008411	0.001165	0.006560	0.078308	0.000517	0.000274	0.000759	0.000251	0.000242	0.000221	-10412.747
116	0.003639	0.000586	0.002377	0.007914	0.001165	0.006865	0.078308	0.000517	0.000274	0.000736	0.000251	0.000242	0.000221	-10380.703
118	0.003348	0.000586	0.002377	0.008117	0.001165	0.006224	0.078308	0.000517	0.000274	0.000758	0.000251	0.000242	0.000221	-10383.748
120	0.002820	0.000494	0.002003	0.006520	0.000982	0.005077	0.066322	0.000436	0.000231	0.000652	0.000211	0.000204	0.000186	-10389.043
122	0.002657	0.000494	0.002003	0.006253	0.000982	0.004975	0.078918	0.000436	0.000231	0.000661	0.000210	0.000204	0.000186	-10407.678
124	0.002657	0.000494	0.001689	0.006253	0.000982	0.005144	0.078764	0.000436	0.000231	0.000646	0.000210	0.000204	0.000186	-10409.856
126	0.002657	0.000494	0.001490	0.005995	0.000982	0.005115	0.072859	0.000436	0.000231	0.000649	0.000211	0.000204	0.000186	-10410.577
128	0.002747	0.000490	0.001541	0.006237	0.001015	0.005090	0.075151	0.000450	0.000239	0.000688	0.000218	0.000210	0.000192	-10392.427
130	0.002747	0.000490	0.001541	0.006237	0.001015	0.005415	0.075397	0.000585	0.000239	0.000660	0.000218	0.000206	0.000192	-10416.150
132	0.002367	0.000528	0.001327	0.005372	0.000874	0.004570	0.064662	0.000491	0.000206	0.000576	0.000188	0.000178	0.000165	-10389.001
134	0.002050	0.000528	0.001327	0.005612	0.000874	0.004762	0.039021	0.000491	0.000206	0.000561	0.000194	0.000178	0.000165	-10402.346
136	0.002050	0.000575	0.001327	0.005310	0.000874	0.005099	0.038765	0.000810	0.000208	0.000537	0.000194	0.000173	0.000163	-10399.988
138	0.002050	0.000575	0.001234	0.005596	0.000874	0.005099	0.038765	0.000978	0.000208	0.000537	0.000194	0.000171	0.000163	-10408.814
140	0.002050	0.000575	0.001234	0.005314	0.000874	0.005343	0.039018	0.000978	0.000208	0.000521	0.000194	0.000171	0.000163	-10429.924
142	0.001995	0.000559	0.001201	0.005459	0.000850	0.004860	0.038247	0.000865	0.000203	0.000529	0.000189	0.000168	0.000159	-10414.101
144	0.002329	0.000653	0.001402	0.006373	0.000993	0.005573	0.044742	0.001009	0.000237	0.000601	0.000221	0.000196	0.000186	-10394.460
146	0.002016	0.000565	0.001213	0.005728	0.000859	0.005044	0.038399	0.000874	0.000205	0.000506	0.000191	0.000169	0.000161	-10384.728
148	0.002016	0.000565	0.001608	0.005492	0.000859	0.005044	0.038399	0.000874	0.000205	0.000506	0.000191	0.000169	0.000161	-10381.995
150	0.002016	0.000565	0.001156	0.005571	0.000859	0.005085	0.038399	0.000874	0.000205	0.000504	0.000191	0.000169	0.000161	-10386.772
152	0.002016	0.000565	0.001156	0.005571	0.000890	0.005073	0.037937	0.000874	0.000202	0.000504	0.000191	0.000169	0.000163	-10386.285
154	0.002126	0.000596	0.001220	0.005875	0.000938	0.004930	0.040011	0.000921	0.000213	0.000538	0.000201	0.000179	0.000172	-10385.634
156	0.002211	0.000596	0.001220	0.005875	0.000938	0.004748	0.040011	0.000921	0.000215	0.000551	0.000201	0.000179	0.000171	-10395.115
158	0.002211	0.000596	0.001384	0.005683	0.000938	0.004954	0.040349	0.000988	0.000215	0.000537	0.000201	0.000179	0.000171	-10389.492
160	0.001935	0.000521	0.001211	0.005245	0.000821	0.003883	0.035558	0.000864	0.000188	0.000477	0.000176	0.000156	0.000149	-10383.829
162	0.002212	0.000596	0.001384	0.005995	0.000938	0.004477	0.040016	0.000988	0.000215	0.000543	0.000201	0.000179	0.000171	-10401.287
164	0.002089	0.000563	0.001307	0.005663	0.000886	0.004229	0.040340	0.000741	0.000203	0.000513	0.000189	0.000169	0.000161	-10391.733
166	0.002836	0.000764	0.001774	0.007687	0.001203	0.005984	0.054754	0.000952	0.000272	0.000678	0.000256	0.000230	0.000221	-10372.935
168	0.002836	0.000764	0.001774	0.007773	0.001544	0.006453	0.089140	0.000643	0.000277	0.000672	0.000246	0.000230	0.000218	-10356.817
170	0.002411	0.000650	0.001508	0.006608	0.001312	0.005516	0.076037	0.000546	0.000300	0.000569	0.000209	0.000195	0.000185	-10373.285
172	0.002392	0.000650	0.001508	0.006608	0.001312	0.005123	0.076037	0.000546	0.000319	0.000597	0.000209	0.000195	0.000174	-10388.443
174	0.002813	0.000405	0.001774	0.007771	0.001543	0.006573	0.089430	0.000998	0.000376	0.000664	0.000246	0.000221	0.000205	-10384.013
176	0.002751	0.000396	0.001735	0.007599	0.001509	0.006089	0.087448	0.000976	0.000370	0.000673	0.000241	0.000216	0.000198	-10366.344
178	0.002751	0.000396	0.001735	0.007522	0.001509	0.005967	0.087448	0.000976	0.000370	0.000682	0.000241	0.000216	0.000198	-10402.196
180	0.003302	0.000475	0.002083	0.009030	0.001812	0.007163	0.105231	0.001172	0.000444	0.000818	0.000289	0.000259	0.000238	-10380.271
182	0.003035	0.000413	0.001811	0.007851	0.001575	0.005920	0.091490	0.000911	0.000386	0.000735	0.000251	0.000225	0.000207	-10395.685
184	0.002948	0.000444	0.001620	0.008444	0.001694	0.006817	0.098402	0.000980	0.000415	0.000756	0.000270	0.000242	0.000223	-10382.456
186	0.002526	0.000381	0.001724	0.007766	0.001451	0.005729	0.084537	0.000839	0.000372	0.000656	0.000231	0.000207	0.000182	-10388.289
188	0.002770	0.000417	0.001891	0.008516	0.001591	0.006314	0.092705	0.000921	0.000408	0.000717	0.000254	0.000227	0.000200	-10395.948
190	0.002770	0.000417	0.001891	0.008516	0.001591	0.006876	0.070872	0.000921	0.000408	0.000698	0.000262	0.000227	0.000200	-10396.007
192	0.002865	0.000432	0.002572	0.008858	0.001646	0.007136	0.073090	0.001117	0.000422	0.000721	0.000271	0.000235	0.000207	-10404.301
194	0.002865	0.000432	0.002572	0.008858	0.001646	0.007028	0.073090	0.000887	0.000422	0.000728	0.000271	0.000235	0.000207	-10416.475
196	0.002546	0.000384	0.002286	0.007872	0.001463	0.005656	0.047541	0.001047	0.000375	0.000668	0.000252	0.000209	0.000184	-10373.376
198	0.002546	0.000384	0.002286	0.007872	0.001463	0.005500	0.069136	0.000743	0.000375	0.000680	0.000239	0.000209	0.000184	-10404.672
200	0.002112	0.000318	0.001896	0.006530	0.001213	0.004631	0.057349	0.000617	0.000311	0.000552	0.000198	0.000173	0.000152	-10409.158
202	0.002112	0.000318	0.001896	0.006530	0.001213	0.004263	0.057349	0.000926	0.000311	0.000562	0.000198	0.000166	0.000152	-10404.588
204	0.002112	0.000318	0.001896	0.006388	0.001213	0.004263	0.056693	0.000926	0.000311	0.000562	0.000198	0.000166	0.000152	-10391.275
206	0.002322	0.000318	0.001896	0.006388	0.001213	0.004226	0.046046	0.000926	0.000311	0.000565	0.000205	0.000166	0.000152	-10394.611
208	0.002322	0.000318	0.001896	0.006659	0.001213	0.004527	0.046046	0.000926	0.000311	0.000565	0.000205	0.000166	0.000152	-10389.695
210	0.002322	0.000318	0.001896	0.006405	0.001213	0.004625	0.046046	0.000926	0.000311	0.000557	0.000205	0.000166	0.000152	-10421.200
212	0.002322	0.000318	0.001825	0.006405	0.001213	0.004625	0.046063	0.000926	0.000311	0.000557	0.000205	0.000166	0.000152	-10369.837
214	0.002828	0.000387	0.002223	0.007800	0.001478	0.005633	0.056103	0.000698	0.000379	0.000679	0.000250	0.000213	0.000186	-10389.711
216	0.002573	0.000353	0.002023	0.007098	0.001518	0.004990	0.051047	0.000635	0.000345	0.000628	0.000228	0.000194	0.000169	-10409.997
218	0.002373	0.000325	0.001865	0.006545	0.001399	0.004832	0.038224	0.000692	0.000318	0.000562	0.000218	0.000175	0.000156	-10386.851
220	0.002759	0.000378	0.002168	0.007608	0.001627	0.005836	0.044253	0.000805	0.000370	0.000638	0.000253	0.000204	0.000181	-10403.632
222	0.002759	0.000378	0.002168	0.007608	0.001627	0.005331	0.044253	0.000805	0.000370	0.000668	0.000253	0.000204	0.000181	-10393.833
224	0.002344	0.000321	0.001843	0.006802	0.001383	0.004531	0.037611	0.000684	0.000314	0.000568	0.000215	0.000173	0.000154	-10397.362
226	0.002610	0.000358	0.002051	0.007872	0.001539	0.005124	0.042602	0.000944	0.000350	0.000626	0.000239	0.000193	0.000171	-10406.027
228	0.002610	0.000358	0.002051	0.007872	0.001539	0.005124	0.051999	0.000944	0.000350	0.000626	0.000231	0.000193	0.000171	-10421.488
230	0.002610	0.000358	0.002051	0.007596	0.001539	0.005124	0.046745	0.000677	0.000350	0.000626	0.000237	0.000201	0.000171	-10433.376
232	0.002610	0.000358	0.002051	0.007596	0.001539	0.004781	0.046283	0.000677	0.000350	0.000633	0.000237	0.000201	0.000171	-10402.107
234	0.002610	0.000358	0.002051	0.007596	0.001539	0.004935	0.046283	0.000655	0.000350	0.000621	0.000237	0.000202	0.000171	-10406.460
236	0.002357	0.000463	0.001852	0.006859	0.001167	0.004266	0.041790	0.000592	0.000298	0.000576	0.000214	0.000183	0.000164	-10400.242
238	0.002357	0.000463	0.001852	0.006859	0.001167	0.004538	0.041790	0.000464	0.000298	0.000554	0.000214	0.000183	0.000164	-10398.016
240	0.002357	0.000463	0.002109	0.006489	0.001167	0.004384	0.041790	0.000464	0.000297	0.000566	0.000214	0.000183	0.000165	-10379.669
242	0.002357	0.000463	0.002109	0.006043	0.001167	0.004498	0.041790	0.000464	0.000287	0.000557	0.000214	0.000183	0.000171	-10367.449
244	0.002357	0.000463	0.002109	0.006043	0.001167	0.004756	0.041790	0.000464	0.000287	0.000539	0.000214	0.000183	0.000171	-10374.310
246	0.002034	0.000399	0.001821	0.005215	0.000898	0.003748	0.036065	0.000400	0.000247	0.000465	0.000185	0.000158	0.000147	-10382.874
248	0.002473	0.000486	0.002214	0.006342	0.001424	0.004594	0.043855	0.000477	0.000292	0.000563	0.000224	0.000192	0.000184	-10394.751
250	0.002550	0.000501	0.002612	0.006539	0.001469	0.004926	0.031138	0.000613	0.000300	0.000567	0.000247	0.000199	0.000191	-10398.894
252	0.003147	0.000618	0.003224	0.007597	0.001343	0.005873	0.038433	0.001096	0.000392	0.000714	0.000304	0.000245	0.000223	-10383.004
254	0.003147	0.000618	0.003429	0.007597	0.001343	0.006123	0.049118	0.001096	0.000392	0.000696	0.000291	0.000245	0.000223	-10388.022
256	0.002377	0.000505	0.002913	0.006205	0.001097	0.005088	0.040353	0.000877	0.000320	0.000563	0.000238	0.000200	0.000182	-10406.218
258	0.002236	0.000475	0.002741	0.005452	0.001032	0.004575	0.031754	0.000825	0.000301	0.000517	0.000231	0.000188	0.000171	-10417.771
260	0.002441	0.000518	0.002992	0.005951	0.001126	0.005039	0.034664	0.000900	0.000329	0.000561	0.000252	0.000206	0.000187	-10388.634
262	0.002441	0.000518	0.002992	0.005951	0.001126	0.005214	0.034664	0.000900	0.000329	0.000551	0.000252	0.000206	0.000187	-10394.657
264	0.002441	0.000518	0.002992	0.005951	0.001126	0.004804	0.034664	0.000900	0.000322	0.000556	0.000252	0.000206	0.000191	-10365.812
266	0.002099	0.000446	0.002572	0.005116	0.000968	0.004357	0.042962	0.000774	0.000276	0.000463	0.000204	0.000177	0.000164	-10379.789
268	0.002099	0.000446	0.002498	0.005116	0.000968	0.004016	0.037220	0.000774	0.000276	0.000463	0.000209	0.000177	0.000164	-10405.519
270	0.002365	0.000502	0.002816	0.005766	0.001091	0.004541	0.041950	0.000872	0.000308	0.000508	0.000235	0.000199	0.000187	-10384.124
272	0.002101	0.000446	0.002660	0.005122	0.001323	0.003829	0.037259	0.000775	0.000273	0.000464	0.000209	0.000177	0.000166	-10379.333
274	0.002101	0.000446	0.002660	0.005122	0.001323	0.003711	0.036913	0.000775	0.000273	0.000472	0.000209	0.000177	0.000166	-10394.521
276	0.002101	0.000446	0.002660	0.005122	0.001323	0.003856	0.036913	0.000775	0.000285	0.000462	0.000209	0.000177	0.000160	-10402.621
278	0.002101	0.000446	0.002660	0.005122	0.001323	0.003856	0.037223	0.000775	0.000271	0.000462	0.000209	0.000177	0.000168	-10395.215
280	0.002421	0.000498	0.002967	0.005714	0.001338	0.004221	0.047251	0.000864	0.000302	0.000521	0.000229	0.000198	0.000187	-10414.548
282	0.002421	0.000498	0.002967	0.005905	0.001122	0.004430	0.038151	0.000864	0.000302	0.000508	0.000236	0.000198	0.000187	-10401.013
284	0.002166	0.000445	0.002655	0.005283	0.001004	0.003661	0.034136	0.000773	0.000270	0.000461	0.000211	0.000177	0.000168	-10406.971
286	0.002227	0.000458	0.002731	0.005641	0.001032	0.003989	0.035106	0.000795	0.000284	0.000485	0.000217	0.000182	0.000169	-10397.127
288	0.002227	0.000458	0.002731	0.005641	0.001032	0.003963	0.035106	0.000795	0.000284	0.000462	0.000217	0.000182	0.000169	-10407.173
290	0.002227	0.000458	0.002731	0.005641	0.001032	0.003963	0.035106	0.000795	0.000263	0.000462	0.000217	0.000182	0.000169	-10412.596
292	0.002189	0.000458	0.003148	0.005641	0.001032	0.003991	0.035106	0.000795	0.000263	0.000460	0.000217	0.000182	0.000169	-10392.373
294	0.002189	0.000524	0.002925	0.005641	0.001032	0.004089	0.032240	0.000795	0.000263	0.000473	0.000220	0.000182	0.000169	-10401.288
296	0.002189	0.000524	0.002702	0.005641	0.001032	0.003840	0.031765	0.000795	0.000275	0.000490	0.000220	0.000182	0.000169	-10383.898
298	0.002189	0.000524	0.002908	0.005641	0.001032	0.003693	0.031765	0.000795	0.000273	0.000500	0.000220	0.000182	0.000169	-10385.024
300	0.001925	0.000461	0.002558	0.004962	0.000908	0.003226	0.028410	0.000700	0.000240	0.000442	0.000194	0.000160	0.000149	-10392.899
302	0.001925	0.000461	0.002093	0.004962	0.000908	0.003372	0.019930	0.000700	0.000240	0.000431	0.000208	0.000160	0.000149	-10398.054
304	0.001925	0.000461	0.002093	0.005442	0.000908	0.003301	0.031512	0.000700	0.000243	0.000436	0.000190	0.000160	0.000148	-10401.315
306	0.001925	0.000461	0.002093	0.005442	0.000715	0.003491	0.023070	0.000700	0.000243	0.000422	0.000201	0.000160	0.000148	-10377.411
308	0.002033	0.000487	0.002210	0.005747	0.000755	0.003687	0.033906	0.000739	0.000257	0.000446	0.000200	0.000169	0.000156	-10393.378
310	0.002119	0.000507	0.002303	0.005990	0.000787	0.004140	0.035508	0.000770	0.000267	0.000465	0.000209	0.000176	0.000162	-10400.240
312	0.001996	0.000478	0.002424	0.005643	0.000741	0.004333	0.029228	0.000725	0.000248	0.000438	0.000201	0.000166	0.000155	-10400.681
314	0.001996	0.000478	0.002424	0.005643	0.001085	0.004475	0.044617	0.000725	0.000250	0.000431	0.000189	0.000166	0.000154	-10401.766
316	0.001996	0.000478	0.002424	0.005643	0.001085	0.004293	0.044617	0.000644	0.000250	0.000441	0.000189	0.000167	0.000154	-10409.027
318	0.002087	0.000500	0.002534	0.006150	0.001135	0.004488	0.046369	0.000673	0.000261	0.000461	0.000197	0.000175	0.000161	-10398.760
320	0.002087	0.000500	0.002561	0.005861	0.001135	0.004248	0.046954	0.000673	0.000557	0.000474	0.000197	0.000175	0.000161	-10421.698
322	0.002268	0.000543	0.002784	0.006370	0.001233	0.005000	0.051438	0.000335	0.000606	0.000492	0.000215	0.000208	0.000175	-10423.093
