Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
2	0.014313	0.001314	0.003374	0.000722	-10424.764
4	0.014313	0.001314	0.003384	0.000720	-10412.208
6	0.014777	0.001371	0.003530	0.000751	-10401.950
8	0.015363	0.001371	0.002988	0.000751	-10429.670
10	0.015363	0.001371	0.002988	0.000751	-10416.480
12	0.015363	0.001371	0.002988	0.000751	-10425.625
14	0.015363	0.001687	0.002997	0.000749	-10426.433
16	0.015664	0.001774	0.003151	0.000787	-10425.815
18	0.015664	0.001774	0.003151	0.000787	-10405.998
20	0.015664	0.001774	0.003151	0.000787	-10408.294
22	0.017878	0.002025	0.003596	0.000898	-10414.005
24	0.017878	0.002025	0.003489	0.000926	-10409.231
26	0.017878	0.002025	0.003510	0.000920	-10433.124
28	0.015842	0.001794	0.003111	0.000816	-10418.023
30	0.014099	0.001597	0.002768	0.000726	-10428.886
32	0.017048	0.001930	0.003273	0.000898	-10403.149
34	0.015943	0.001805	0.003061	0.000839	-10399.501
36	0.015943	0.001805	0.003061	0.000839	-10419.281
38	0.015943	0.001805	0.003061	0.000839	-10387.800
40	0.015943	0.001805	0.003194	0.000804	-10408.593
42	0.015478	0.001753	0.002894	0.000837	-10411.413
44	0.017293	0.001958	0.003261	0.000927	-10413.344
46	0.016433	0.001861	0.003209	0.000851	-10415.616
48	0.016433	0.001861	0.003209	0.000851	-10400.429
50	0.016482	0.001904	0.003283	0.000870	-10411.728
52	0.016482	0.001904	0.003283	0.000870	-10413.372
54	0.017897	0.002067	0.003653	0.000922	-10408.873
56	0.016487	0.001904	0.003485	0.000820	-10423.176
58	0.016487	0.001904	0.003256	0.000878	-10424.822
60	0.015698	0.001813	0.003100	0.000836	-10423.156
62	0.015698	0.001813	0.003100	0.000836	-10431.847
64	0.015698	0.001813	0.003013	0.000860	-10422.500
66	0.018329	0.002117	0.003736	0.000946	-10424.292
68	0.017513	0.002023	0.003505	0.000920	-10396.263
70	0.017513	0.002023	0.003505	0.000920	-10400.541
72	0.016194	0.001870	0.003404	0.000810	-10414.426
74	0.016464	0.001718	0.003230	0.000882	-10427.999
76	0.016464	0.001718	0.003381	0.000843	-10452.467
78	0.017314	0.001869	0.003381	0.000843	-10419.912
80	0.017314	0.001869	0.002825	0.000831	-10433.858
82	0.017314	0.001869	0.002825	0.000831	-10425.630
84	0.017314	0.001869	0.002825	0.000831	-10400.019
86	0.016822	0.001869	0.002825	0.000831	-10427.390
88	0.016822	0.001869	0.002825	0.000831	-10413.203
90	0.015389	0.001710	0.002585	0.000760	-10431.334
92	0.017815	0.001979	0.002992	0.000880	-10438.073
94	0.015509	0.001761	0.002662	0.000783	-10442.896
96	0.015509	0.001761	0.002925	0.000713	-10427.650
98	0.017748	0.002015	0.003348	0.000816	-10421.612
100	0.016867	0.001907	0.003015	0.000811	-10438.714
102	0.016867	0.001907	0.002774	0.000881	-10428.343
104	0.016125	0.001728	0.002585	0.000776	-10424.048
106	0.014243	0.001526	0.002283	0.000686	-10430.889
108	0.013521	0.001526	0.002283	0.000686	-10424.301
110	0.015129	0.001817	0.002780	0.000798	-10411.851
112	0.015063	0.001809	0.002852	0.000771	-10433.603
114	0.015063	0.001809	0.002807	0.000784	-10417.302
116	0.016894	0.002029	0.003148	0.000879	-10407.209
118	0.015763	0.001867	0.002897	0.000809	-10436.850
120	0.015763	0.001867	0.002703	0.000867	-10428.012
122	0.016057	0.001867	0.003266	0.000876	-10418.954
124	0.014630	0.001651	0.002829	0.000791	-10416.271
126	0.013362	0.001508	0.002584	0.000723	-10406.073
128	0.013834	0.001561	0.002675	0.000748	-10400.058
130	0.014517	0.001860	0.002582	0.000775	-10405.489
132	0.014517	0.001860	0.002582	0.000775	-10426.009
134	0.012709	0.001628	0.002173	0.000706	-10414.648
136	0.012709	0.001628	0.002108	0.000728	-10434.374
138	0.013836	0.001773	0.002278	0.000798	-10419.680
140	0.013517	0.001732	0.002225	0.000780	-10431.755
142	0.013517	0.001732	0.002386	0.000727	-10416.433
144	0.013517	0.001732	0.002386	0.000727	-10448.355
146	0.013517	0.001732	0.002386	0.000727	-10450.848
148	0.013517	0.001368	0.002386	0.000727	-10453.100
150	0.013517	0.001368	0.002582	0.000672	-10459.424
152	0.012638	0.001279	0.002257	0.000672	-10460.720
154	0.012638	0.001279	0.002257	0.000672	-10444.994
156	0.010853	0.001098	0.001973	0.000567	-10449.584
158	0.010853	0.001098	0.001973	0.000567	-10425.378
160	0.011815	0.001225	0.002201	0.000633	-10438.792
162	0.012265	0.001272	0.002285	0.000657	-10438.941
164	0.012265	0.001272	0.002405	0.000624	-10456.428
166	0.011124	0.001154	0.001749	0.000566	-10448.575
168	0.011946	0.001305	0.001979	0.000641	-10449.558
170	0.011946	0.001049	0.002153	0.000589	-10476.153
172	0.011493	0.001009	0.002072	0.000566	-10441.607
174	0.011418	0.001002	0.002058	0.000563	-10458.990
176	0.014153	0.001242	0.002568	0.000693	-10432.610
178	0.014153	0.001242	0.002347	0.000758	-10433.564
180	0.016403	0.001440	0.002720	0.000879	-10462.225
182	0.016403	0.001440	0.002962	0.000807	-10443.176
184	0.014073	0.001278	0.002454	0.000766	-10484.485
186	0.015328	0.001391	0.002673	0.000835	-10434.700
188	0.017702	0.001607	0.003087	0.000964	-10416.359
190	0.018265	0.001607	0.002596	0.001009	-10426.262
192	0.018265	0.001607	0.002596	0.001009	-10429.772
194	0.018500	0.001607	0.002596	0.001009	-10447.742
196	0.020615	0.001791	0.002893	0.001124	-10454.691
198	0.020615	0.001791	0.002942	0.001105	-10456.874
200	0.020615	0.001791	0.002942	0.001105	-10447.579
202	0.020615	0.001791	0.002959	0.001099	-10455.833
204	0.020466	0.001742	0.003277	0.001105	-10440.871
206	0.020374	0.001742	0.003277	0.001105	-10453.689
208	0.020374	0.001742	0.003277	0.001105	-10435.957
210	0.021529	0.001841	0.004092	0.001202	-10421.344
212	0.021529	0.001841	0.004092	0.001202	-10418.428
214	0.021529	0.002212	0.004033	0.001220	-10419.996
216	0.021529	0.002212	0.004267	0.001153	-10391.110
218	0.019359	0.001963	0.003559	0.001089	-10406.956
220	0.019359	0.001963	0.003614	0.001073	-10421.164
222	0.017267	0.001751	0.003106	0.000993	-10416.228
224	0.017267	0.001751	0.002951	0.001045	-10430.977
226	0.018271	0.001853	0.003264	0.001058	-10421.825
228	0.018271	0.001853	0.003264	0.001058	-10425.498
230	0.020843	0.002114	0.003808	0.001180	-10417.862
232	0.020594	0.002114	0.003754	0.001197	-10434.026
234	0.020594	0.002114	0.003857	0.001165	-10419.831
236	0.021282	0.002114	0.003857	0.001165	-10414.174
238	0.021511	0.002093	0.003818	0.001153	-10420.859
240	0.021511	0.002093	0.003588	0.001153	-10411.598
242	0.021212	0.002093	0.003490	0.001186	-10420.992
244	0.021602	0.002093	0.004259	0.001186	-10421.810
