Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
2	0.017437	0.001506	0.005821	0.001008	-10423.403
4	0.014537	0.001310	0.005064	0.000877	-10427.087
6	0.014053	0.001310	0.005064	0.000877	-10399.562
8	0.014768	0.001310	0.004678	0.000950	-10410.153
10	0.012706	0.001127	0.004754	0.000780	-10414.362
12	0.012706	0.001127	0.004478	0.000828	-10396.952
14	0.014779	0.001311	0.005033	0.000997	-10413.339
16	0.014779	0.001311	0.005033	0.000997	-10381.751
18	0.014388	0.002002	0.004439	0.000971	-10414.126
20	0.014388	0.002002	0.004439	0.000971	-10392.263
22	0.014388	0.002002	0.004625	0.000932	-10408.397
24	0.012629	0.001758	0.004059	0.000818	-10441.217
26	0.011613	0.001616	0.003788	0.000741	-10441.412
28	0.012033	0.001339	0.004141	0.000810	-10428.462
30	0.012033	0.001339	0.004141	0.000810	-10441.752
32	0.012033	0.001339	0.004141	0.000810	-10445.993
34	0.012033	0.001339	0.003188	0.000810	-10447.025
36	0.011179	0.001339	0.003447	0.000810	-10463.009
38	0.012199	0.001462	0.004953	0.000833	-10443.062
40	0.012199	0.001462	0.004167	0.000820	-10435.488
42	0.014058	0.001684	0.004802	0.000945	-10426.629
44	0.014058	0.001684	0.004802	0.000945	-10431.216
46	0.014058	0.001684	0.004802	0.000945	-10415.527
48	0.012767	0.001530	0.004361	0.000858	-10427.853
50	0.012767	0.001530	0.003472	0.000858	-10441.266
52	0.012767	0.001530	0.003472	0.000858	-10437.192
54	0.011930	0.001430	0.003244	0.000802	-10436.783
56	0.014007	0.001678	0.003809	0.000941	-10436.501
58	0.014749	0.001767	0.004064	0.000978	-10415.828
60	0.014749	0.001767	0.004312	0.000922	-10438.762
62	0.016116	0.002018	0.004242	0.001052	-10419.556
64	0.013670	0.001711	0.003598	0.000893	-10442.418
66	0.012479	0.001711	0.003642	0.000882	-10437.470
68	0.014118	0.001936	0.004120	0.000998	-10447.578
70	0.014118	0.001936	0.004120	0.000998	-10433.835
72	0.012063	0.001654	0.003521	0.000852	-10415.161
74	0.014882	0.002041	0.004806	0.000950	-10456.451
76	0.014882	0.002041	0.005528	0.000970	-10418.361
78	0.014882	0.002041	0.005398	0.000993	-10414.105
80	0.011584	0.001588	0.004202	0.000773	-10409.135
82	0.011782	0.001616	0.004275	0.000786	-10434.139
84	0.011782	0.001616	0.004275	0.000786	-10433.175
86	0.011782	0.001616	0.004061	0.000827	-10434.565
88	0.010512	0.001441	0.002881	0.000716	-10410.400
90	0.010549	0.001492	0.003629	0.000758	-10408.004
92	0.012001	0.001697	0.004128	0.000863	-10426.463
94	0.013055	0.001846	0.004577	0.000921	-10420.074
96	0.015393	0.002177	0.005397	0.001086	-10385.756
98	0.013831	0.001956	0.004693	0.001008	-10412.026
100	0.014103	0.001994	0.004785	0.001028	-10405.235
102	0.014103	0.001994	0.005000	0.000984	-10409.805
104	0.018028	0.002549	0.006779	0.001185	-10413.797
106	0.015326	0.002191	0.005773	0.001028	-10419.322
108	0.013887	0.001939	0.004898	0.000949	-10418.857
110	0.013887	0.001939	0.004898	0.000949	-10403.603
112	0.013887	0.001939	0.005163	0.000900	-10387.202
114	0.014166	0.001939	0.005163	0.000900	-10399.540
116	0.014166	0.001939	0.005025	0.000925	-10419.262
118	0.014166	0.001939	0.005025	0.000925	-10435.358
120	0.017763	0.002431	0.006300	0.001160	-10408.554
122	0.016164	0.002212	0.005733	0.001055	-10447.504
124	0.017011	0.002782	0.005733	0.001055	-10443.809
126	0.015419	0.002578	0.005312	0.000978	-10434.307
128	0.015419	0.002578	0.005312	0.000978	-10425.493
130	0.015419	0.002578	0.005330	0.000975	-10438.850
132	0.017139	0.002866	0.005546	0.001157	-10424.117
134	0.017139	0.002866	0.005546	0.001157	-10447.800
136	0.017139	0.002866	0.004922	0.001157	-10438.986
138	0.014532	0.002430	0.004163	0.000983	-10427.721
140	0.016413	0.002717	0.004911	0.001043	-10434.903
142	0.016413	0.002717	0.004911	0.001043	-10409.957
144	0.016413	0.002604	0.004911	0.001043	-10416.508
146	0.019058	0.003024	0.005200	0.001159	-10419.301
148	0.018230	0.002020	0.004879	0.001123	-10429.734
