Gen	theta_1Jp	theta_2Me	theta_3MoN	theta_4MoS	theta_5Si	theta_6JpMeMoNMoSSi	theta_7JpMeMoNMoS	theta_8JpMeMoN	theta_9JpMe	tau_6JpMeMoNMoSSi	tau_7JpMeMoNMoS	tau_8JpMeMoN	tau_9JpMe	lnL
7356	0.001592	0.001016	0.001825	0.012496	0.001147	0.004046	0.000510	0.005995	0.000405	0.000629	0.000598	0.000326	0.000320	-10412.461
7358	0.001622	0.001016	0.001825	0.012496	0.001147	0.004046	0.000350	0.005995	0.000408	0.000629	0.000598	0.000326	0.000317	-10418.526
7360	0.001506	0.000944	0.001695	0.011605	0.001065	0.004095	0.000325	0.005568	0.000381	0.000584	0.000556	0.000302	0.000293	-10441.910
7362	0.001524	0.000955	0.001715	0.011742	0.001077	0.004144	0.000329	0.005633	0.000383	0.000591	0.000562	0.000306	0.000298	-10444.879
7364	0.001524	0.000955	0.001715	0.011742	0.001077	0.004384	0.000329	0.005830	0.000382	0.000592	0.000562	0.000306	0.000299	-10448.641
7366	0.001524	0.000955	0.001715	0.011742	0.001077	0.004242	0.000329	0.005538	0.000382	0.000592	0.000562	0.000306	0.000299	-10442.474
7368	0.001758	0.001101	0.001978	0.012721	0.001243	0.004892	0.000379	0.005863	0.000440	0.000683	0.000648	0.000353	0.000345	-10417.434
7370	0.001758	0.001101	0.001978	0.012721	0.001480	0.004892	0.000379	0.005358	0.000440	0.000683	0.000648	0.000353	0.000345	-10413.848
7372	0.001519	0.000951	0.001709	0.010990	0.001278	0.004226	0.000328	0.004629	0.000381	0.000590	0.000560	0.000305	0.000298	-10429.707
7374	0.001519	0.000951	0.001709	0.010990	0.001278	0.003681	0.000328	0.004403	0.000381	0.000590	0.000560	0.000305	0.000298	-10427.716
7376	0.001350	0.000846	0.001518	0.009767	0.001136	0.003271	0.000291	0.003913	0.000338	0.000524	0.000498	0.000271	0.000265	-10451.791
7378	0.001554	0.000974	0.001160	0.011245	0.001308	0.003767	0.000335	0.004505	0.000698	0.000603	0.000573	0.000312	0.000281	-10418.066
7380	0.001554	0.000974	0.001160	0.010482	0.001308	0.003767	0.000335	0.004505	0.000698	0.000603	0.000573	0.000312	0.000281	-10435.654
7382	0.001554	0.000974	0.001160	0.010816	0.001308	0.003767	0.000335	0.004505	0.000672	0.000603	0.000573	0.000312	0.000291	-10443.810
7384	0.001554	0.000974	0.001160	0.010816	0.001249	0.003767	0.000335	0.004505	0.000672	0.000603	0.000573	0.000312	0.000291	-10466.017
7386	0.001554	0.000974	0.001805	0.010816	0.001249	0.003767	0.000324	0.004505	0.000672	0.000603	0.000583	0.000312	0.000291	-10456.620
7388	0.001474	0.000923	0.001712	0.009787	0.001185	0.003572	0.000307	0.003618	0.000637	0.000572	0.000553	0.000297	0.000276	-10445.440
