Gen	theta_1JpMe	theta_2MoN	theta_3MoS	theta_4Si	theta_5JpMeMoNMoSSi	theta_6JpMeMoNMoS	theta_7JpMeMoN	tau_5JpMeMoNMoSSi	tau_6JpMeMoNMoS	tau_7JpMeMoN	lnL
2	0.002013	0.001325	0.011293	0.001393	0.003056	0.002338	0.002721	0.000698	0.000420	0.000192	-10404.311
4	0.002013	0.001325	0.010878	0.001393	0.003056	0.002334	0.002721	0.000698	0.000420	0.000192	-10410.527
6	0.002013	0.001325	0.010878	0.001301	0.003056	0.002066	0.002721	0.000698	0.000450	0.000192	-10420.462
8	0.002013	0.001325	0.010878	0.001301	0.003703	0.002436	0.002721	0.000698	0.000411	0.000192	-10427.100
10	0.002161	0.001423	0.011679	0.001397	0.003976	0.002616	0.002922	0.000749	0.000441	0.000206	-10421.658
12	0.002161	0.001423	0.010948	0.001397	0.003976	0.002484	0.002922	0.000749	0.000453	0.000206	-10417.285
14	0.002161	0.001423	0.010948	0.001397	0.003976	0.002904	0.002922	0.000749	0.000418	0.000206	-10399.577
16	0.002161	0.001423	0.011626	0.001397	0.003976	0.003238	0.003141	0.000749	0.000395	0.000192	-10411.314
18	0.002508	0.001651	0.013491	0.001621	0.004614	0.003758	0.003644	0.000869	0.000458	0.000223	-10402.010
20	0.002508	0.001651	0.013491	0.001621	0.004614	0.003162	0.003644	0.000869	0.000503	0.000223	-10398.960
22	0.002508	0.001651	0.013491	0.001621	0.004614	0.002779	0.004386	0.000869	0.000541	0.000223	-10396.200
24	0.002172	0.001430	0.011686	0.001404	0.003997	0.002200	0.003799	0.000753	0.000495	0.000193	-10368.489
26	0.002172	0.001430	0.011686	0.001404	0.003199	0.002412	0.003799	0.000753	0.000468	0.000193	-10396.527
28	0.001990	0.001310	0.010703	0.001286	0.002930	0.002209	0.003480	0.000690	0.000429	0.000177	-10384.362
30	0.002155	0.001419	0.011594	0.001393	0.003174	0.002393	0.003769	0.000747	0.000464	0.000192	-10388.618
32	0.002575	0.001696	0.013853	0.001664	0.003792	0.003180	0.003723	0.000893	0.000522	0.000229	-10388.009
34	0.002162	0.001423	0.011629	0.001397	0.003183	0.002356	0.003125	0.000749	0.000471	0.000192	-10396.722
36	0.002521	0.001660	0.013560	0.001629	0.003712	0.003267	0.003644	0.000874	0.000498	0.000224	-10425.528
38	0.002521	0.001075	0.014465	0.001629	0.003712	0.003353	0.003644	0.000874	0.000490	0.000224	-10406.622
40	0.002521	0.001075	0.013755	0.001629	0.004800	0.003353	0.003644	0.000874	0.000490	0.000224	-10399.470
42	0.002927	0.001248	0.015970	0.001892	0.005092	0.003873	0.004231	0.001067	0.000571	0.000260	-10387.147
44	0.002459	0.001049	0.013421	0.001590	0.004882	0.003453	0.003555	0.000912	0.000465	0.000219	-10423.966
46	0.002204	0.000940	0.012026	0.001424	0.003567	0.003094	0.004345	0.000827	0.000417	0.000174	-10414.175
48	0.002487	0.001060	0.013569	0.001607	0.004029	0.002935	0.004903	0.000933	0.000522	0.000196	-10410.608
50	0.002487	0.001060	0.012715	0.000962	0.004207	0.002917	0.004154	0.000916	0.000524	0.000196	-10392.595
52	0.002218	0.000946	0.010712	0.000858	0.003753	0.002608	0.002878	0.000817	0.000467	0.000175	-10393.976
54	0.002190	0.000934	0.011452	0.000847	0.004199	0.002575	0.002841	0.000766	0.000461	0.000172	-10411.501
56	0.002357	0.001005	0.012357	0.000912	0.004001	0.003130	0.003387	0.000867	0.000460	0.000186	-10398.367
58	0.001870	0.000798	0.009807	0.000723	0.003175	0.002261	0.002688	0.000688	0.000387	0.000147	-10422.853
60	0.002174	0.000927	0.011397	0.000841	0.003690	0.002628	0.003124	0.000800	0.000450	0.000171	-10422.942
