Gen	theta_1JpMe	theta_2MoN	theta_3MoS	theta_4Si	theta_5JpMeMoNMoSSi	theta_6JpMeMoNMoS	theta_7JpMeMoN	tau_5JpMeMoNMoSSi	tau_6JpMeMoNMoS	tau_7JpMeMoN	lnL
2	0.001972	0.001228	0.012424	0.001184	0.003670	0.001706	0.017540	0.000863	0.000605	0.000204	-10398.676
4	0.001999	0.001245	0.012598	0.001201	0.003353	0.001973	0.017785	0.000904	0.000563	0.000206	-10404.741
6	0.001920	0.001135	0.012096	0.001153	0.003328	0.001894	0.017076	0.000857	0.000541	0.000198	-10439.498
8	0.001740	0.001029	0.010966	0.001045	0.003017	0.001462	0.015481	0.000777	0.000545	0.000180	-10408.486
10	0.001740	0.001029	0.010966	0.001045	0.003017	0.001602	0.015481	0.000777	0.000513	0.000180	-10410.851
12	0.001949	0.001152	0.012280	0.001171	0.003379	0.001719	0.017336	0.000870	0.000590	0.000201	-10407.077
14	0.001949	0.001152	0.012280	0.001171	0.003442	0.001693	0.018120	0.000848	0.000596	0.000201	-10411.544
16	0.001949	0.001152	0.012280	0.001171	0.003442	0.001580	0.015463	0.000848	0.000625	0.000201	-10419.470
18	0.001949	0.001152	0.012280	0.001171	0.003005	0.001533	0.016786	0.000878	0.000638	0.000185	-10406.677
20	0.001949	0.001152	0.012280	0.001171	0.003005	0.001715	0.016786	0.000878	0.000590	0.000185	-10411.654
22	0.002291	0.001354	0.014436	0.001507	0.003533	0.002193	0.019733	0.001033	0.000655	0.000218	-10403.111
24	0.002291	0.001354	0.014436	0.001507	0.003792	0.002193	0.017923	0.001007	0.000655	0.000240	-10419.137
26	0.002291	0.001354	0.011897	0.001507	0.003792	0.002555	0.019751	0.001007	0.000596	0.000240	-10409.620
28	0.002291	0.001354	0.011897	0.001507	0.004273	0.002445	0.020965	0.000960	0.000612	0.000244	-10407.580
30	0.002291	0.001354	0.011897	0.001507	0.003999	0.002337	0.020965	0.000984	0.000629	0.000244	-10410.815
32	0.002291	0.001354	0.011897	0.001507	0.003999	0.002878	0.023924	0.000984	0.000554	0.000214	-10411.345
34	0.001950	0.001153	0.010129	0.001283	0.003088	0.002321	0.020368	0.000876	0.000488	0.000182	-10409.852
36	0.001974	0.001167	0.010251	0.001299	0.003303	0.002769	0.020614	0.000864	0.000447	0.000184	-10421.365
38	0.001974	0.001167	0.010251	0.001299	0.003303	0.002769	0.020614	0.000864	0.000447	0.000184	-10414.048
40	0.001974	0.000864	0.010251	0.001299	0.003550	0.003007	0.020614	0.000835	0.000426	0.000184	-10401.204
42	0.002260	0.000989	0.011735	0.001487	0.004064	0.003442	0.023598	0.000956	0.000488	0.000211	-10422.386
44	0.002260	0.000989	0.011735	0.001487	0.003891	0.003656	0.022906	0.000977	0.000471	0.000217	-10405.277
46	0.002260	0.000989	0.011735	0.001487	0.003891	0.003516	0.023603	0.000977	0.000481	0.000211	-10424.239
48	0.002260	0.000989	0.011735	0.001509	0.003706	0.003643	0.020655	0.001002	0.000472	0.000211	-10398.135
50	0.002260	0.000914	0.011735	0.001509	0.003867	0.003128	0.020655	0.000980	0.000515	0.000211	-10392.777
52	0.002260	0.000914	0.011735	0.001509	0.003867	0.002585	0.022540	0.000980	0.000579	0.000211	-10395.023
54	0.002415	0.000977	0.012544	0.001613	0.003897	0.002934	0.023194	0.001074	0.000596	0.000234	-10424.081
56	0.002415	0.000977	0.012544	0.001613	0.004450	0.002712	0.023380	0.001015	0.000626	0.000213	-10407.836
58	0.002076	0.000839	0.010781	0.001386	0.003561	0.002205	0.020093	0.000897	0.000558	0.000183	-10419.459
60	0.002076	0.000839	0.010781	0.001386	0.003467	0.002108	0.016672	0.000905	0.000575	0.000183	-10415.259
62	0.002076	0.000839	0.010781	0.001386	0.003198	0.002278	0.015354	0.000933	0.000547	0.000199	-10414.594
64	0.001836	0.000742	0.009535	0.001226	0.002894	0.001931	0.013580	0.000818	0.000497	0.000176	-10421.890
66	0.001836	0.000742	0.009535	0.001226	0.002894	0.002205	0.013580	0.000818	0.000457	0.000176	-10426.063
68	0.001836	0.000742	0.009535	0.001226	0.002644	0.002231	0.013580	0.000852	0.000454	0.000176	-10428.420
