Gen	theta_1JpMe	theta_2MoN	theta_3MoS	theta_4Si	theta_5JpMeMoNMoSSi	theta_6JpMeMoNMoS	theta_7JpMeMoN	tau_5JpMeMoNMoSSi	tau_6JpMeMoNMoS	tau_7JpMeMoN	lnL
2	0.002799	0.002043	0.008435	0.001181	0.003148	0.000460	0.000778	0.000435	0.000419	0.000358	-10409.910
4	0.002799	0.002043	0.008445	0.001181	0.003148	0.000460	0.000759	0.000435	0.000419	0.000366	-10412.513
6	0.002799	0.002043	0.008445	0.001181	0.003148	0.000409	0.000769	0.000435	0.000426	0.000361	-10404.291
8	0.002799	0.002043	0.008445	0.001181	0.003148	0.000409	0.000750	0.000435	0.000426	0.000371	-10396.706
10	0.002799	0.002043	0.008445	0.001181	0.003148	0.000409	0.000742	0.000435	0.000426	0.000375	-10410.876
12	0.002799	0.002043	0.008445	0.001181	0.003148	0.000409	0.000725	0.000435	0.000426	0.000383	-10425.747
14	0.002332	0.001702	0.007036	0.000984	0.002780	0.000341	0.000616	0.000363	0.000355	0.000313	-10419.912
16	0.002332	0.001702	0.007036	0.000984	0.002780	0.000345	0.000597	0.000363	0.000354	0.000323	-10435.542
18	0.002332	0.001702	0.007036	0.000984	0.003478	0.000428	0.000598	0.000363	0.000350	0.000323	-10416.183
20	0.002332	0.001702	0.007036	0.000984	0.003478	0.000392	0.000594	0.000363	0.000352	0.000325	-10429.343
22	0.002332	0.001702	0.006267	0.000984	0.003478	0.000392	0.000594	0.000363	0.000352	0.000325	-10411.235
24	0.002655	0.001938	0.007136	0.001120	0.003960	0.000447	0.000659	0.000413	0.000401	0.000380	-10430.411
26	0.002655	0.001599	0.007136	0.001120	0.003960	0.000447	0.000659	0.000413	0.000401	0.000380	-10438.029
28	0.002655	0.001599	0.007136	0.001120	0.003960	0.000447	0.000678	0.000413	0.000401	0.000369	-10414.239
30	0.002655	0.001599	0.007136	0.000760	0.003960	0.000447	0.000663	0.000413	0.000401	0.000377	-10407.477
32	0.002655	0.001599	0.007136	0.000760	0.003960	0.000447	0.000653	0.000413	0.000401	0.000383	-10410.772
34	0.003030	0.001824	0.008143	0.000868	0.004519	0.000510	0.000756	0.000471	0.000458	0.000431	-10419.281
36	0.003306	0.001991	0.008886	0.000947	0.004931	0.000743	0.000811	0.000514	0.000494	0.000479	-10408.949
38	0.003306	0.001991	0.009284	0.000947	0.004415	0.000597	0.001736	0.000514	0.000498	0.000470	-10415.491
40	0.003306	0.001991	0.009284	0.000947	0.005046	0.000815	0.001736	0.000514	0.000490	0.000470	-10417.664
42	0.004111	0.002475	0.011543	0.001177	0.006274	0.001429	0.002171	0.000640	0.000602	0.000581	-10410.119
44	0.003494	0.002104	0.009811	0.001001	0.005333	0.001152	0.001821	0.000544	0.000512	0.000500	-10420.686
46	0.003603	0.002104	0.009811	0.001001	0.005333	0.000467	0.001838	0.000544	0.000529	0.000495	-10413.066
48	0.003603	0.002104	0.009811	0.001001	0.005333	0.000467	0.001868	0.000544	0.000529	0.000488	-10415.645
50	0.004055	0.002368	0.011042	0.001126	0.006002	0.000526	0.002031	0.000612	0.000596	0.000568	-10422.664
52	0.003563	0.002080	0.009702	0.000989	0.004996	0.000462	0.001790	0.000538	0.000523	0.000498	-10402.990
54	0.004481	0.002616	0.012201	0.001244	0.006283	0.000691	0.002297	0.000676	0.000651	0.000613	-10407.755
56	0.004481	0.002616	0.012201	0.001244	0.006433	0.000759	0.001820	0.000675	0.000648	0.000611	-10408.813
58	0.004481	0.002616	0.012201	0.001244	0.005903	0.000767	0.001839	0.000675	0.000648	0.000605	-10406.720
60	0.004481	0.002616	0.012826	0.001244	0.005903	0.000766	0.001877	0.000675	0.000648	0.000593	-10407.552
62	0.004221	0.002464	0.012082	0.001172	0.004855	0.000721	0.001732	0.000636	0.000610	0.000570	-10425.440
64	0.004221	0.002386	0.012082	0.001172	0.004855	0.000707	0.001755	0.000636	0.000611	0.000563	-10390.378
66	0.004221	0.002386	0.012082	0.001172	0.004855	0.000707	0.001766	0.000636	0.000611	0.000559	-10393.619
68	0.004434	0.002506	0.012693	0.001231	0.005100	0.000743	0.001855	0.000668	0.000642	0.000587	-10423.884
70	0.004434	0.002506	0.012693	0.001231	0.005100	0.000743	0.001835	0.000668	0.000642	0.000594	-10409.776
72	0.004434	0.002506	0.012773	0.001231	0.005100	0.000743	0.001837	0.000668	0.000642	0.000593	-10397.753
74	0.003933	0.001712	0.011330	0.001092	0.004524	0.000565	0.001630	0.000593	0.000578	0.000526	-10376.110
76	0.003933	0.001712	0.011330	0.001092	0.004524	0.000565	0.001676	0.000593	0.000578	0.000512	-10383.530
78	0.003730	0.001623	0.010743	0.001036	0.004290	0.000535	0.001543	0.000562	0.000548	0.000500	-10399.225
80	0.003730	0.001623	0.011237	0.001036	0.004290	0.000488	0.001567	0.000562	0.000553	0.000492	-10416.362
82	0.003415	0.001486	0.010290	0.000949	0.003929	0.000447	0.001488	0.000515	0.000506	0.000434	-10409.309
84	0.003229	0.001405	0.009727	0.000897	0.003714	0.000422	0.001393	0.000487	0.000478	0.000415	-10394.449
86	0.003068	0.001335	0.009243	0.000852	0.003529	0.000401	0.001299	0.000462	0.000455	0.000402	-10387.858
88	0.004146	0.001596	0.011051	0.001019	0.004219	0.000480	0.001553	0.000553	0.000544	0.000480	-10392.941
90	0.004146	0.001596	0.011051	0.001019	0.004219	0.000480	0.001572	0.000553	0.000544	0.000474	-10421.899
92	0.003686	0.001850	0.009826	0.000906	0.003751	0.000427	0.001028	0.000492	0.000483	0.000416	-10406.949
94	0.003686	0.002424	0.009826	0.000906	0.003751	0.000427	0.001057	0.000492	0.000483	0.000405	-10437.012
96	0.003686	0.002424	0.010322	0.000906	0.003751	0.000434	0.001093	0.000492	0.000482	0.000391	-10408.402
98	0.003412	0.002424	0.010322	0.000906	0.003751	0.000434	0.001067	0.000492	0.000482	0.000401	-10389.870
100	0.003412	0.002424	0.009374	0.000906	0.003751	0.000434	0.001035	0.000492	0.000482	0.000414	-10416.261
102	0.003412	0.002424	0.009374	0.000906	0.004240	0.000434	0.001035	0.000492	0.000482	0.000414	-10428.170
104	0.003996	0.002838	0.011620	0.001061	0.004964	0.000500	0.001217	0.000576	0.000565	0.000482	-10451.102
106	0.003996	0.002838	0.010746	0.001061	0.004964	0.000500	0.001178	0.000576	0.000565	0.000498	-10410.745
108	0.003337	0.002371	0.008976	0.000886	0.004147	0.000417	0.000982	0.000481	0.000472	0.000417	-10418.972
110	0.003992	0.002836	0.011371	0.001060	0.004960	0.000499	0.001202	0.000575	0.000565	0.000487	-10416.912
