Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
2	0.018754	0.002495	0.004147	0.001165	-10421.680
4	0.018754	0.002495	0.004147	0.001165	-10433.707
6	0.019984	0.002591	0.004350	0.001198	-10413.645
8	0.019984	0.002591	0.004254	0.001224	-10422.396
10	0.019984	0.002591	0.004254	0.001224	-10420.433
12	0.021482	0.002894	0.004753	0.001368	-10428.839
14	0.025445	0.003512	0.005967	0.001605	-10423.225
16	0.022885	0.003159	0.005240	0.001478	-10395.885
18	0.023400	0.003159	0.005244	0.001477	-10401.963
20	0.023180	0.003159	0.005084	0.001523	-10404.828
22	0.023443	0.003159	0.005268	0.001470	-10424.860
24	0.023443	0.002665	0.005816	0.001454	-10428.842
26	0.022782	0.002172	0.005869	0.001441	-10412.005
28	0.022782	0.002172	0.005667	0.001492	-10424.138
30	0.022782	0.002172	0.005667	0.001492	-10400.168
32	0.022241	0.002172	0.005424	0.001488	-10408.169
34	0.022241	0.001960	0.005674	0.001422	-10425.565
36	0.022241	0.001960	0.005871	0.001374	-10432.580
38	0.022241	0.001960	0.005636	0.001432	-10405.884
40	0.022765	0.001960	0.006136	0.001315	-10404.399
42	0.025474	0.002194	0.006866	0.001472	-10421.667
44	0.026072	0.002194	0.006668	0.001515	-10416.622
46	0.022374	0.001883	0.005560	0.001338	-10413.956
48	0.022374	0.001883	0.005586	0.001332	-10419.181
50	0.017907	0.001507	0.004470	0.001066	-10420.626
52	0.017907	0.001507	0.004591	0.001107	-10431.516
54	0.017907	0.001507	0.004567	0.001112	-10432.752
56	0.017248	0.001507	0.004514	0.001125	-10429.392
58	0.016042	0.001401	0.004198	0.001047	-10435.637
60	0.017356	0.001516	0.005324	0.001060	-10445.046
62	0.017356	0.001516	0.005099	0.001107	-10428.081
64	0.014326	0.001718	0.004209	0.000913	-10445.496
66	0.014326	0.001718	0.004279	0.000898	-10415.562
68	0.014326	0.001718	0.004114	0.000935	-10433.093
70	0.014877	0.001718	0.003775	0.001018	-10462.421
72	0.014877	0.001718	0.003952	0.000973	-10428.916
74	0.017667	0.002040	0.004683	0.001158	-10408.392
76	0.016579	0.001915	0.004222	0.001131	-10432.050
78	0.016579	0.001915	0.004224	0.001130	-10441.889
80	0.016579	0.001915	0.004049	0.001179	-10420.180
82	0.016579	0.001915	0.004049	0.001179	-10450.476
84	0.016579	0.001915	0.004192	0.001139	-10420.216
86	0.016019	0.001915	0.004311	0.001107	-10420.139
88	0.016019	0.001915	0.004338	0.001101	-10426.316
90	0.016530	0.001976	0.004602	0.001105	-10436.579
92	0.017099	0.001976	0.005263	0.001152	-10464.337
94	0.015727	0.002442	0.004841	0.001059	-10446.154
96	0.015727	0.002442	0.004352	0.001059	-10442.730
98	0.013576	0.002108	0.003620	0.000949	-10420.588
100	0.013576	0.002108	0.003782	0.000908	-10432.567
102	0.015313	0.002377	0.004381	0.000998	-10447.354
104	0.015274	0.002301	0.003970	0.000997	-10445.988
106	0.015274	0.001710	0.004170	0.000949	-10432.024
108	0.014715	0.001710	0.004170	0.000949	-10436.918
110	0.014715	0.001710	0.003548	0.000949	-10443.419
112	0.014715	0.001710	0.003567	0.000944	-10423.137
114	0.015207	0.001710	0.003567	0.000944	-10426.570
116	0.015207	0.001710	0.003405	0.000989	-10433.760
118	0.015207	0.001710	0.003573	0.000943	-10432.191
120	0.017571	0.001976	0.004411	0.001019	-10409.308
122	0.019871	0.002235	0.005362	0.001153	-10425.130
124	0.015064	0.001782	0.003736	0.000864	-10435.988
126	0.015064	0.001782	0.003744	0.000862	-10430.093
128	0.019161	0.002267	0.004762	0.001096	-10447.727
130	0.019036	0.002252	0.004560	0.001130	-10430.727
132	0.019557	0.002210	0.004019	0.001082	-10417.431
134	0.019557	0.002210	0.004019	0.001082	-10413.187
136	0.023929	0.002704	0.004917	0.001325	-10428.342
138	0.019769	0.002242	0.004078	0.001098	-10453.218
140	0.019769	0.002242	0.003961	0.001131	-10458.954
142	0.019769	0.002835	0.004021	0.001114	-10462.130
144	0.016421	0.002482	0.003631	0.000945	-10441.774
146	0.014230	0.002093	0.002880	0.000847	-10457.830
148	0.017109	0.002085	0.003478	0.001014	-10480.158
150	0.017109	0.002085	0.003487	0.001012	-10436.140
152	0.017109	0.002085	0.003487	0.001012	-10429.652
154	0.019574	0.002385	0.004176	0.001106	-10448.352
156	0.017484	0.002199	0.003787	0.001020	-10445.060
158	0.017484	0.002199	0.003787	0.001020	-10435.353
160	0.018080	0.002199	0.003940	0.000980	-10426.694
162	0.017168	0.002199	0.003794	0.000980	-10425.740
164	0.017699	0.001702	0.003794	0.000980	-10445.246
166	0.018278	0.001702	0.003975	0.000935	-10443.441
168	0.017984	0.001674	0.004612	0.000920	-10414.523
170	0.018424	0.001674	0.004399	0.000965	-10432.798
172	0.018424	0.001630	0.004399	0.000965	-10431.794
174	0.019977	0.001767	0.004419	0.001052	-10468.476
176	0.018648	0.001650	0.004125	0.000982	-10445.529
178	0.021589	0.001972	0.004304	0.001174	-10424.559
180	0.020709	0.001794	0.003915	0.001068	-10422.066
182	0.020709	0.001794	0.004137	0.001010	-10439.655
184	0.020709	0.001794	0.004355	0.001061	-10436.203
186	0.020709	0.001807	0.003925	0.001061	-10433.909
188	0.020709	0.001807	0.004074	0.001022	-10451.835
190	0.017774	0.001551	0.003497	0.000877	-10435.639
192	0.017774	0.001551	0.003061	0.000842	-10427.521
194	0.017774	0.001551	0.003061	0.000842	-10427.465
196	0.016597	0.001448	0.002769	0.000812	-10432.394
198	0.019717	0.001781	0.003219	0.001056	-10432.590
200	0.020275	0.001781	0.003354	0.001013	-10416.108
202	0.023417	0.002057	0.003782	0.001199	-10409.481
204	0.023417	0.002057	0.003782	0.001199	-10425.398
206	0.023417	0.002057	0.004094	0.001204	-10410.624
208	0.022714	0.002057	0.004261	0.001157	-10395.658
210	0.022714	0.002057	0.003921	0.001154	-10421.431
212	0.022714	0.002057	0.003921	0.001154	-10415.190
214	0.022714	0.002057	0.004060	0.001115	-10415.434
216	0.022714	0.002057	0.003687	0.001115	-10437.894
218	0.020725	0.001876	0.003335	0.001026	-10417.543
220	0.023312	0.002144	0.003769	0.001186	-10406.692
222	0.023065	0.002122	0.003501	0.001249	-10422.334
224	0.022474	0.002122	0.003446	0.001209	-10420.756
226	0.022474	0.002122	0.003937	0.001172	-10405.395
228	0.022474	0.002122	0.004001	0.001154	-10426.270
230	0.019489	0.001840	0.003286	0.001056	-10408.263
232	0.019489	0.001840	0.003273	0.001060	-10429.414
234	0.022160	0.002092	0.003819	0.001175	-10438.985
236	0.022160	0.002092	0.004238	0.001230	-10438.616
238	0.021680	0.002100	0.004427	0.001186	-10437.937
240	0.021036	0.002100	0.004427	0.001186	-10420.355
242	0.021036	0.002100	0.004279	0.001212	-10452.121
244	0.017757	0.001772	0.003601	0.001026	-10426.476
246	0.017040	0.001772	0.003460	0.001068	-10406.739
248	0.017161	0.001772	0.003582	0.001031	-10408.466
250	0.017207	0.001772	0.003406	0.001085	-10410.268
252	0.017207	0.001772	0.003393	0.001089	-10429.812
254	0.017762	0.001772	0.003411	0.001083	-10423.456
256	0.019918	0.001988	0.004041	0.001225	-10407.510
258	0.020841	0.001973	0.004011	0.001216	-10431.441
260	0.020841	0.001973	0.003894	0.001253	-10423.096
262	0.020841	0.001973	0.004125	0.001183	-10422.245
264	0.020483	0.001973	0.004125	0.001183	-10410.451
266	0.020483	0.001973	0.004416	0.001105	-10414.983
268	0.020483	0.001973	0.004240	0.001151	-10430.599
270	0.017283	0.001727	0.003023	0.000966	-10417.697
272	0.015412	0.001598	0.002689	0.000930	-10440.982
274	0.017874	0.001945	0.003133	0.001074	-10432.658
