Gen	theta_1Jp	theta_2Me	theta_3MoN	theta_4MoS	theta_5Si	theta_6JpMeMoNMoSSi	theta_7JpMeMoNMoS	theta_8JpMeMoN	theta_9JpMe	tau_6JpMeMoNMoSSi	tau_7JpMeMoNMoS	tau_8JpMeMoN	tau_9JpMe	lnL
2	0.002077	0.000572	0.001684	0.006959	0.001623	0.006765	0.002162	0.004931	0.000450	0.000581	0.000495	0.000254	0.000233	-10414.627
4	0.002293	0.000632	0.001860	0.007685	0.001792	0.006453	0.002303	0.005445	0.000497	0.000642	0.000557	0.000280	0.000257	-10433.743
6	0.002293	0.000632	0.001860	0.007397	0.001792	0.006453	0.002303	0.005445	0.000497	0.000642	0.000557	0.000280	0.000257	-10412.821
8	0.002128	0.000586	0.001726	0.006864	0.001251	0.005988	0.002137	0.005053	0.000461	0.000595	0.000517	0.000260	0.000238	-10412.203
10	0.002294	0.000632	0.001861	0.007634	0.001349	0.006456	0.002304	0.005447	0.000497	0.000642	0.000557	0.000280	0.000257	-10395.591
12	0.002028	0.000434	0.001728	0.006747	0.001192	0.005354	0.002818	0.004815	0.000440	0.000567	0.000424	0.000248	0.000227	-10432.470
14	0.002028	0.000434	0.001728	0.006747	0.001192	0.005354	0.002818	0.004815	0.000440	0.000567	0.000424	0.000248	0.000227	-10436.678
16	0.002154	0.000461	0.001835	0.007168	0.001267	0.005688	0.002994	0.004614	0.000467	0.000603	0.000451	0.000263	0.000241	-10405.613
18	0.002135	0.000457	0.001819	0.007302	0.001256	0.005980	0.002967	0.004573	0.000463	0.000589	0.000447	0.000261	0.000239	-10416.668
20	0.002135	0.000457	0.001819	0.007302	0.001256	0.005980	0.002331	0.004573	0.000463	0.000589	0.000447	0.000261	0.000239	-10416.988
22	0.002135	0.000457	0.001289	0.007302	0.001256	0.005980	0.002331	0.004573	0.000463	0.000589	0.000447	0.000261	0.000239	-10439.428
24	0.002368	0.000507	0.001429	0.008098	0.001392	0.006122	0.002861	0.005072	0.000513	0.000653	0.000476	0.000289	0.000265	-10409.371
26	0.002110	0.000452	0.001274	0.007218	0.001241	0.005456	0.002550	0.004711	0.000501	0.000582	0.000424	0.000258	0.000216	-10404.215
28	0.002110	0.000452	0.001401	0.007218	0.001241	0.005456	0.002550	0.004711	0.000501	0.000582	0.000424	0.000258	0.000216	-10409.156
30	0.002110	0.000452	0.001401	0.007218	0.001027	0.006194	0.002550	0.004626	0.000501	0.000582	0.000424	0.000258	0.000216	-10408.173
32	0.002301	0.000492	0.001528	0.007870	0.001120	0.006755	0.002780	0.005045	0.000546	0.000635	0.000462	0.000282	0.000235	-10419.843
34	0.002045	0.000438	0.001358	0.006994	0.000995	0.006003	0.002471	0.004938	0.000485	0.000564	0.000411	0.000250	0.000209	-10408.173
