Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
151402	0.025164	0.002405	0.005423	0.002184	-10425.154
151404	0.025164	0.002405	0.005637	0.002101	-10419.878
151406	0.025835	0.002470	0.005787	0.002157	-10437.334
151408	0.025835	0.002470	0.006537	0.001909	-10415.183
151410	0.025835	0.002470	0.006537	0.001909	-10420.850
151412	0.027781	0.002602	0.006887	0.002011	-10396.814
151414	0.025685	0.002405	0.006368	0.001860	-10402.745
151416	0.024573	0.002301	0.006092	0.001779	-10418.207
151418	0.026811	0.002511	0.006134	0.002104	-10415.444
151420	0.026811	0.002511	0.006763	0.001908	-10433.559
151422	0.025468	0.002385	0.006425	0.001812	-10433.295
151424	0.025836	0.002643	0.006425	0.001812	-10437.621
151426	0.025113	0.002639	0.005869	0.001978	-10436.929
151428	0.024548	0.002515	0.005924	0.001885	-10434.091
151430	0.024548	0.002515	0.005924	0.001885	-10418.817
151432	0.024548	0.003329	0.005924	0.001885	-10393.123
151434	0.021208	0.002876	0.005118	0.001628	-10413.382
151436	0.021208	0.002876	0.005118	0.001628	-10433.012
151438	0.021175	0.002772	0.004932	0.001569	-10452.112
151440	0.019842	0.002597	0.005166	0.001470	-10412.207
151442	0.021085	0.002597	0.005166	0.001470	-10419.507
151444	0.021305	0.002597	0.005166	0.001470	-10435.166
151446	0.024139	0.002943	0.005854	0.001666	-10441.229
151448	0.024139	0.003631	0.005854	0.001666	-10430.674
151450	0.020790	0.003127	0.004741	0.001526	-10439.702
151452	0.020790	0.003127	0.005040	0.001435	-10447.455
151454	0.020790	0.003127	0.004922	0.001469	-10440.330
151456	0.020790	0.003127	0.004922	0.001469	-10436.637
151458	0.022479	0.002660	0.005322	0.001589	-10425.191
151460	0.021316	0.002441	0.004884	0.001458	-10441.049
151462	0.021706	0.002441	0.005469	0.001458	-10422.088
151464	0.022209	0.002676	0.005995	0.001598	-10420.597
151466	0.021365	0.002574	0.005222	0.001537	-10428.770
151468	0.021365	0.002574	0.005881	0.001506	-10446.607
151470	0.024848	0.002994	0.006840	0.001751	-10429.727
151472	0.024104	0.002994	0.006969	0.001719	-10443.807
151474	0.023392	0.002167	0.006763	0.001668	-10442.250
151476	0.023111	0.002221	0.006933	0.001710	-10425.772
151478	0.023111	0.002221	0.006933	0.001710	-10412.942
151480	0.023111	0.002221	0.006933	0.001710	-10418.983
151482	0.020591	0.001979	0.006177	0.001523	-10437.289
151484	0.020591	0.001979	0.006177	0.001523	-10425.771
151486	0.020306	0.001951	0.006091	0.001502	-10435.051
151488	0.023305	0.002239	0.006991	0.001724	-10433.398
151490	0.023305	0.002239	0.006991	0.001724	-10428.251
151492	0.022167	0.002601	0.006650	0.001640	-10442.778
151494	0.022167	0.002601	0.007050	0.001547	-10457.801
151496	0.022167	0.002601	0.007050	0.001547	-10438.406
151498	0.025532	0.002996	0.008120	0.001781	-10443.610
151500	0.025532	0.002996	0.008120	0.001781	-10447.913
151502	0.025430	0.003475	0.008279	0.001816	-10399.665
151504	0.025161	0.003475	0.007057	0.001893	-10430.735
151506	0.024531	0.002652	0.006880	0.001845	-10410.056
151508	0.024531	0.002652	0.006880	0.001845	-10422.425
151510	0.022990	0.002485	0.006448	0.001729	-10418.485
151512	0.029081	0.003144	0.008156	0.002188	-10409.090
151514	0.028003	0.002979	0.007722	0.002074	-10429.892
151516	0.025691	0.002038	0.006613	0.002039	-10400.836
151518	0.027411	0.002174	0.007056	0.002175	-10424.494
151520	0.027411	0.002174	0.007706	0.002150	-10441.171
151522	0.028181	0.002235	0.007922	0.002211	-10443.790
151524	0.028360	0.002744	0.007972	0.002225	-10441.176
151526	0.028360	0.002744	0.007972	0.002225	-10439.487
151528	0.025733	0.002490	0.007834	0.001864	-10408.404
151530	0.022558	0.002183	0.006867	0.001634	-10422.153
151532	0.022558	0.002183	0.006867	0.001634	-10388.133
151534	0.022558	0.002183	0.007570	0.001634	-10418.095
151536	0.021331	0.002064	0.006835	0.001545	-10459.257
151538	0.020771	0.002844	0.007432	0.001545	-10437.934
151540	0.021671	0.002967	0.007755	0.001612	-10420.570
151542	0.021671	0.002967	0.007030	0.001675	-10418.066
151544	0.019406	0.002657	0.006295	0.001500	-10426.507
151546	0.020425	0.002796	0.005978	0.001578	-10422.463
151548	0.020425	0.002796	0.006418	0.001470	-10413.348
151550	0.020425	0.002796	0.006169	0.001470	-10429.548
151552	0.020709	0.002796	0.005534	0.001639	-10402.967
151554	0.022781	0.003076	0.006088	0.001803	-10393.490
151556	0.022256	0.003076	0.007588	0.001670	-10395.391
151558	0.023334	0.003225	0.006869	0.001738	-10401.584
151560	0.020225	0.002750	0.005348	0.001482	-10413.313
151562	0.023769	0.003232	0.006285	0.001742	-10410.166
151564	0.020186	0.002120	0.005337	0.001479	-10402.498
151566	0.022269	0.002339	0.006264	0.001632	-10405.683
151568	0.024585	0.002515	0.005740	0.001755	-10423.518
151570	0.024585	0.002515	0.005421	0.001755	-10415.743
151572	0.028839	0.002951	0.006359	0.002058	-10424.474
151574	0.023666	0.002573	0.005546	0.001795	-10413.383
151576	0.023666	0.002573	0.005546	0.001795	-10427.305
151578	0.023666	0.002573	0.005546	0.001795	-10442.601
151580	0.023666	0.002573	0.005546	0.001795	-10457.319
151582	0.021410	0.002328	0.005017	0.001624	-10449.761
151584	0.023934	0.002685	0.005802	0.001869	-10422.934
151586	0.027170	0.003048	0.006943	0.002012	-10436.939
151588	0.027170	0.003048	0.006943	0.002012	-10416.584
151590	0.027892	0.003129	0.007128	0.002066	-10432.934
151592	0.027892	0.003129	0.007646	0.002066	-10432.173
151594	0.024464	0.002745	0.006706	0.001812	-10435.600
151596	0.024464	0.002745	0.006706	0.001812	-10413.583
151598	0.027634	0.003100	0.007575	0.002046	-10415.602
151600	0.025407	0.002796	0.006074	0.001846	-10426.310
151602	0.025752	0.002796	0.006074	0.001846	-10407.907
151604	0.025752	0.002199	0.006074	0.001846	-10405.807
151606	0.024757	0.002114	0.005423	0.001911	-10405.105
151608	0.027717	0.002367	0.006071	0.002140	-10418.698
151610	0.027717	0.002367	0.007638	0.001992	-10406.654
151612	0.027717	0.002367	0.007051	0.001992	-10431.152
151614	0.027717	0.002367	0.007051	0.001992	-10424.940
151616	0.027717	0.002367	0.007051	0.001992	-10418.227
151618	0.027229	0.002325	0.006927	0.001957	-10451.153
151620	0.027229	0.002325	0.006173	0.001957	-10412.581
151622	0.022022	0.001880	0.004992	0.001583	-10409.198
151624	0.022581	0.001928	0.005119	0.001623	-10423.686
