Gen	theta_1Jp	theta_2Me	theta_3MoN	theta_4MoS	theta_5Si	theta_6JpMeMoNMoSSi	theta_7JpMeMoNMoS	theta_8JpMeMoN	theta_9JpMe	tau_6JpMeMoNMoSSi	tau_7JpMeMoNMoS	tau_8JpMeMoN	tau_9JpMe	lnL
2	0.001415	0.000461	0.001881	0.008142	0.001111	0.002576	0.002736	0.000432	0.000242	0.000677	0.000336	0.000333	0.000331	-10420.044
4	0.001415	0.000461	0.001881	0.008142	0.001111	0.002332	0.002736	0.000188	0.000242	0.000713	0.000336	0.000333	0.000331	-10399.770
6	0.001640	0.000535	0.002180	0.009435	0.001288	0.002538	0.003171	0.000218	0.000279	0.000826	0.000389	0.000386	0.000385	-10409.856
8	0.001833	0.000598	0.002438	0.010550	0.001913	0.002921	0.003546	0.000244	0.000312	0.000910	0.000435	0.000431	0.000430	-10400.275
10	0.001417	0.000462	0.001885	0.008157	0.001479	0.002338	0.002741	0.000189	0.000241	0.000726	0.000336	0.000333	0.000333	-10442.761
12	0.001812	0.000591	0.002409	0.010427	0.001890	0.002951	0.003504	0.000241	0.000308	0.000935	0.000430	0.000426	0.000425	-10399.005
14	0.001618	0.000528	0.002151	0.009311	0.001688	0.002635	0.003129	0.000198	0.000275	0.000835	0.000384	0.000381	0.000380	-10419.155
16	0.001618	0.000528	0.002151	0.009311	0.001688	0.002635	0.003129	0.000198	0.000275	0.000835	0.000384	0.000381	0.000380	-10416.625
18	0.001618	0.000528	0.002151	0.009311	0.001688	0.003193	0.003129	0.000198	0.000275	0.000812	0.000384	0.000381	0.000380	-10425.904
20	0.001618	0.000408	0.002151	0.009311	0.001688	0.003018	0.003129	0.000198	0.000456	0.000837	0.000384	0.000381	0.000380	-10413.978
22	0.001618	0.000408	0.002193	0.009311	0.001688	0.002887	0.003129	0.000112	0.000456	0.000858	0.000384	0.000381	0.000380	-10418.051
24	0.001618	0.000408	0.002193	0.009311	0.001688	0.003296	0.003129	0.000164	0.000456	0.000858	0.000384	0.000382	0.000380	-10418.445
26	0.001618	0.000408	0.002193	0.009311	0.001688	0.003352	0.002692	0.000132	0.000456	0.000850	0.000384	0.000383	0.000380	-10434.109
28	0.001618	0.000408	0.002193	0.009928	0.001688	0.003412	0.002692	0.000175	0.000456	0.000842	0.000384	0.000382	0.000380	-10429.557
30	0.001848	0.000467	0.003026	0.011343	0.002203	0.004098	0.003075	0.000287	0.001079	0.000936	0.000439	0.000436	0.000434	-10446.512
32	0.001891	0.000477	0.002395	0.011468	0.001658	0.004656	0.003146	0.000322	0.001100	0.000958	0.000449	0.000446	0.000445	-10430.503
34	0.001924	0.000486	0.002438	0.011672	0.001687	0.004392	0.003202	0.000328	0.001120	0.001016	0.000457	0.000454	0.000453	-10437.073
36	0.001924	0.000486	0.002136	0.011672	0.001687	0.004444	0.003202	0.000114	0.000668	0.000989	0.000457	0.000455	0.000453	-10451.242
38	0.001924	0.000486	0.002626	0.011672	0.002102	0.004444	0.003202	0.000311	0.000703	0.000989	0.000457	0.000455	0.000431	-10433.356
40	0.001705	0.000430	0.002326	0.010340	0.001862	0.004141	0.002836	0.000276	0.000610	0.000853	0.000405	0.000403	0.000389	-10434.489
42	0.001897	0.000479	0.002588	0.011503	0.002072	0.004216	0.003155	0.000329	0.000678	0.001012	0.000450	0.000447	0.000433	-10432.565
44	0.001777	0.000479	0.002588	0.011503	0.002072	0.004463	0.002741	0.000403	0.000678	0.000981	0.000452	0.000444	0.000433	-10417.115
46	0.001856	0.000479	0.002588	0.011086	0.002072	0.004551	0.002741	0.000644	0.000678	0.001030	0.000452	0.000440	0.000433	-10420.858
48	0.001874	0.000483	0.002613	0.011194	0.002092	0.004975	0.002768	0.000495	0.000685	0.000995	0.000456	0.000447	0.000437	-10411.778
50	0.001660	0.000428	0.002315	0.009670	0.002255	0.004681	0.002452	0.000439	0.000607	0.000854	0.000404	0.000396	0.000387	-10412.793
52	0.001894	0.000488	0.002641	0.011255	0.002572	0.006085	0.002797	0.000416	0.000692	0.000937	0.000461	0.000453	0.000442	-10416.899
54	0.001885	0.000486	0.002627	0.011540	0.002559	0.005485	0.002783	0.000414	0.000689	0.000958	0.000459	0.000451	0.000440	-10398.558
56	0.001885	0.000486	0.002921	0.010671	0.002085	0.006195	0.003058	0.000679	0.000689	0.000958	0.000458	0.000447	0.000440	-10412.831
58	0.001885	0.000486	0.002921	0.010671	0.002085	0.006070	0.003058	0.000679	0.000681	0.000969	0.000458	0.000447	0.000444	-10405.634
60	0.001885	0.000486	0.003455	0.010667	0.002085	0.005573	0.002477	0.000679	0.000681	0.001014	0.000458	0.000447	0.000444	-10422.134
62	0.001885	0.000486	0.004407	0.010667	0.002085	0.005904	0.002477	0.000162	0.000683	0.000977	0.000458	0.000454	0.000443	-10432.073
64	0.002173	0.000486	0.004407	0.010000	0.002085	0.005733	0.002477	0.000558	0.000683	0.001025	0.000458	0.000446	0.000443	-10434.820
66	0.002173	0.000486	0.003814	0.010000	0.002085	0.005522	0.002477	0.000558	0.000683	0.001047	0.000458	0.000446	0.000443	-10455.614
68	0.002173	0.000486	0.003814	0.010000	0.002085	0.005382	0.002477	0.000401	0.000687	0.001047	0.000458	0.000447	0.000441	-10459.708
70	0.002173	0.000486	0.003814	0.010365	0.002085	0.005382	0.002477	0.000401	0.000687	0.001047	0.000458	0.000447	0.000441	-10453.911
72	0.002173	0.000486	0.003814	0.009599	0.001647	0.005668	0.002477	0.000385	0.000256	0.001017	0.000458	0.000447	0.000441	-10436.855
74	0.002130	0.000476	0.003738	0.009410	0.001614	0.005239	0.002428	0.000378	0.000251	0.000983	0.000449	0.000438	0.000432	-10433.405
