Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
186548	0.004771	0.011434	0.002766	0.002985	0.003334	0.001330	0.000599	-10429.780
186550	0.004771	0.011434	0.002766	0.002906	0.003547	0.001350	0.000598	-10422.536
186552	0.004771	0.011434	0.002548	0.002889	0.003482	0.001355	0.000609	-10446.628
186554	0.004762	0.011414	0.002544	0.002925	0.003415	0.001342	0.000619	-10440.160
186556	0.004762	0.011510	0.002544	0.002849	0.003384	0.001361	0.000625	-10427.767
186558	0.004832	0.011678	0.002581	0.002498	0.003559	0.001384	0.000634	-10426.899
186560	0.005228	0.012636	0.002792	0.002906	0.004202	0.001499	0.000672	-10426.659
186562	0.004609	0.011140	0.002462	0.002647	0.003591	0.001298	0.000611	-10417.960
186564	0.004609	0.011140	0.002743	0.002576	0.003524	0.001317	0.000619	-10411.224
186566	0.004609	0.010823	0.002743	0.002502	0.003918	0.001338	0.000605	-10408.209
186568	0.004609	0.010823	0.002743	0.002480	0.003935	0.001345	0.000603	-10398.439
186570	0.004842	0.011122	0.002881	0.002964	0.004172	0.001400	0.000627	-10414.766
186572	0.004842	0.011122	0.002881	0.003175	0.004146	0.001421	0.000627	-10428.255
186574	0.004842	0.011122	0.002881	0.003144	0.004123	0.001428	0.000631	-10406.387
186576	0.004763	0.010941	0.002835	0.003189	0.004061	0.001398	0.000620	-10383.361
186578	0.004113	0.009449	0.002448	0.002796	0.003393	0.001198	0.000553	-10412.211
186580	0.004113	0.009449	0.002448	0.002769	0.003439	0.001204	0.000546	-10401.985
186582	0.004113	0.009449	0.002448	0.002703	0.003474	0.001220	0.000540	-10411.246
186584	0.004113	0.009266	0.002448	0.002667	0.003608	0.001229	0.000520	-10390.092
186586	0.004472	0.010073	0.002661	0.002661	0.003654	0.001338	0.000567	-10407.526
186588	0.004472	0.010073	0.002661	0.002592	0.003598	0.001358	0.000576	-10427.562
186590	0.004472	0.010330	0.002661	0.002655	0.003588	0.001340	0.000577	-10403.107
186592	0.004859	0.011459	0.002891	0.002902	0.003983	0.001451	0.000614	-10401.778
186594	0.005005	0.012294	0.003102	0.003184	0.004293	0.001537	0.000656	-10420.493
186596	0.004362	0.010714	0.002704	0.002773	0.003670	0.001340	0.000583	-10404.411
186598	0.004362	0.011003	0.002704	0.003090	0.003620	0.001320	0.000591	-10396.776
186600	0.004362	0.011003	0.002704	0.003098	0.003550	0.001318	0.000602	-10391.392
186602	0.004362	0.011003	0.002857	0.002651	0.003536	0.001322	0.000605	-10402.795
186604	0.004230	0.010670	0.002770	0.002970	0.003384	0.001297	0.000594	-10387.081
186606	0.003609	0.008708	0.002156	0.002446	0.002611	0.001128	0.000512	-10385.228
186608	0.004191	0.010112	0.002503	0.002947	0.003082	0.001285	0.000585	-10434.497
186610	0.004191	0.010112	0.002503	0.003004	0.003142	0.001271	0.000574	-10412.779
186612	0.004191	0.010112	0.002503	0.003028	0.003043	0.001265	0.000593	-10435.928
186614	0.003706	0.008940	0.002213	0.002724	0.003041	0.001109	0.000525	-10433.229
186616	0.004116	0.008940	0.001937	0.002714	0.002946	0.001111	0.000542	-10440.854
186618	0.004703	0.010215	0.002023	0.003219	0.003476	0.001245	0.000600	-10438.943
186620	0.004703	0.010215	0.002023	0.003673	0.003511	0.001223	0.000594	-10433.170
186622	0.003796	0.009235	0.001829	0.003652	0.003143	0.001092	0.000542	-10424.602
186624	0.003265	0.007943	0.001573	0.003025	0.002698	0.000923	0.000467	-10422.911
186626	0.003265	0.007943	0.001573	0.003162	0.002614	0.000904	0.000482	-10407.423
186628	0.003626	0.008821	0.001747	0.003421	0.002901	0.001016	0.000536	-10405.378
186630	0.003626	0.008821	0.001747	0.003428	0.002833	0.001015	0.000549	-10425.446
186632	0.004131	0.010003	0.001990	0.003662	0.003027	0.001145	0.000601	-10387.269
186634	0.004646	0.011249	0.002238	0.003967	0.003277	0.001311	0.000686	-10402.103
186636	0.005487	0.013287	0.002644	0.004872	0.004135	0.001521	0.000818	-10424.654
186638	0.004668	0.011912	0.002370	0.004411	0.003659	0.001357	0.000743	-10448.589
186640	0.004597	0.011097	0.002208	0.003977	0.003344	0.001283	0.000706	-10443.296
186642	0.005426	0.013097	0.002606	0.004755	0.003950	0.001509	0.000833	-10429.864
186644	0.004545	0.011726	0.002333	0.004258	0.003633	0.001351	0.000726	-10439.348
186646	0.004545	0.011726	0.002291	0.004112	0.003738	0.001374	0.000706	-10422.277
186648	0.004545	0.011726	0.002291	0.004112	0.003738	0.001374	0.000706	-10422.976
186650	0.004706	0.012142	0.002029	0.004365	0.003867	0.001405	0.000731	-10420.728
186652	0.004261	0.010639	0.001837	0.003701	0.003483	0.001268	0.000665	-10418.900
186654	0.005091	0.012712	0.002195	0.004497	0.004209	0.001535	0.000786	-10426.401
186656	0.004649	0.011880	0.002004	0.004103	0.003838	0.001403	0.000719	-10416.022
186658	0.004649	0.011880	0.002004	0.003996	0.003755	0.001421	0.000686	-10422.443
186660	0.005536	0.014147	0.002556	0.004534	0.004520	0.001736	0.000808	-10415.313
186662	0.005811	0.014147	0.002337	0.004601	0.004575	0.001722	0.000798	-10405.479
186664	0.005234	0.012741	0.002105	0.004081	0.004125	0.001564	0.000718	-10406.601
186666	0.005234	0.012741	0.002105	0.004187	0.003955	0.001542	0.000749	-10394.525
186668	0.004555	0.011089	0.001832	0.003588	0.003484	0.001353	0.000644	-10401.609
186670	0.003796	0.009308	0.001527	0.002916	0.002882	0.001143	0.000541	-10393.725
186672	0.003796	0.009308	0.001527	0.002996	0.002878	0.001127	0.000528	-10393.890
186674	0.003531	0.008659	0.001420	0.002720	0.002636	0.001062	0.000499	-10418.246
186676	0.003531	0.008659	0.001524	0.002760	0.002636	0.001053	0.000499	-10419.667
186678	0.003531	0.008976	0.001524	0.002677	0.002596	0.001070	0.000506	-10420.676
186680	0.003844	0.008976	0.001524	0.002760	0.002602	0.001053	0.000505	-10413.033
186682	0.004186	0.009775	0.001629	0.002935	0.002842	0.001162	0.000548	-10421.574
186684	0.004480	0.009587	0.001629	0.002955	0.002865	0.001157	0.000544	-10419.714
186686	0.004547	0.009587	0.001629	0.003085	0.002848	0.001132	0.000547	-10424.423
186688	0.005526	0.011651	0.001980	0.003768	0.003584	0.001372	0.000642	-10420.388
186690	0.004971	0.010482	0.001782	0.003355	0.003314	0.001241	0.000562	-10406.924
186692	0.004971	0.009874	0.001515	0.003614	0.003298	0.001261	0.000565	-10388.846
186694	0.004709	0.008851	0.001736	0.003218	0.003005	0.001135	0.000498	-10397.134
186696	0.004709	0.008851	0.001970	0.003138	0.002918	0.001151	0.000513	-10385.653
