Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
2	0.006656	0.013882	0.002407	0.000471	0.005676	0.003325	0.000570	-10466.385
4	0.006833	0.015991	0.002772	0.000569	0.006538	0.003686	0.000656	-10465.461
6	0.006833	0.015991	0.002772	0.000478	0.005685	0.003404	0.000656	-10467.669
8	0.007093	0.017273	0.002878	0.000559	0.005901	0.003515	0.000681	-10481.232
10	0.007970	0.019408	0.003234	0.000691	0.006631	0.003662	0.000766	-10463.895
12	0.006281	0.015293	0.001909	0.000505	0.005225	0.003061	0.000603	-10456.680
14	0.007014	0.017593	0.002132	0.000532	0.005835	0.003584	0.000674	-10481.224
16	0.007297	0.019153	0.002218	0.000554	0.006071	0.003729	0.000701	-10445.328
18	0.007297	0.019635	0.002218	0.000590	0.006071	0.003544	0.000701	-10449.613
20	0.007297	0.019635	0.002218	0.000683	0.006071	0.003154	0.000701	-10476.435
22	0.006377	0.016130	0.001938	0.000518	0.005305	0.003086	0.000613	-10486.764
24	0.006377	0.016130	0.001938	0.000480	0.005305	0.003281	0.000613	-10491.793
26	0.006377	0.016130	0.001938	0.000508	0.005305	0.003134	0.000613	-10469.235
28	0.006377	0.016130	0.001938	0.000571	0.005305	0.002855	0.000613	-10477.409
30	0.006849	0.017322	0.002081	0.000613	0.005523	0.003066	0.000679	-10448.825
32	0.006232	0.015133	0.001752	0.000541	0.005026	0.002858	0.000618	-10440.732
34	0.006232	0.015133	0.001752	0.000578	0.005026	0.002716	0.000618	-10441.945
36	0.007400	0.017970	0.002081	0.000627	0.005968	0.003460	0.000733	-10454.029
38	0.006419	0.015586	0.001805	0.000511	0.005177	0.003154	0.000636	-10435.891
40	0.007689	0.018671	0.002106	0.000584	0.006201	0.003923	0.000762	-10441.546
42	0.007788	0.017567	0.001811	0.001138	0.005829	0.003849	0.000716	-10443.826
44	0.008145	0.018370	0.002631	0.001209	0.006096	0.003976	0.000749	-10433.765
46	0.007118	0.017521	0.002631	0.001239	0.006096	0.003896	0.000749	-10420.649
48	0.007118	0.018159	0.002631	0.001351	0.006096	0.003636	0.000749	-10448.416
50	0.008022	0.020084	0.002965	0.001529	0.006870	0.004085	0.000844	-10444.096
52	0.008022	0.020084	0.002965	0.001453	0.006870	0.004253	0.000844	-10427.311
54	0.008022	0.019259	0.002965	0.001363	0.006870	0.004480	0.000844	-10431.715
56	0.008681	0.020841	0.003209	0.001329	0.007541	0.005278	0.000901	-10433.001
58	0.009255	0.022218	0.003421	0.001362	0.008039	0.005817	0.000960	-10451.622
60	0.008336	0.020012	0.003081	0.001211	0.007241	0.005296	0.000865	-10432.479
62	0.008336	0.021050	0.003081	0.001206	0.007241	0.005313	0.000865	-10428.743
64	0.008336	0.021050	0.003081	0.001291	0.007582	0.005019	0.000900	-10430.956
66	0.007307	0.018452	0.002701	0.001113	0.006646	0.004463	0.000789	-10435.658
68	0.007307	0.019470	0.002701	0.001138	0.006646	0.004380	0.000789	-10441.976
70	0.007307	0.019470	0.002701	0.001202	0.006646	0.004191	0.000789	-10439.509
72	0.007307	0.019470	0.002701	0.001230	0.006646	0.004113	0.000789	-10440.650
74	0.007568	0.020166	0.002798	0.001243	0.006884	0.004346	0.000817	-10434.638
76	0.007568	0.020166	0.002798	0.001231	0.006884	0.004381	0.000817	-10442.386
78	0.006623	0.017647	0.002448	0.001066	0.006024	0.003865	0.000715	-10455.417
80	0.007405	0.019732	0.002738	0.001192	0.006736	0.004322	0.000799	-10475.925
82	0.007596	0.019468	0.002808	0.001210	0.006842	0.004472	0.000828	-10467.566
84	0.007141	0.019152	0.002640	0.001177	0.006432	0.004088	0.000778	-10452.222
86	0.005727	0.015358	0.002117	0.000872	0.005158	0.003498	0.000624	-10457.804
88	0.005727	0.016075	0.002117	0.000907	0.005158	0.003386	0.000624	-10447.537
90	0.005010	0.013179	0.002383	0.000693	0.004512	0.003314	0.000546	-10451.374
92	0.005667	0.014909	0.002696	0.000833	0.004778	0.003563	0.000618	-10445.293
94	0.005044	0.013269	0.002400	0.000708	0.004210	0.003295	0.000555	-10440.888
96	0.005044	0.012742	0.002400	0.000708	0.004210	0.003295	0.000555	-10446.212
98	0.005044	0.013603	0.002400	0.000746	0.004210	0.003156	0.000555	-10459.276
100	0.005712	0.015403	0.002717	0.000905	0.004767	0.003377	0.000629	-10457.834
102	0.005118	0.013801	0.002435	0.000850	0.004271	0.002828	0.000563	-10442.068
104	0.005118	0.013801	0.002435	0.000653	0.004271	0.002769	0.000563	-10440.662
106	0.006131	0.016536	0.002917	0.000834	0.005118	0.003155	0.000675	-10447.364
108	0.005939	0.014523	0.002585	0.000819	0.004536	0.002581	0.000598	-10427.436
110	0.005939	0.014523	0.002585	0.000819	0.004536	0.002581	0.000598	-10470.802
112	0.005098	0.012468	0.002220	0.000703	0.003894	0.002216	0.000514	-10439.406
114	0.005035	0.012314	0.002192	0.000695	0.003846	0.002188	0.000507	-10442.621
116	0.005428	0.013274	0.002363	0.000718	0.004146	0.002435	0.000547	-10449.822
118	0.004681	0.011448	0.002038	0.000572	0.003813	0.002239	0.000442	-10452.040
120	0.005176	0.012657	0.002253	0.000632	0.004216	0.002476	0.000489	-10443.619
122	0.005176	0.012657	0.002253	0.000436	0.004216	0.002111	0.000489	-10466.508
124	0.006150	0.014894	0.002678	0.000502	0.005122	0.002566	0.000568	-10446.661
126	0.007047	0.015981	0.002345	0.000617	0.005869	0.002787	0.000651	-10466.897
128	0.006466	0.014663	0.002151	0.000602	0.004530	0.002440	0.000597	-10442.823
130	0.006466	0.014663	0.002151	0.000545	0.004530	0.002633	0.000597	-10451.467
132	0.006116	0.014663	0.002844	0.000545	0.004530	0.002633	0.000597	-10459.849
134	0.006337	0.015194	0.002947	0.000565	0.004694	0.002729	0.000619	-10476.474
136	0.007169	0.017188	0.003334	0.000675	0.005311	0.002961	0.000700	-10452.009
138	0.006656	0.014500	0.003095	0.000641	0.004931	0.002702	0.000650	-10446.734
140	0.006656	0.014500	0.002684	0.000533	0.004931	0.003115	0.000650	-10436.526
142	0.006656	0.013932	0.002684	0.000533	0.004931	0.003115	0.000650	-10431.254
144	0.006656	0.013252	0.002684	0.000577	0.004931	0.002927	0.000650	-10417.922
146	0.006656	0.014156	0.002684	0.000589	0.004931	0.002881	0.000650	-10447.141
148	0.006656	0.014995	0.002684	0.000610	0.004931	0.002806	0.000650	-10448.554
150	0.006656	0.014995	0.002684	0.000616	0.004931	0.002785	0.000650	-10452.504
152	0.005855	0.013191	0.002361	0.000506	0.004337	0.002583	0.000572	-10457.114
154	0.006505	0.014655	0.002623	0.000562	0.004819	0.002869	0.000635	-10452.194
156	0.006505	0.014655	0.002623	0.000562	0.004819	0.002869	0.000635	-10434.165
158	0.005893	0.012242	0.002376	0.000479	0.004366	0.002728	0.000576	-10446.778
160	0.005893	0.013146	0.002376	0.000499	0.004366	0.002639	0.000576	-10436.900
162	0.005205	0.011610	0.002099	0.000441	0.003856	0.002330	0.000508	-10444.748
164	0.005205	0.011610	0.002099	0.000359	0.003856	0.002517	0.000508	-10405.603
166	0.005877	0.013110	0.002370	0.000446	0.004354	0.002631	0.000574	-10395.291
168	0.005877	0.012166	0.002370	0.000406	0.004354	0.002836	0.000574	-10406.273
170	0.005169	0.010701	0.002084	0.000501	0.003829	0.002494	0.000505	-10419.359
172	0.005169	0.010701	0.002084	0.000541	0.003829	0.002349	0.000505	-10409.426
174	0.005169	0.010701	0.002084	0.000541	0.003829	0.002349	0.000505	-10414.993
176	0.004999	0.010347	0.002015	0.000536	0.003703	0.002228	0.000488	-10420.747
178	0.006008	0.012436	0.002422	0.000644	0.004450	0.002677	0.000587	-10441.745
180	0.004582	0.008663	0.001847	0.000480	0.003394	0.002080	0.000448	-10442.096
182	0.005082	0.009609	0.002049	0.000532	0.003765	0.002307	0.000496	-10434.942
184	0.005082	0.009609	0.002049	0.000514	0.003765	0.002307	0.000496	-10443.607
186	0.004869	0.009206	0.001507	0.000496	0.003607	0.002198	0.000476	-10430.853
188	0.004869	0.009206	0.001507	0.000496	0.003607	0.002198	0.000476	-10399.996
190	0.004869	0.009206	0.001507	0.000496	0.003607	0.002198	0.000476	-10414.025
192	0.004595	0.008688	0.001422	0.000865	0.003404	0.001965	0.000449	-10399.029
194	0.005739	0.010851	0.001776	0.001081	0.004251	0.002454	0.000561	-10410.879
196	0.005173	0.009781	0.001601	0.000925	0.003832	0.002303	0.000505	-10401.519
198	0.004980	0.009415	0.001541	0.000798	0.003689	0.002418	0.000486	-10399.503
200	0.004600	0.009263	0.001423	0.000736	0.003408	0.002236	0.000449	-10402.260
202	0.004336	0.008731	0.001342	0.000694	0.003212	0.002108	0.000424	-10414.592
204	0.004336	0.008731	0.001342	0.000694	0.003212	0.002108	0.000424	-10421.865
206	0.004336	0.008731	0.001342	0.000688	0.003212	0.002121	0.000424	-10416.439
208	0.004336	0.008731	0.001342	0.000628	0.003212	0.002283	0.000424	-10445.994
210	0.004336	0.008731	0.001342	0.000623	0.003212	0.002298	0.000424	-10457.845
212	0.004635	0.009333	0.001434	0.000666	0.003434	0.002457	0.000453	-10420.406
214	0.005111	0.010291	0.001582	0.000691	0.003786	0.002850	0.000499	-10442.616
216	0.005628	0.010291	0.001582	0.000677	0.003786	0.002895	0.000499	-10422.545
218	0.005628	0.010291	0.001582	0.000646	0.003786	0.003010	0.000499	-10448.418
220	0.005155	0.009425	0.001448	0.000620	0.003467	0.002654	0.000457	-10447.056
222	0.004753	0.008690	0.001335	0.000571	0.003197	0.002447	0.000422	-10451.278
224	0.004753	0.008690	0.001335	0.000527	0.003197	0.002617	0.000422	-10437.068
226	0.004753	0.008690	0.001335	0.000510	0.002602	0.002691	0.000422	-10463.252
228	0.005273	0.009641	0.001482	0.000626	0.002434	0.002745	0.000468	-10433.706
230	0.005273	0.009275	0.001482	0.000612	0.002434	0.002794	0.000468	-10486.482
232	0.005273	0.009275	0.001482	0.000684	0.002434	0.002550	0.000468	-10461.771
234	0.006136	0.010794	0.001724	0.000534	0.002833	0.002968	0.000544	-10458.470
236	0.005504	0.009681	0.001546	0.000479	0.002541	0.002662	0.000488	-10449.728
238	0.005104	0.009130	0.001434	0.000445	0.002356	0.002468	0.000453	-10445.248
240	0.005285	0.009454	0.001485	0.000503	0.002440	0.002377	0.000469	-10461.795
242	0.005285	0.009454	0.001485	0.000503	0.002352	0.002377	0.000486	-10477.075
244	0.005232	0.009360	0.001858	0.000441	0.002329	0.002597	0.000481	-10421.865
246	0.005346	0.009564	0.001898	0.000499	0.002148	0.002446	0.000492	-10478.945
248	0.005189	0.009283	0.001843	0.000440	0.002085	0.002565	0.000477	-10481.466
250	0.006343	0.011346	0.002252	0.000490	0.002549	0.003382	0.000583	-10466.944
252	0.006343	0.011346	0.002012	0.000544	0.002667	0.003382	0.000583	-10464.694
254	0.006727	0.012034	0.002134	0.000605	0.002829	0.003447	0.000619	-10452.679
256	0.006727	0.012034	0.002134	0.000680	0.002829	0.003134	0.000619	-10463.802
258	0.006727	0.012034	0.002134	0.000706	0.002829	0.003179	0.000619	-10451.745
260	0.005360	0.010478	0.001701	0.000562	0.002254	0.002535	0.000493	-10446.399
262	0.005360	0.010478	0.001701	0.000562	0.002254	0.002535	0.000493	-10442.837
264	0.005360	0.010478	0.001701	0.000562	0.002254	0.002535	0.000493	-10444.560
266	0.005360	0.010478	0.001701	0.000562	0.002254	0.002535	0.000493	-10450.109
268	0.006444	0.012598	0.002045	0.000624	0.002710	0.003254	0.000593	-10443.561
270	0.005861	0.011654	0.001859	0.000554	0.002465	0.003014	0.000539	-10430.043
272	0.005861	0.011654	0.001859	0.000554	0.002465	0.003014	0.000539	-10440.353
274	0.006536	0.012998	0.002074	0.000601	0.002749	0.003443	0.000601	-10438.499
276	0.006520	0.012967	0.002069	0.000599	0.002742	0.003435	0.000600	-10430.005
278	0.005796	0.011525	0.001839	0.000532	0.002437	0.003053	0.000533	-10428.738
280	0.006043	0.012018	0.001917	0.000587	0.002542	0.003041	0.000556	-10420.316
282	0.006043	0.012018	0.001917	0.000579	0.002542	0.003074	0.000556	-10424.127
284	0.006466	0.012859	0.002052	0.000620	0.002662	0.003289	0.000608	-10419.357
286	0.006437	0.012800	0.002042	0.000632	0.002650	0.003211	0.000605	-10447.339
288	0.007158	0.014235	0.002271	0.000673	0.002947	0.003698	0.000673	-10449.550
290	0.006186	0.013459	0.002119	0.000604	0.002750	0.003563	0.000627	-10462.270
292	0.006186	0.013459	0.002119	0.000604	0.002750	0.003563	0.000627	-10441.751
294	0.005263	0.011450	0.001802	0.000470	0.002828	0.003265	0.000556	-10482.681
296	0.005263	0.011450	0.001802	0.000429	0.002828	0.003522	0.000556	-10451.134
298	0.004809	0.010463	0.001647	0.000417	0.002584	0.003060	0.000508	-10440.670
300	0.004809	0.010463	0.001647	0.000434	0.002584	0.002957	0.000508	-10438.112
302	0.004809	0.010463	0.001647	0.000413	0.002584	0.003083	0.000508	-10436.685
304	0.004463	0.010492	0.001529	0.000402	0.002398	0.002750	0.000471	-10462.361
306	0.004463	0.010492	0.001529	0.000402	0.002398	0.002750	0.000471	-10425.024
308	0.004463	0.010492	0.001529	0.000414	0.002398	0.002684	0.000471	-10442.642
310	0.004463	0.010492	0.001529	0.000391	0.002398	0.002810	0.000471	-10460.334
312	0.004463	0.009512	0.001529	0.000393	0.002398	0.002798	0.000471	-10417.857
314	0.004593	0.009790	0.001573	0.000379	0.002468	0.003041	0.000485	-10439.426
316	0.004593	0.009791	0.001573	0.000361	0.002468	0.003168	0.000485	-10445.579
318	0.004593	0.009791	0.001573	0.000391	0.002468	0.002966	0.000485	-10445.725
320	0.004593	0.010847	0.001794	0.000296	0.002468	0.002820	0.000485	-10440.724
