Gen	theta_1Jp	theta_2Me	theta_3MoN	theta_4MoS	theta_5Si	theta_6JpMeMoNMoSSi	theta_7JpMeMoNMoS	theta_8JpMeMoN	theta_9JpMe	tau_6JpMeMoNMoSSi	tau_7JpMeMoNMoS	tau_8JpMeMoN	tau_9JpMe	lnL
2	0.001605	0.000322	0.000983	0.010192	0.001105	0.003440	0.001675	0.005554	0.000587	0.000684	0.000439	0.000176	0.000148	-10413.843
4	0.001747	0.000327	0.000996	0.010721	0.001119	0.003836	0.001752	0.005625	0.000595	0.000670	0.000437	0.000178	0.000150	-10418.143
6	0.001635	0.000306	0.000932	0.009846	0.001048	0.003359	0.001640	0.005043	0.000557	0.000650	0.000409	0.000167	0.000141	-10400.590
8	0.001841	0.000344	0.001049	0.011083	0.001179	0.003781	0.002331	0.006090	0.000626	0.000731	0.000403	0.000188	0.000158	-10433.622
10	0.001519	0.000284	0.000866	0.009149	0.000974	0.003121	0.001744	0.005495	0.000517	0.000604	0.000351	0.000155	0.000131	-10408.682
12	0.001519	0.000284	0.000866	0.009149	0.000974	0.003121	0.001608	0.005495	0.000517	0.000604	0.000368	0.000155	0.000131	-10435.935
14	0.001700	0.000318	0.000969	0.010238	0.001089	0.003214	0.002007	0.005499	0.000579	0.000676	0.000387	0.000174	0.000146	-10418.722
16	0.001780	0.000333	0.001015	0.010720	0.001141	0.003646	0.002025	0.005757	0.000614	0.000684	0.000414	0.000182	0.000151	-10400.301
18	0.001780	0.000333	0.001015	0.010720	0.001141	0.003694	0.001922	0.007011	0.000645	0.000706	0.000427	0.000177	0.000151	-10408.025
20	0.001780	0.000333	0.001015	0.010720	0.001141	0.004046	0.002075	0.007011	0.000645	0.000682	0.000408	0.000177	0.000151	-10426.705
22	0.001950	0.000364	0.001111	0.011740	0.001249	0.003960	0.001930	0.008006	0.000706	0.000779	0.000492	0.000194	0.000165	-10444.422
24	0.001950	0.000364	0.001111	0.011740	0.001249	0.004645	0.001498	0.008274	0.000706	0.000737	0.000492	0.000194	0.000165	-10420.099
26	0.001950	0.000364	0.001111	0.011740	0.001249	0.004713	0.001498	0.008274	0.000706	0.000733	0.000492	0.000194	0.000165	-10441.482
28	0.001950	0.000364	0.001111	0.011740	0.001249	0.004359	0.001396	0.008274	0.000588	0.000753	0.000514	0.000194	0.000174	-10429.550
