Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
2	0.015197	0.001808	0.004474	0.000916	-10423.720
4	0.016498	0.001808	0.004474	0.000916	-10429.419
6	0.016718	0.001832	0.004329	0.000928	-10401.690
8	0.015208	0.001667	0.003938	0.000844	-10399.173
10	0.012421	0.001512	0.003906	0.000700	-10382.159
12	0.013872	0.001689	0.004363	0.000782	-10378.667
14	0.013872	0.001689	0.004363	0.000782	-10391.658
16	0.013872	0.001689	0.004175	0.000817	-10393.038
18	0.013872	0.001689	0.004175	0.000817	-10392.214
20	0.013872	0.001689	0.004179	0.000816	-10405.101
22	0.013872	0.001689	0.004179	0.000816	-10436.072
24	0.013872	0.001689	0.004179	0.000816	-10418.004
26	0.013872	0.001689	0.004179	0.000816	-10402.220
28	0.013872	0.001689	0.004179	0.000816	-10397.906
30	0.014727	0.001793	0.004437	0.000867	-10393.142
32	0.013283	0.001617	0.004002	0.000782	-10404.478
34	0.013283	0.001617	0.004002	0.000782	-10411.517
36	0.015946	0.001941	0.004785	0.000942	-10387.543
38	0.015946	0.001941	0.004785	0.000942	-10391.095
40	0.016826	0.002049	0.005049	0.000994	-10403.276
42	0.017253	0.002100	0.006018	0.001020	-10396.884
44	0.015502	0.001887	0.005408	0.000916	-10411.510
46	0.012996	0.001582	0.004533	0.000768	-10420.847
48	0.012996	0.001582	0.004647	0.000749	-10414.475
50	0.012996	0.001582	0.004389	0.000793	-10398.570
52	0.014500	0.001765	0.004740	0.000914	-10400.112
54	0.012978	0.001580	0.004362	0.000796	-10379.952
56	0.012978	0.001580	0.004362	0.000796	-10410.616
58	0.014421	0.001756	0.004847	0.000884	-10431.400
60	0.014421	0.001756	0.004722	0.000908	-10431.348
62	0.014421	0.001756	0.004690	0.000914	-10423.468
64	0.016391	0.001996	0.005331	0.001039	-10416.797
66	0.017750	0.002298	0.006139	0.001196	-10426.286
68	0.018972	0.002456	0.006561	0.001278	-10400.883
70	0.017260	0.002234	0.006139	0.001131	-10414.971
72	0.015791	0.002044	0.005705	0.001080	-10408.082
74	0.015791	0.002044	0.005555	0.001109	-10405.470
76	0.015791	0.002044	0.006181	0.001048	-10423.046
78	0.016590	0.002148	0.005146	0.001042	-10411.897
80	0.015053	0.001949	0.004669	0.000946	-10409.382
82	0.017319	0.002242	0.005360	0.001090	-10419.108
84	0.016649	0.002155	0.005463	0.000989	-10395.761
86	0.016205	0.002098	0.005067	0.001010	-10417.693
88	0.018831	0.002438	0.005889	0.001173	-10408.069
90	0.018831	0.002438	0.005889	0.001173	-10431.315
92	0.018831	0.002438	0.006075	0.001137	-10392.960
94	0.018831	0.002438	0.006278	0.001101	-10426.128
96	0.023233	0.003008	0.007339	0.001433	-10421.082
98	0.023233	0.003008	0.007508	0.001401	-10405.086
100	0.024817	0.003213	0.008293	0.001447	-10402.452
102	0.022918	0.002871	0.007409	0.001293	-10407.539
104	0.027200	0.003407	0.008415	0.001604	-10438.044
106	0.027200	0.003407	0.008373	0.001612	-10410.342
108	0.029175	0.003654	0.009362	0.001659	-10405.874
110	0.028630	0.003586	0.009291	0.001628	-10404.837
112	0.027006	0.003586	0.010069	0.001502	-10431.686
114	0.028970	0.003847	0.012102	0.001568	-10387.385
116	0.026365	0.002511	0.010775	0.001459	-10416.855
118	0.030480	0.002903	0.012083	0.001739	-10420.848
120	0.030480	0.002903	0.012460	0.001686	-10435.724
122	0.030480	0.002903	0.011522	0.001751	-10414.168
124	0.030480	0.002903	0.012786	0.001605	-10405.261
126	0.030480	0.002903	0.012531	0.001638	-10399.916
128	0.030480	0.002903	0.012496	0.001642	-10411.313
130	0.030480	0.002903	0.012887	0.001592	-10417.053
132	0.031618	0.002903	0.012887	0.001592	-10400.049
134	0.031618	0.002903	0.012887	0.001592	-10435.631
136	0.031618	0.002903	0.013084	0.001568	-10443.562
138	0.027338	0.002482	0.010354	0.001449	-10434.250
140	0.028873	0.002482	0.010354	0.001449	-10413.275
142	0.031418	0.002701	0.011054	0.001607	-10417.752
144	0.027893	0.002398	0.008694	0.001426	-10442.334
146	0.027893	0.002398	0.009003	0.001545	-10433.566
148	0.032041	0.002754	0.011254	0.001631	-10440.510
150	0.032041	0.002754	0.010887	0.001686	-10409.983
152	0.031040	0.002754	0.012064	0.001676	-10405.724
154	0.031126	0.002754	0.012469	0.001622	-10424.585
156	0.034510	0.003054	0.014012	0.001774	-10432.025
158	0.029701	0.002739	0.012548	0.001593	-10433.447
160	0.029701	0.002739	0.012014	0.001664	-10432.653
162	0.026889	0.002479	0.009684	0.001573	-10427.882
164	0.033498	0.003089	0.012607	0.001876	-10427.649
166	0.036143	0.003448	0.014369	0.002051	-10409.901
168	0.035393	0.003377	0.014532	0.002098	-10416.202
170	0.038371	0.003132	0.016442	0.002390	-10420.544
172	0.038371	0.003132	0.016093	0.002442	-10421.452
174	0.039480	0.003132	0.016536	0.002377	-10431.614
176	0.032116	0.002548	0.013572	0.001916	-10419.743
178	0.032116	0.002548	0.013174	0.001974	-10414.956
180	0.033878	0.002688	0.013566	0.002133	-10412.703
182	0.033878	0.002688	0.013552	0.002136	-10446.479
184	0.033878	0.002688	0.013746	0.002105	-10442.256
186	0.033878	0.002688	0.012948	0.002031	-10439.103
188	0.029816	0.002366	0.012356	0.001813	-10418.705
190	0.027127	0.002152	0.010867	0.001706	-10438.493
192	0.027127	0.002152	0.011533	0.001607	-10417.900
194	0.027127	0.002152	0.012798	0.001638	-10425.327
196	0.022283	0.001768	0.010513	0.001345	-10420.347
198	0.019866	0.001576	0.009372	0.001199	-10404.294
200	0.019866	0.001576	0.008963	0.001254	-10409.352
202	0.018297	0.001452	0.009020	0.001155	-10392.097
204	0.021529	0.001708	0.010740	0.001343	-10412.059
206	0.021529	0.001708	0.010740	0.001343	-10392.529
208	0.018650	0.001490	0.008931	0.001229	-10429.676
210	0.021599	0.001726	0.011157	0.001320	-10412.438
212	0.021599	0.001726	0.011157	0.001320	-10421.160
214	0.019236	0.001537	0.009904	0.001179	-10405.804
216	0.020511	0.001639	0.010561	0.001257	-10388.530
218	0.020511	0.001639	0.010947	0.001213	-10382.907
220	0.020511	0.001639	0.010264	0.001213	-10418.396
222	0.020511	0.001639	0.009551	0.001304	-10398.557
224	0.019849	0.001586	0.009242	0.001262	-10407.760
226	0.019252	0.001538	0.008964	0.001224	-10397.073
228	0.020796	0.001662	0.009683	0.001322	-10390.364
230	0.020796	0.001662	0.009683	0.001322	-10399.714
