Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
2	0.016480	0.003318	0.000874	0.004295	-10417.939
4	0.014518	0.002906	0.000807	0.003567	-10412.234
6	0.017948	0.003816	0.001043	0.004217	-10402.568
8	0.017948	0.003816	0.001043	0.004217	-10403.046
10	0.017948	0.003871	0.000807	0.004304	-10425.829
12	0.015182	0.003513	0.000682	0.003640	-10415.275
14	0.015500	0.003587	0.000666	0.003886	-10431.363
16	0.015500	0.003587	0.000666	0.003886	-10443.973
18	0.015500	0.003587	0.000676	0.003831	-10443.234
20	0.016931	0.003918	0.000738	0.004185	-10460.374
22	0.015563	0.003601	0.000926	0.003628	-10445.090
24	0.013325	0.003084	0.000793	0.003107	-10454.868
26	0.014347	0.003320	0.000854	0.003345	-10473.721
28	0.014347	0.003320	0.000854	0.003345	-10464.684
30	0.012785	0.002958	0.000732	0.003098	-10475.664
32	0.012785	0.002958	0.000566	0.003098	-10440.448
34	0.012785	0.002958	0.000566	0.003098	-10447.595
36	0.012623	0.002958	0.000607	0.002885	-10444.799
38	0.012623	0.002958	0.000607	0.002885	-10418.798
40	0.012623	0.002958	0.000580	0.003021	-10442.037
42	0.012623	0.002958	0.000580	0.003021	-10439.828
44	0.012623	0.002958	0.000580	0.003021	-10433.394
46	0.012623	0.003168	0.000807	0.003021	-10442.626
48	0.012623	0.003090	0.000807	0.003021	-10451.685
50	0.012687	0.003090	0.000860	0.002783	-10415.311
52	0.012378	0.003015	0.000839	0.002715	-10428.404
54	0.013936	0.003405	0.000989	0.002938	-10426.771
56	0.013764	0.003405	0.000989	0.002938	-10447.566
58	0.013764	0.003434	0.000743	0.002938	-10434.089
60	0.013896	0.003434	0.000743	0.002938	-10440.086
62	0.012944	0.003199	0.000680	0.002789	-10413.181
64	0.013193	0.003199	0.000637	0.002976	-10418.807
66	0.009971	0.002418	0.000481	0.002249	-10416.461
68	0.010684	0.002295	0.000533	0.002410	-10419.395
70	0.010684	0.002536	0.000533	0.002410	-10422.995
72	0.009626	0.002285	0.000493	0.002117	-10435.202
74	0.010980	0.002489	0.000561	0.002411	-10441.993
76	0.010886	0.002489	0.000561	0.002411	-10418.090
78	0.010886	0.002489	0.000561	0.002411	-10427.765
80	0.012253	0.002802	0.000630	0.002722	-10403.785
82	0.013047	0.002983	0.000671	0.002898	-10433.974
84	0.012181	0.002828	0.000636	0.002747	-10430.159
86	0.010778	0.002502	0.000563	0.002431	-10435.708
88	0.013281	0.003083	0.000693	0.002995	-10446.800
90	0.014682	0.003594	0.000572	0.003214	-10428.385
92	0.014682	0.003594	0.000572	0.003214	-10437.790
94	0.014682	0.003853	0.000557	0.003301	-10420.061
96	0.014906	0.003853	0.000535	0.003433	-10431.464
98	0.014906	0.003853	0.000568	0.003238	-10417.563
100	0.014906	0.003853	0.000600	0.003062	-10436.156
102	0.013823	0.003573	0.000514	0.003073	-10422.403
104	0.014082	0.003836	0.000514	0.003073	-10416.076
106	0.014082	0.003836	0.000514	0.003073	-10416.773
108	0.013956	0.003941	0.000500	0.002987	-10414.250
110	0.014174	0.003829	0.000481	0.003106	-10416.600
112	0.014354	0.003829	0.000481	0.003106	-10400.471
114	0.014354	0.003829	0.000481	0.003106	-10385.170
116	0.013369	0.003567	0.000438	0.002958	-10430.727
118	0.015016	0.004006	0.000530	0.003084	-10435.618
120	0.013410	0.003481	0.000480	0.002794	-10420.877
122	0.011365	0.002917	0.000277	0.002522	-10427.889
124	0.011601	0.002716	0.000293	0.002389	-10435.351
126	0.011601	0.002716	0.000293	0.002389	-10419.465
128	0.011785	0.002759	0.000512	0.002427	-10426.655
130	0.011936	0.002542	0.000512	0.002427	-10427.868
132	0.012236	0.002542	0.000482	0.002578	-10459.044
134	0.013483	0.002849	0.000583	0.002679	-10450.720
136	0.013483	0.002849	0.000583	0.002679	-10439.493
138	0.013732	0.003104	0.000583	0.002679	-10431.451
140	0.013732	0.003104	0.000583	0.002679	-10395.759
142	0.012844	0.002919	0.000548	0.002520	-10418.714
144	0.013169	0.002919	0.000548	0.002520	-10419.362
146	0.013229	0.002790	0.000548	0.002520	-10422.577
148	0.013229	0.002790	0.000548	0.002520	-10441.510
150	0.013172	0.002778	0.000546	0.002509	-10465.977
152	0.012957	0.003078	0.000546	0.002509	-10462.440
154	0.012957	0.003078	0.000683	0.002714	-10465.379
156	0.012688	0.003078	0.000755	0.002457	-10440.004
158	0.011016	0.002838	0.000611	0.002289	-10433.518
160	0.012472	0.003213	0.000691	0.002592	-10428.706
162	0.011433	0.002915	0.000627	0.002352	-10432.800
164	0.011512	0.002935	0.000632	0.002368	-10426.883
166	0.010957	0.002793	0.000601	0.002254	-10436.042
168	0.010957	0.002793	0.000601	0.002254	-10453.164
170	0.012025	0.003112	0.000670	0.002511	-10443.029
172	0.011752	0.003112	0.000670	0.002511	-10462.931
174	0.011715	0.003114	0.000670	0.002513	-10435.952
176	0.011952	0.003114	0.000670	0.002513	-10444.666
178	0.011952	0.003114	0.000670	0.002513	-10440.604
180	0.011952	0.003114	0.000684	0.002463	-10428.246
182	0.012380	0.003226	0.000937	0.002551	-10431.315
184	0.010421	0.002715	0.000739	0.002295	-10469.912
186	0.011296	0.002943	0.000801	0.002487	-10441.830
188	0.011296	0.002943	0.000801	0.002487	-10424.865
190	0.011296	0.002943	0.000673	0.002487	-10433.042
192	0.011562	0.002943	0.000590	0.002487	-10415.087
194	0.010933	0.002749	0.000551	0.002324	-10447.550
196	0.010699	0.002578	0.000358	0.002324	-10456.847
198	0.010699	0.002578	0.000358	0.002324	-10429.626
200	0.012328	0.002976	0.000413	0.002682	-10420.237
202	0.012328	0.002927	0.000615	0.002682	-10430.116
204	0.012328	0.002927	0.000615	0.002682	-10451.003
206	0.013777	0.003271	0.000710	0.002904	-10447.319
208	0.013253	0.003146	0.000699	0.002730	-10442.568
210	0.011518	0.002712	0.000558	0.002539	-10435.517
212	0.012759	0.003004	0.000531	0.002813	-10440.892
214	0.012759	0.003004	0.000531	0.002813	-10435.942
216	0.012759	0.003004	0.000531	0.002813	-10433.129
218	0.013142	0.002739	0.000531	0.002813	-10455.549
220	0.013990	0.002628	0.000565	0.002995	-10414.667
222	0.013860	0.002628	0.000516	0.003279	-10453.849
224	0.013719	0.002359	0.000526	0.003154	-10432.024
226	0.013719	0.002359	0.000526	0.003154	-10434.034
228	0.013719	0.002359	0.000526	0.003154	-10433.975
230	0.015730	0.002442	0.000603	0.003617	-10423.535
232	0.015935	0.002442	0.000628	0.003474	-10430.984
234	0.013867	0.002125	0.000383	0.002984	-10421.521
236	0.015775	0.002429	0.000424	0.003530	-10417.040
238	0.015775	0.002429	0.000451	0.003318	-10403.003
240	0.015775	0.002429	0.000408	0.003664	-10408.236
242	0.017324	0.002668	0.000448	0.004024	-10403.650
244	0.017244	0.002917	0.000448	0.004024	-10402.264
246	0.017570	0.002922	0.000449	0.004031	-10419.066
248	0.017570	0.002947	0.000423	0.004279	-10416.112
250	0.017570	0.002947	0.000423	0.004279	-10412.993
252	0.015426	0.002587	0.000367	0.003804	-10425.312
254	0.018325	0.003073	0.000579	0.004519	-10420.533
256	0.021363	0.003583	0.000723	0.004916	-10424.304
258	0.019405	0.003120	0.000624	0.004696	-10436.883
260	0.022171	0.003565	0.000713	0.005366	-10440.606
