Gen	theta_1JpMe	theta_2MoN	theta_3MoS	theta_4Si	theta_5JpMeMoNMoSSi	theta_6JpMeMoNMoS	theta_7JpMeMoN	tau_5JpMeMoNMoSSi	tau_6JpMeMoNMoS	tau_7JpMeMoN	lnL
2	0.002921	0.001332	0.010627	0.001188	0.003803	0.001777	0.007016	0.000940	0.000540	0.000231	-10412.452
4	0.003564	0.001625	0.012964	0.001449	0.004884	0.002544	0.008559	0.001147	0.000603	0.000281	-10427.582
6	0.003377	0.001540	0.012286	0.001374	0.004628	0.002142	0.011239	0.001087	0.000610	0.000224	-10440.929
8	0.003377	0.001540	0.012286	0.001374	0.004628	0.002245	0.010086	0.001087	0.000592	0.000224	-10428.567
10	0.003377	0.001540	0.012286	0.001374	0.004628	0.002245	0.009124	0.001087	0.000592	0.000224	-10445.752
12	0.003377	0.001540	0.012286	0.001374	0.004975	0.002621	0.009568	0.001051	0.000540	0.000224	-10418.949
14	0.003253	0.001483	0.011724	0.001323	0.004429	0.002524	0.009216	0.001053	0.000520	0.000216	-10448.814
16	0.002877	0.001312	0.011496	0.001170	0.004311	0.002112	0.008151	0.000890	0.000475	0.000191	-10430.541
18	0.002598	0.001184	0.010380	0.001057	0.003683	0.001907	0.007360	0.000824	0.000429	0.000172	-10421.613
20	0.002176	0.000992	0.009079	0.000885	0.002802	0.001598	0.006756	0.000724	0.000359	0.000144	-10429.811
22	0.002445	0.001898	0.010199	0.000994	0.003533	0.001409	0.007590	0.000769	0.000470	0.000162	-10412.806
24	0.002445	0.001898	0.010199	0.000994	0.003101	0.001516	0.007590	0.000814	0.000448	0.000162	-10425.443
26	0.002907	0.002191	0.012125	0.001182	0.004060	0.001592	0.009022	0.000928	0.000577	0.000193	-10416.739
28	0.002907	0.002191	0.011596	0.001182	0.004060	0.001761	0.009022	0.000928	0.000541	0.000193	-10418.296
30	0.002972	0.002241	0.011857	0.001209	0.004152	0.001801	0.008278	0.000949	0.000553	0.000197	-10429.488
32	0.002592	0.001648	0.010340	0.001054	0.003621	0.001570	0.007219	0.000828	0.000482	0.000172	-10418.699
34	0.002592	0.001648	0.010340	0.001054	0.003621	0.001598	0.007219	0.000828	0.000482	0.000172	-10433.112
36	0.002592	0.001648	0.010340	0.001054	0.003621	0.001931	0.007219	0.000828	0.000428	0.000172	-10434.844
38	0.002592	0.001648	0.010340	0.001054	0.003130	0.002023	0.007219	0.000890	0.000417	0.000172	-10399.346
40	0.002677	0.001703	0.010681	0.001089	0.003564	0.002243	0.007457	0.000874	0.000413	0.000178	-10418.581
42	0.002677	0.001703	0.010681	0.001089	0.003728	0.002158	0.006539	0.000920	0.000422	0.000178	-10425.839
44	0.002677	0.001703	0.010681	0.001089	0.003554	0.002376	0.006539	0.000944	0.000421	0.000178	-10433.157
46	0.002873	0.001827	0.011462	0.001168	0.004431	0.002550	0.007750	0.000935	0.000452	0.000190	-10423.011
48	0.002873	0.001827	0.011462	0.001168	0.004431	0.002283	0.008751	0.000935	0.000482	0.000190	-10413.670
50	0.002761	0.001756	0.011016	0.001123	0.003649	0.002213	0.008411	0.000971	0.000461	0.000183	-10412.936
52	0.002761	0.001756	0.011016	0.001123	0.003649	0.001957	0.008411	0.000971	0.000497	0.000183	-10417.172
54	0.002458	0.001563	0.009805	0.001000	0.002822	0.001663	0.007487	0.000826	0.000456	0.000163	-10413.735
56	0.002422	0.001540	0.010586	0.000985	0.003871	0.001639	0.007379	0.000814	0.000449	0.000161	-10418.315
58	0.002843	0.001808	0.012426	0.001156	0.004727	0.001924	0.008662	0.000939	0.000528	0.000189	-10412.321
60	0.002727	0.001734	0.011919	0.001109	0.004534	0.001846	0.007638	0.000901	0.000506	0.000181	-10403.658
62	0.002510	0.001596	0.010969	0.001021	0.004013	0.002043	0.007029	0.000842	0.000415	0.000166	-10415.908
64	0.002535	0.001612	0.011078	0.001031	0.003481	0.001843	0.007543	0.000850	0.000449	0.000168	-10391.584
66	0.002535	0.001612	0.011078	0.001031	0.003481	0.001590	0.007543	0.000850	0.000494	0.000168	-10424.768
68	0.002535	0.001612	0.011078	0.001031	0.003481	0.001960	0.007543	0.000850	0.000433	0.000168	-10402.974
70	0.002535	0.001612	0.010224	0.001031	0.003529	0.002062	0.006171	0.000844	0.000420	0.000168	-10380.146
72	0.002893	0.001840	0.011667	0.001176	0.003751	0.002754	0.007042	0.000999	0.000437	0.000192	-10394.052
74	0.002652	0.001687	0.010697	0.001079	0.003439	0.002525	0.006456	0.000916	0.000401	0.000176	-10413.158
76	0.002545	0.001619	0.010267	0.001035	0.003301	0.002113	0.006197	0.000879	0.000416	0.000169	-10424.425
78	0.002545	0.001619	0.010267	0.001035	0.003595	0.002113	0.006197	0.000841	0.000416	0.000169	-10402.356
80	0.002545	0.001619	0.010267	0.001035	0.003899	0.002113	0.006197	0.000808	0.000416	0.000169	-10397.356
82	0.002386	0.001518	0.009626	0.000971	0.003168	0.001981	0.005805	0.000814	0.000390	0.000158	-10398.648
84	0.002638	0.001678	0.010642	0.001073	0.003503	0.002190	0.006418	0.000900	0.000431	0.000175	-10418.710
86	0.003012	0.001916	0.012149	0.001225	0.003999	0.002500	0.007327	0.001028	0.000493	0.000200	-10412.664
88	0.003012	0.001916	0.012149	0.001225	0.003999	0.002851	0.006473	0.001028	0.000457	0.000200	-10423.387
90	0.003320	0.002112	0.013393	0.001350	0.004363	0.003482	0.007136	0.001139	0.000476	0.000220	-10430.100
92	0.003587	0.002281	0.014468	0.001459	0.004989	0.004457	0.007827	0.001191	0.000514	0.000238	-10415.419
94	0.003587	0.002281	0.014468	0.001459	0.004242	0.003052	0.007827	0.001197	0.000563	0.000238	-10416.205
96	0.003715	0.002363	0.014985	0.001511	0.004705	0.003161	0.008107	0.001196	0.000583	0.000247	-10410.760
98	0.003715	0.002363	0.014985	0.001511	0.004087	0.003161	0.008107	0.001196	0.000583	0.000247	-10394.047
100	0.003715	0.002363	0.014985	0.001511	0.004357	0.002863	0.008107	0.001158	0.000618	0.000247	-10402.336
102	0.003715	0.002363	0.013312	0.001511	0.004399	0.003256	0.009134	0.001153	0.000573	0.000247	-10431.180
104	0.003621	0.002303	0.012975	0.001473	0.004288	0.003005	0.008903	0.001124	0.000577	0.000240	-10411.754
106	0.003621	0.002303	0.013351	0.001473	0.004345	0.003005	0.008783	0.001117	0.000577	0.000244	-10426.639
108	0.003511	0.002303	0.013351	0.001473	0.004345	0.003327	0.008783	0.001117	0.000544	0.000244	-10404.883
110	0.003050	0.002000	0.012240	0.001279	0.003834	0.002374	0.007629	0.000963	0.000530	0.000212	-10408.001
112	0.002947	0.001933	0.011829	0.001236	0.003447	0.002294	0.006659	0.000962	0.000512	0.000204	-10428.303
114	0.003365	0.002207	0.013506	0.001412	0.004205	0.002620	0.007603	0.001066	0.000584	0.000233	-10378.381
116	0.003365	0.002207	0.013506	0.001412	0.003439	0.002967	0.007357	0.001066	0.000543	0.000241	-10394.976
118	0.003365	0.002207	0.013506	0.001412	0.003439	0.002606	0.006970	0.001066	0.000585	0.000255	-10421.963
120	0.003386	0.002221	0.013590	0.001420	0.004470	0.003031	0.007013	0.001106	0.000544	0.000256	-10430.713
122	0.003843	0.002521	0.015426	0.001612	0.005073	0.003440	0.006904	0.001255	0.000617	0.000291	-10441.433
124	0.003481	0.002283	0.013973	0.001460	0.004596	0.002760	0.006254	0.001137	0.000597	0.000263	-10432.387
126	0.003481	0.002283	0.013973	0.001460	0.004248	0.003088	0.006254	0.001181	0.000562	0.000263	-10425.878
128	0.003487	0.002287	0.014404	0.001463	0.003997	0.003093	0.006264	0.001223	0.000563	0.000264	-10415.331
130	0.003308	0.002170	0.013666	0.001388	0.004121	0.002608	0.006950	0.001111	0.000570	0.000250	-10425.217
132	0.003308	0.002170	0.013666	0.001388	0.004016	0.002608	0.007808	0.001125	0.000570	0.000250	-10428.439
134	0.003308	0.002170	0.013666	0.001388	0.004348	0.002608	0.007808	0.001083	0.000570	0.000250	-10413.756
136	0.003308	0.002757	0.013666	0.001388	0.002944	0.002608	0.008243	0.001083	0.000570	0.000237	-10417.044
138	0.003819	0.003183	0.015776	0.001602	0.003398	0.003587	0.009516	0.001250	0.000596	0.000274	-10420.361
140	0.003757	0.002184	0.015520	0.001576	0.003505	0.003698	0.008561	0.001200	0.000572	0.000269	-10430.680
142	0.003334	0.001938	0.013771	0.001399	0.002885	0.003281	0.007596	0.001109	0.000507	0.000239	-10399.085
144	0.003432	0.001995	0.014178	0.001440	0.002970	0.003378	0.007820	0.001141	0.000522	0.000246	-10399.044
146	0.004155	0.002415	0.017160	0.001743	0.003731	0.003447	0.009466	0.001354	0.000694	0.000298	-10393.504
148	0.004358	0.002533	0.017999	0.001828	0.004056	0.003694	0.010940	0.001396	0.000720	0.000312	-10402.009
150	0.004358	0.002533	0.017999	0.001828	0.004231	0.003694	0.010027	0.001368	0.000720	0.000312	-10401.679
152	0.004165	0.002421	0.017204	0.001747	0.004027	0.003485	0.009584	0.001311	0.000693	0.000299	-10419.730
154	0.004165	0.002421	0.017204	0.001747	0.003757	0.003449	0.009584	0.001355	0.000697	0.000299	-10419.281
156	0.003964	0.002304	0.016375	0.001663	0.003576	0.003649	0.009725	0.001290	0.000625	0.000267	-10418.594
158	0.004282	0.002489	0.017686	0.001796	0.003779	0.004807	0.009422	0.001408	0.000609	0.000321	-10420.789
160	0.003649	0.002121	0.014440	0.001531	0.003232	0.004096	0.008028	0.001197	0.000519	0.000273	-10404.917
162	0.003649	0.002121	0.015438	0.001531	0.003460	0.004096	0.006093	0.001153	0.000519	0.000273	-10432.739
164	0.003649	0.002121	0.015438	0.001531	0.003454	0.003876	0.006535	0.001147	0.000533	0.000273	-10429.622
166	0.003649	0.002121	0.015438	0.001531	0.003052	0.003876	0.007234	0.001228	0.000533	0.000273	-10408.035
168	0.003649	0.002121	0.015438	0.001531	0.002939	0.003438	0.007234	0.001255	0.000566	0.000273	-10430.970
170	0.003471	0.002017	0.014685	0.001465	0.003050	0.002873	0.006453	0.001141	0.000577	0.000277	-10419.402
172	0.004040	0.001587	0.017096	0.001706	0.003803	0.003751	0.008506	0.001284	0.000634	0.000323	-10425.055
174	0.003862	0.001517	0.016341	0.001631	0.003303	0.003499	0.008130	0.001290	0.000613	0.000309	-10425.514
176	0.003561	0.001399	0.015068	0.001504	0.002821	0.002964	0.008717	0.001239	0.000590	0.000285	-10436.854
178	0.003240	0.001273	0.013710	0.001368	0.002830	0.002596	0.007931	0.001069	0.000548	0.000259	-10448.080
180	0.003240	0.001273	0.013710	0.001368	0.002830	0.003026	0.006783	0.001069	0.000507	0.000259	-10433.752
182	0.003240	0.001273	0.013710	0.001368	0.002890	0.003026	0.005761	0.001057	0.000507	0.000259	-10421.017
184	0.003644	0.001432	0.015419	0.001539	0.003250	0.003145	0.006479	0.001189	0.000593	0.000291	-10423.842
186	0.003168	0.001245	0.013406	0.001338	0.002826	0.002715	0.005353	0.001034	0.000517	0.000253	-10438.625
188	0.003679	0.001445	0.015568	0.001554	0.003094	0.003153	0.006708	0.001237	0.000601	0.000273	-10463.331
190	0.003128	0.001229	0.013237	0.001321	0.002821	0.002725	0.004826	0.001015	0.000506	0.000232	-10444.996
192	0.003383	0.001329	0.014314	0.001428	0.003050	0.002947	0.005542	0.001098	0.000548	0.000251	-10428.350
194	0.003046	0.001197	0.012890	0.001286	0.002567	0.002254	0.004991	0.001022	0.000541	0.000226	-10422.150
196	0.003437	0.001350	0.012276	0.001451	0.003193	0.002542	0.005630	0.001153	0.000610	0.000255	-10417.821
