Gen	theta_1JpMe	theta_2MoN	theta_3MoS	theta_4Si	theta_5JpMeMoNMoSSi	theta_6JpMeMoNMoS	theta_7JpMeMoN	tau_5JpMeMoNMoSSi	tau_6JpMeMoNMoS	tau_7JpMeMoN	lnL
2	0.003746	0.001399	0.010749	0.001556	0.004391	0.001648	0.019811	0.000804	0.000606	0.000184	-10377.014
4	0.003419	0.001277	0.009809	0.001420	0.004488	0.001563	0.018079	0.000734	0.000539	0.000168	-10400.474
6	0.003979	0.001486	0.012025	0.001653	0.006113	0.001962	0.021040	0.000854	0.000595	0.000195	-10399.184
8	0.003979	0.001486	0.012025	0.001337	0.005430	0.002110	0.019249	0.000854	0.000569	0.000213	-10408.036
10	0.003979	0.001486	0.012025	0.001337	0.005651	0.002326	0.019249	0.000846	0.000536	0.000213	-10398.966
12	0.003979	0.001486	0.012025	0.001337	0.005387	0.002446	0.019249	0.000846	0.000520	0.000213	-10422.054
14	0.003979	0.001486	0.012898	0.001337	0.004475	0.002669	0.018297	0.000846	0.000494	0.000213	-10421.878
16	0.003979	0.001486	0.012852	0.001337	0.004754	0.002555	0.020028	0.000826	0.000507	0.000194	-10412.656
18	0.003979	0.001486	0.012852	0.001337	0.004754	0.002555	0.020028	0.000826	0.000507	0.000194	-10392.996
20	0.004049	0.001512	0.013079	0.001360	0.004819	0.002318	0.017283	0.000841	0.000550	0.000233	-10409.785
22	0.004049	0.001512	0.012193	0.001360	0.004819	0.002867	0.017283	0.000841	0.000489	0.000233	-10405.702
24	0.004049	0.001512	0.012193	0.001360	0.005063	0.003052	0.014887	0.000841	0.000474	0.000233	-10426.899
26	0.003458	0.001301	0.011530	0.001286	0.004788	0.003063	0.013530	0.000796	0.000435	0.000221	-10398.109
28	0.003085	0.001161	0.010286	0.001148	0.004271	0.002732	0.012420	0.000710	0.000388	0.000191	-10399.785
30	0.003063	0.001153	0.010212	0.001139	0.004739	0.002581	0.012330	0.000675	0.000395	0.000190	-10416.609
32	0.003417	0.001286	0.011393	0.001271	0.005287	0.002735	0.013757	0.000753	0.000453	0.000212	-10412.814
34	0.003417	0.001286	0.011393	0.001271	0.005287	0.002948	0.013757	0.000753	0.000436	0.000212	-10413.592
36	0.003417	0.001286	0.011393	0.001271	0.005287	0.002948	0.012938	0.000753	0.000436	0.000212	-10432.284
38	0.003417	0.001286	0.011393	0.001271	0.005287	0.002500	0.013937	0.000753	0.000476	0.000212	-10400.043
