Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
2	0.005270	0.016921	0.001064	0.006144	0.001899	0.001085	0.000630	-10424.527
4	0.005270	0.016921	0.001064	0.006144	0.002017	0.001085	0.000593	-10445.184
6	0.005270	0.016921	0.001064	0.005552	0.002017	0.001138	0.000593	-10423.214
8	0.005270	0.016496	0.001064	0.005552	0.002017	0.001138	0.000593	-10437.630
10	0.004852	0.014325	0.001154	0.005622	0.001751	0.000943	0.000515	-10430.109
12	0.004852	0.014325	0.001154	0.005622	0.001751	0.000943	0.000515	-10426.626
14	0.004852	0.014325	0.001154	0.006061	0.001704	0.000943	0.000529	-10421.325
16	0.005334	0.015749	0.001269	0.006558	0.001874	0.001044	0.000582	-10422.492
18	0.005334	0.015303	0.001269	0.006109	0.001874	0.001044	0.000582	-10452.469
20	0.004798	0.014026	0.001141	0.004757	0.001685	0.001003	0.000523	-10419.049
22	0.004340	0.012689	0.001032	0.004304	0.001831	0.000908	0.000474	-10431.386
24	0.004315	0.012615	0.001026	0.004279	0.001642	0.000902	0.000471	-10435.267
26	0.004315	0.013097	0.001026	0.003775	0.001642	0.000960	0.000471	-10451.106
28	0.004315	0.013097	0.001026	0.004247	0.001776	0.000905	0.000435	-10436.228
30	0.004857	0.014743	0.001155	0.004860	0.001913	0.000983	0.000512	-10452.355
32	0.004857	0.014743	0.001399	0.004648	0.001913	0.001005	0.000512	-10427.492
34	0.004813	0.013970	0.001386	0.004605	0.002327	0.000996	0.000475	-10459.451
36	0.005216	0.015141	0.001502	0.005583	0.002522	0.001019	0.000515	-10447.389
38	0.005216	0.015540	0.001502	0.005227	0.002522	0.001054	0.000515	-10444.794
40	0.005216	0.015829	0.001502	0.004687	0.002522	0.001054	0.000515	-10406.090
42	0.005216	0.015829	0.001502	0.004687	0.002522	0.001054	0.000515	-10417.061
44	0.005216	0.015829	0.001502	0.004687	0.002138	0.001054	0.000515	-10433.754
46	0.004676	0.015153	0.001438	0.004523	0.002047	0.000966	0.000493	-10445.789
48	0.005426	0.017581	0.001668	0.004885	0.002374	0.001142	0.000572	-10438.478
50	0.005426	0.017581	0.001668	0.004514	0.002648	0.001142	0.000572	-10464.579
52	0.005426	0.016956	0.001668	0.004793	0.002971	0.001128	0.000510	-10439.292
54	0.006362	0.019883	0.001956	0.005478	0.002999	0.001343	0.000695	-10432.374
56	0.005232	0.016350	0.001925	0.004928	0.002466	0.001059	0.000571	-10438.463
58	0.005989	0.019786	0.002289	0.005773	0.003233	0.001268	0.000616	-10425.971
60	0.005989	0.019786	0.002289	0.005606	0.003233	0.001288	0.000616	-10421.481
62	0.006405	0.022414	0.002593	0.005824	0.004117	0.001531	0.000698	-10412.653
64	0.006405	0.022414	0.002593	0.006264	0.004117	0.001531	0.000698	-10419.386
66	0.007316	0.024380	0.002820	0.007304	0.004361	0.001603	0.000779	-10415.037
68	0.007316	0.024380	0.003154	0.006829	0.003980	0.001603	0.000854	-10406.844
70	0.008517	0.028382	0.003672	0.008525	0.004197	0.001808	0.000995	-10415.454
72	0.007693	0.024675	0.003192	0.006900	0.003471	0.001626	0.000910	-10413.822
74	0.008008	0.025687	0.003046	0.006851	0.003355	0.001693	0.001020	-10429.380
76	0.008008	0.025687	0.002850	0.007100	0.003520	0.001668	0.000972	-10422.183
78	0.007253	0.023264	0.002581	0.006738	0.002768	0.001460	0.000880	-10423.459
80	0.007253	0.022966	0.002861	0.006610	0.002618	0.001471	0.000931	-10418.662
82	0.006573	0.020466	0.002593	0.006331	0.002372	0.001333	0.000843	-10456.236
84	0.006225	0.020880	0.002593	0.005942	0.002412	0.001366	0.000830	-10456.912
86	0.006225	0.020880	0.002338	0.006271	0.002575	0.001338	0.000777	-10474.205
88	0.006044	0.020272	0.002270	0.005652	0.002500	0.001341	0.000754	-10441.708
90	0.006044	0.020113	0.002270	0.006501	0.002592	0.001302	0.000728	-10419.708
92	0.004978	0.016928	0.001911	0.005128	0.002001	0.001128	0.000613	-10452.457
94	0.004978	0.017220	0.001911	0.005446	0.001785	0.001128	0.000687	-10441.349
96	0.004978	0.017220	0.001911	0.005470	0.001805	0.001090	0.000679	-10447.841
98	0.004978	0.017220	0.001911	0.005470	0.002060	0.001090	0.000595	-10427.620
100	0.004978	0.017220	0.001911	0.005780	0.002060	0.001090	0.000595	-10436.279
102	0.004978	0.017220	0.001911	0.006323	0.002216	0.001090	0.000553	-10435.864
