Original_Pop	Sample	Assigned_Pop	Posterior_membership_probability
japonicus	ZJlo050	everetti	1.4262921385109e-56
japonicus	ZJlo050	japonicus	0.846743807133823
japonicus	ZJlo050	japonicus_alani	0.153256192590937
japonicus	ZJlo050	meyeni	2.24393017466111e-10
japonicus	ZJlo050	montanus_NORTH	5.08472963465416e-11
japonicus	ZJlo050	montanus_PALAWAN	4.17239040020678e-18
japonicus	ZJlo050	montanus_SOUTH	2.7610620468555e-27
japonicus	ZJlo050	nigrorum	3.84022926998096e-47
japonicus	ZJlo050	palpebrosus	0
japonicus	ZJlo050	simplex	4.31254013265304e-52
japonicus	ZJlo052	erythropleurus	1.50542714797834e-213
japonicus	ZJlo052	everetti	1.09153276140598e-56
japonicus	ZJlo052	japonicus	0.848015537365651
japonicus	ZJlo052	japonicus_alani	0.151984462358307
japonicus	ZJlo052	meyeni	2.2781419796403e-10
japonicus	ZJlo052	montanus_NORTH	4.8226803007179e-11
japonicus	ZJlo052	montanus_PALAWAN	4.03326100056125e-18
japonicus	ZJlo052	montanus_SOUTH	2.82538732306352e-27
japonicus	ZJlo052	nigrorum	3.13500009253148e-47
japonicus	ZJlo052	palpebrosus	0
japonicus	ZJlo052	simplex	2.24057548154062e-52
japonicus	ZJlo055	erythropleurus	2.0297778630034e-217
japonicus	ZJlo055	everetti	5.46696815898515e-59
japonicus	ZJlo055	japonicus	0.85251645700092
japonicus	ZJlo055	japonicus_alani	0.147483542981182
japonicus	ZJlo055	meyeni	1.45228870731291e-11
japonicus	ZJlo055	montanus_NORTH	3.3754549178409e-12
japonicus	ZJlo055	montanus_PALAWAN	1.22640953868798e-19
japonicus	ZJlo055	montanus_SOUTH	2.84030672081272e-29
japonicus	ZJlo055	nigrorum	1.47362422683295e-49
japonicus	ZJlo055	palpebrosus	0
japonicus	ZJlo055	simplex	5.82844937147103e-53
japonicus	ZJja001	erythropleurus	1.08829290533165e-198
japonicus	ZJja001	everetti	1.95162234010787e-55
japonicus	ZJja001	japonicus	0.793300028016196
japonicus	ZJja001	japonicus_alani	0.206699969001047
japonicus	ZJja001	meyeni	1.20687478303487e-09
japonicus	ZJja001	montanus_NORTH	1.77588210240739e-09
japonicus	ZJja001	montanus_PALAWAN	2.08568612322991e-16
japonicus	ZJja001	montanus_SOUTH	5.39998434174464e-26
japonicus	ZJja001	nigrorum	6.7860495953618e-46
japonicus	ZJja001	palpebrosus	0
japonicus	ZJja001	simplex	7.05820556476906e-45
japonicus	ZJja002	erythropleurus	8.07931102279528e-222
japonicus	ZJja002	everetti	1.13260171934839e-59
japonicus	ZJja002	japonicus	0.863595843410367
japonicus	ZJja002	japonicus_alani	0.136404156585384
japonicus	ZJja002	meyeni	3.64851042697723e-12
japonicus	ZJja002	montanus_NORTH	6.01006633205471e-13
japonicus	ZJja002	montanus_PALAWAN	1.4755943175194e-20
japonicus	ZJja002	montanus_SOUTH	2.75645854050459e-30
japonicus	ZJja002	nigrorum	2.30453398291073e-50
japonicus	ZJja002	palpebrosus	0
japonicus	ZJja002	simplex	1.06518451339649e-54
japonicus	ZJja003	erythropleurus	7.77083061524021e-217
japonicus	ZJja003	everetti	1.73437278513479e-57
japonicus	ZJja003	japonicus	0.855632751276148
japonicus	ZJja003	japonicus_alani	0.144367248639843
japonicus	ZJja003	meyeni	7.15474636321155e-11
japonicus	ZJja003	montanus_NORTH	1.24615173033259e-11
japonicus	ZJja003	montanus_PALAWAN	7.26706750686655e-19
japonicus	ZJja003	montanus_SOUTH	3.93312151754702e-28
japonicus	ZJja003	nigrorum	4.36421255385843e-48
japonicus	ZJja003	palpebrosus	0
japonicus	ZJja003	simplex	3.10554894793844e-53
japonicus	ZJja004	erythropleurus	4.46912981725511e-200
japonicus	ZJja004	everetti	8.45715890787429e-56
japonicus	ZJja004	japonicus	0.794708064477936
japonicus	ZJja004	japonicus_alani	0.20529193401446
japonicus	ZJja004	meyeni	5.67672571397957e-10
japonicus	ZJja004	montanus_NORTH	9.39931401679158e-10
japonicus	ZJja004	montanus_PALAWAN	7.614693943497e-17
japonicus	ZJja004	montanus_SOUTH	1.40484036023596e-26
japonicus	ZJja004	nigrorum	2.39527290421176e-46
japonicus	ZJja004	palpebrosus	0
japonicus	ZJja004	simplex	1.42468335364913e-43
japonicus	ZJja005	erythropleurus	6.55427398615296e-217
japonicus	ZJja005	everetti	9.85986718465775e-59
japonicus	ZJja005	japonicus	0.85140535261657
japonicus	ZJja005	japonicus_alani	0.14859464736372
japonicus	ZJja005	meyeni	1.58653323316751e-11
japonicus	ZJja005	montanus_NORTH	3.84468164235482e-12
japonicus	ZJja005	montanus_PALAWAN	1.4477918793334e-19
japonicus	ZJja005	montanus_SOUTH	3.3512229180594e-29
japonicus	ZJja005	nigrorum	2.45424829951775e-49
japonicus	ZJja005	palpebrosus	0
japonicus	ZJja005	simplex	6.12237722999273e-53
japonicus	ZJja009	erythropleurus	1.53031936992508e-216
japonicus	ZJja009	everetti	4.66809989111601e-58
japonicus	ZJja009	japonicus	0.853430157397816
japonicus	ZJja009	japonicus_alani	0.146569842549702
japonicus	ZJja009	meyeni	4.38987897245269e-11
japonicus	ZJja009	montanus_NORTH	8.58336007826981e-12
japonicus	ZJja009	montanus_PALAWAN	4.5202761344634e-19
japonicus	ZJja009	montanus_SOUTH	1.81725775925433e-28
japonicus	ZJja009	nigrorum	1.2935465921417e-48
japonicus	ZJja009	palpebrosus	0
japonicus	ZJja009	simplex	1.98040491470877e-53
japonicus	ZJja010	erythropleurus	3.78787555512261e-208
japonicus	ZJja010	everetti	1.64715048647166e-55
japonicus	ZJja010	japonicus	0.832178386928625
japonicus	ZJja010	japonicus_alani	0.167821611844266
japonicus	ZJja010	meyeni	8.99438400932059e-10
japonicus	ZJja010	montanus_NORTH	3.27671471627714e-10
japonicus	ZJja010	montanus_PALAWAN	3.82266799415118e-17
japonicus	ZJja010	montanus_SOUTH	2.87178995804674e-26
japonicus	ZJja010	nigrorum	4.85350902789351e-46
japonicus	ZJja010	palpebrosus	0
japonicus	ZJja010	simplex	1.0804296884722e-49
japonicus	ZJja012	erythropleurus	1.70528146984674e-216
japonicus	ZJja012	everetti	2.74508763839591e-58
japonicus	ZJja012	japonicus	0.85200650143752
japonicus	ZJja012	japonicus_alani	0.147993498518003
japonicus	ZJja012	meyeni	3.65394584781826e-11
japonicus	ZJja012	montanus_NORTH	7.93664321006818e-12
japonicus	ZJja012	montanus_PALAWAN	3.74880978317712e-19
japonicus	ZJja012	montanus_SOUTH	1.30145032489986e-28
japonicus	ZJja012	nigrorum	7.74097365676054e-49
japonicus	ZJja012	palpebrosus	0
japonicus	ZJja012	simplex	1.0646384889275e-52
japonicus	ZJja013	erythropleurus	1.42473046892418e-217
japonicus	ZJja013	everetti	2.75288077836728e-57
japonicus	ZJja013	japonicus	0.859235307095618
japonicus	ZJja013	japonicus_alani	0.140764692773105
japonicus	ZJja013	meyeni	1.15129232559911e-10
japonicus	ZJja013	montanus_NORTH	1.614716234669e-11
japonicus	ZJja013	montanus_PALAWAN	1.08530265726535e-18
japonicus	ZJja013	montanus_SOUTH	8.4081199980676e-28
japonicus	ZJja013	nigrorum	7.58465860749417e-48
japonicus	ZJja013	palpebrosus	0
japonicus	ZJja013	simplex	1.24434235082826e-53
japonicus	ZJja014	erythropleurus	7.69162896941057e-217
japonicus	ZJja014	everetti	6.16572346949491e-58
japonicus	ZJja014	japonicus	0.854237184147054
japonicus	ZJja014	japonicus_alani	0.14576281578891
japonicus	ZJja014	meyeni	5.3751311112006e-11
japonicus	ZJja014	montanus_NORTH	1.02842996475413e-11
japonicus	ZJja014	montanus_PALAWAN	5.3723526344002e-19
japonicus	ZJja014	montanus_SOUTH	2.41308599117294e-28
japonicus	ZJja014	nigrorum	1.70175296227752e-48
japonicus	ZJja014	palpebrosus	0
japonicus	ZJja014	simplex	8.44072999431881e-53
japonicus	ZJja016	erythropleurus	1.80859004581037e-211
japonicus	ZJja016	everetti	4.988724346701e-56
japonicus	ZJja016	japonicus	0.844907895789742
japonicus	ZJja016	japonicus_alani	0.155092103201565
japonicus	ZJja016	meyeni	8.39199227479726e-10
japonicus	ZJja016	montanus_NORTH	1.69493188884846e-10
japonicus	ZJja016	montanus_PALAWAN	2.19874377315062e-17
japonicus	ZJja016	montanus_SOUTH	2.55069816068677e-26
japonicus	ZJja016	nigrorum	1.85838633112737e-46
japonicus	ZJja016	palpebrosus	0
japonicus	ZJja016	simplex	2.13665482401593e-52
japonicus	ZJja030	erythropleurus	7.17426527000039e-221
japonicus	ZJja030	everetti	3.6165175009598e-60
japonicus	ZJja030	japonicus	0.858322604921734
japonicus	ZJja030	japonicus_alani	0.141677395075654
japonicus	ZJja030	meyeni	2.12856615997617e-12
japonicus	ZJja030	montanus_NORTH	4.83126023753145e-13
japonicus	ZJja030	montanus_PALAWAN	9.55950642166345e-21
japonicus	ZJja030	montanus_SOUTH	1.12351801812409e-30
japonicus	ZJja030	nigrorum	7.43260613541276e-51
japonicus	ZJja030	palpebrosus	0
japonicus	ZJja030	simplex	1.73737177199865e-53
japonicus_alani	ZJal003	erythropleurus	6.28407488600377e-215
japonicus_alani	ZJal003	everetti	1.81557750085006e-57
japonicus_alani	ZJal003	japonicus	0.85022822050132
japonicus_alani	ZJal003	japonicus_alani	0.149771779332869
japonicus_alani	ZJal003	meyeni	1.3768686324828e-10
japonicus_alani	ZJal003	montanus_NORTH	2.81238923470463e-11
japonicus_alani	ZJal003	montanus_PALAWAN	1.93944555299778e-18
japonicus_alani	ZJal003	montanus_SOUTH	1.16263240803531e-27
japonicus_alani	ZJal003	nigrorum	6.00751358698705e-48
japonicus_alani	ZJal003	palpebrosus	0
japonicus_alani	ZJal003	simplex	3.45407202222412e-52
japonicus_alani	Zjal004	erythropleurus	7.13999298408605e-214
japonicus_alani	Zjal004	everetti	9.9433341946725e-58
japonicus_alani	Zjal004	japonicus	0.845646571534241
japonicus_alani	Zjal004	japonicus_alani	0.154353428343431
japonicus_alani	Zjal004	meyeni	9.74556172451338e-11
japonicus_alani	Zjal004	montanus_NORTH	2.48718872941428e-11
japonicus_alani	Zjal004	montanus_PALAWAN	1.56580743935065e-18
japonicus_alani	Zjal004	montanus_SOUTH	6.79897359383213e-28
japonicus_alani	Zjal004	nigrorum	3.29459759457541e-48
japonicus_alani	Zjal004	palpebrosus	0
japonicus_alani	Zjal004	simplex	8.54732648837616e-52
japonicus_alani	ZJal005	erythropleurus	1.41172949198039e-215
japonicus_alani	ZJal005	everetti	1.5101965424937e-58
japonicus_alani	ZJal005	japonicus	0.84811320100564
japonicus_alani	ZJal005	japonicus_alani	0.15188679895897
japonicus_alani	ZJal005	meyeni	2.80595861746029e-11
japonicus_alani	ZJal005	montanus_NORTH	7.33124957581316e-12
japonicus_alani	ZJal005	montanus_PALAWAN	3.23794426898536e-19
japonicus_alani	ZJal005	montanus_SOUTH	8.65816539279255e-29
japonicus_alani	ZJal005	nigrorum	4.39950615129658e-49
japonicus_alani	ZJal005	palpebrosus	0
japonicus_alani	ZJal005	simplex	2.2954392476451e-52
japonicus_alani	ZJal010	erythropleurus	3.37703147027603e-211
japonicus_alani	ZJal010	everetti	4.06315500771507e-57
japonicus_alani	ZJal010	japonicus	0.837421616322114
japonicus_alani	ZJal010	japonicus_alani	0.162578383494096
japonicus_alani	ZJal010	meyeni	1.35869676529593e-10
japonicus_alani	ZJal010	montanus_NORTH	4.79208653630028e-11
japonicus_alani	ZJal010	montanus_PALAWAN	3.28065627917028e-18
japonicus_alani	ZJal010	montanus_SOUTH	1.23813047554993e-27
japonicus_alani	ZJal010	nigrorum	1.17402963371463e-47
japonicus_alani	ZJal010	palpebrosus	0
japonicus_alani	ZJal010	simplex	1.03723171047983e-50
japonicus_alani	ZJal011	erythropleurus	2.99009485024429e-201
japonicus_alani	ZJal011	everetti	7.01433169976819e-55
japonicus_alani	ZJal011	japonicus	0.808500724400769
japonicus_alani	ZJal011	japonicus_alani	0.19149926932908
japonicus_alani	ZJal011	meyeni	3.56557767717428e-09
japonicus_alani	ZJal011	montanus_NORTH	2.70457299772836e-09
japonicus_alani	ZJal011	montanus_PALAWAN	4.56077709985892e-16
japonicus_alani	ZJal011	montanus_SOUTH	3.05996645667112e-25
japonicus_alani	ZJal011	nigrorum	2.86690284178583e-45
japonicus_alani	ZJal011	palpebrosus	0
japonicus_alani	ZJal011	simplex	1.22858892187456e-46
japonicus_alani	ZJal012	erythropleurus	1.32456448370725e-215
japonicus_alani	ZJal012	everetti	1.01822693609926e-58
japonicus_alani	ZJal012	japonicus	0.84826827118049
japonicus_alani	ZJal012	japonicus_alani	0.151731728793012
japonicus_alani	ZJal012	meyeni	2.10742516962309e-11
japonicus_alani	ZJal012	montanus_NORTH	5.4238630815178e-12
japonicus_alani	ZJal012	montanus_PALAWAN	2.37544788253322e-19
japonicus_alani	ZJal012	montanus_SOUTH	5.67632628921112e-29
japonicus_alani	ZJal012	nigrorum	2.94642559056948e-49
japonicus_alani	ZJal012	palpebrosus	0
japonicus_alani	ZJal012	simplex	3.30156868409519e-53
japonicus_alani	ZJal020	erythropleurus	7.72442414264985e-212
japonicus_alani	ZJal020	everetti	6.79880982157395e-58
japonicus_alani	ZJal020	japonicus	0.838697715068185
japonicus_alani	ZJal020	japonicus_alani	0.161302284789948
japonicus_alani	ZJal020	meyeni	1.06899850928014e-10
japonicus_alani	ZJal020	montanus_NORTH	3.49670499305128e-11
japonicus_alani	ZJal020	montanus_PALAWAN	2.33189836056736e-18
japonicus_alani	ZJal020	montanus_SOUTH	8.35879254147038e-28
japonicus_alani	ZJal020	nigrorum	2.62763624939945e-48
japonicus_alani	ZJal020	palpebrosus	0
japonicus_alani	ZJal020	simplex	2.84430694107298e-51
japonicus	ZJst007	erythropleurus	2.80954319615827e-223
japonicus	ZJst007	everetti	5.47678493368256e-61
japonicus	ZJst007	japonicus	0.862707432405894
japonicus	ZJst007	japonicus_alani	0.137292567593393
japonicus	ZJst007	meyeni	5.87138993549523e-13
japonicus	ZJst007	montanus_NORTH	1.25305854724475e-13
japonicus	ZJst007	montanus_PALAWAN	1.70388629913378e-21
japonicus	ZJst007	montanus_SOUTH	1.30937860971005e-31
japonicus	ZJst007	nigrorum	9.6218952272769e-52
japonicus	ZJst007	palpebrosus	0
japonicus	ZJst007	simplex	3.002928087857e-54
japonicus	ZJst009	erythropleurus	2.69973496130285e-222
japonicus	ZJst009	everetti	2.78148434513872e-61
japonicus	ZJst009	japonicus	0.858715660599788
japonicus	ZJst009	japonicus_alani	0.141284339399604
japonicus	ZJst009	meyeni	4.82652307140439e-13
japonicus	ZJst009	montanus_NORTH	1.25709866727803e-13
japonicus	ZJst009	montanus_PALAWAN	1.59920657561146e-21
japonicus	ZJst009	montanus_SOUTH	9.61585677734239e-32
japonicus	ZJst009	nigrorum	5.24755812241819e-52
japonicus	ZJst009	palpebrosus	0
japonicus	ZJst009	simplex	1.18068778446301e-53
japonicus	ZJst010	erythropleurus	9.34765359515903e-222
japonicus	ZJst010	everetti	4.00068341842813e-60
japonicus	ZJst010	japonicus	0.8613267193106
japonicus	ZJst010	japonicus_alani	0.13867328068706
japonicus	ZJst010	meyeni	1.9523872454218e-12
japonicus	ZJst010	montanus_NORTH	3.8766317792158e-13
japonicus	ZJst010	montanus_PALAWAN	7.6516896007075e-21
japonicus	ZJst010	montanus_SOUTH	9.7347650370788e-31
japonicus	ZJst010	nigrorum	7.75166367188708e-51
japonicus	ZJst010	palpebrosus	0
japonicus	ZJst010	simplex	3.97819766085034e-54
japonicus	ZJst012	erythropleurus	3.38975628387325e-222
japonicus	ZJst012	everetti	1.23842759702339e-60
japonicus	ZJst012	japonicus	0.860929400487351
japonicus	ZJst012	japonicus_alani	0.139070599511187
japonicus	ZJst012	meyeni	1.20388244305886e-12
japonicus	ZJst012	montanus_NORTH	2.57813933919101e-13
japonicus	ZJst012	montanus_PALAWAN	4.29629567302754e-21
japonicus	ZJst012	montanus_SOUTH	4.29158059226073e-31
japonicus	ZJst012	nigrorum	2.48452596944424e-51
japonicus	ZJst012	palpebrosus	0
japonicus	ZJst012	simplex	7.78578133514389e-54
japonicus	ZJst014	erythropleurus	1.05943889457474e-219
japonicus	ZJst014	everetti	1.6242649152255e-59
