Original_Pop	Sample	Assigned_Pop	Posterior_membership_probability
japonicus	ZJlo012	erythropleurus	2.51209117512677e-224
japonicus	ZJlo012	everetti	0
japonicus	ZJlo012	japonicus	0.894870468339612
japonicus	ZJlo012	japonicus_alani	0.105129531660388
japonicus	ZJlo012	meyeni	1.96576622932531e-126
japonicus	ZJlo012	montanus_NORTH	1.45630625665105e-68
japonicus	ZJlo012	montanus_PALAWAN	4.95795129833455e-105
japonicus	ZJlo012	montanus_SOUTH	1.56974232901519e-102
japonicus	ZJlo012	nigrorum	1.23734934831378e-127
japonicus	ZJlo012	palpebrosus	0
japonicus	ZJlo012	simplex	1.6891730976242e-78
japonicus	ZJlo015	erythropleurus	6.29668938748153e-223
japonicus	ZJlo015	everetti	0
japonicus	ZJlo015	japonicus	0.882016856862347
japonicus	ZJlo015	japonicus_alani	0.117983143137653
japonicus	ZJlo015	meyeni	4.51161377653043e-125
japonicus	ZJlo015	montanus_NORTH	2.04163119471529e-68
japonicus	ZJlo015	montanus_PALAWAN	6.45565623406123e-105
japonicus	ZJlo015	montanus_SOUTH	6.91157013014035e-105
japonicus	ZJlo015	nigrorum	8.53312646503205e-130
japonicus	ZJlo015	palpebrosus	0
japonicus	ZJlo015	simplex	2.58125387573339e-78
japonicus	ZJlo016	erythropleurus	4.57206123441074e-219
japonicus	ZJlo016	everetti	0
japonicus	ZJlo016	japonicus	0.828708340452509
japonicus	ZJlo016	japonicus_alani	0.171291659547491
japonicus	ZJlo016	meyeni	1.44635297864445e-118
japonicus	ZJlo016	montanus_NORTH	3.91668579466567e-62
japonicus	ZJlo016	montanus_PALAWAN	7.49010882421934e-97
japonicus	ZJlo016	montanus_SOUTH	2.19805066351579e-95
japonicus	ZJlo016	nigrorum	6.84093427735547e-120
japonicus	ZJlo016	palpebrosus	0
japonicus	ZJlo016	simplex	1.58735075541838e-74
japonicus	ZJlo017	erythropleurus	2.23264380814585e-219
japonicus	ZJlo017	everetti	0
japonicus	ZJlo017	japonicus	0.822528596708264
japonicus	ZJlo017	japonicus_alani	0.177471403291736
japonicus	ZJlo017	meyeni	1.95836030824254e-121
japonicus	ZJlo017	montanus_NORTH	5.44785115896329e-64
japonicus	ZJlo017	montanus_PALAWAN	6.01947540503225e-99
japonicus	ZJlo017	montanus_SOUTH	8.94649261596482e-97
japonicus	ZJlo017	nigrorum	1.08394459383911e-121
japonicus	ZJlo017	palpebrosus	0
japonicus	ZJlo017	simplex	1.68399642434712e-75
japonicus	ZJlo021	erythropleurus	1.10723934778739e-221
japonicus	ZJlo021	everetti	0
japonicus	ZJlo021	japonicus	0.890086961136005
japonicus	ZJlo021	japonicus_alani	0.109913038863995
japonicus	ZJlo021	meyeni	2.60926444569944e-126
japonicus	ZJlo021	montanus_NORTH	2.44133731374828e-68
japonicus	ZJlo021	montanus_PALAWAN	7.8304125214864e-105
japonicus	ZJlo021	montanus_SOUTH	1.64382138934297e-102
japonicus	ZJlo021	nigrorum	7.27880589338937e-128
japonicus	ZJlo021	palpebrosus	0
japonicus	ZJlo021	simplex	1.91926354622528e-77
japonicus	ZJlo022	erythropleurus	6.04520026319248e-221
japonicus	ZJlo022	everetti	0
japonicus	ZJlo022	japonicus	0.886466280976642
japonicus	ZJlo022	japonicus_alani	0.113533719023358
japonicus	ZJlo022	meyeni	6.34291995610809e-125
japonicus	ZJlo022	montanus_NORTH	2.84928130912415e-67
japonicus	ZJlo022	montanus_PALAWAN	1.56840572051637e-103
japonicus	ZJlo022	montanus_SOUTH	2.16380341076418e-101
japonicus	ZJlo022	nigrorum	1.69167169976042e-126
japonicus	ZJlo022	palpebrosus	0
japonicus	ZJlo022	simplex	9.45305313232417e-77
japonicus	ZJlo024	erythropleurus	1.21496015151415e-219
japonicus	ZJlo024	everetti	0
japonicus	ZJlo024	japonicus	0.848653691680355
japonicus	ZJlo024	japonicus_alani	0.151346308319645
japonicus	ZJlo024	meyeni	4.55679666325043e-121
japonicus	ZJlo024	montanus_NORTH	8.34198489408481e-64
japonicus	ZJlo024	montanus_PALAWAN	4.16093732768002e-99
japonicus	ZJlo024	montanus_SOUTH	5.25596149078263e-97
japonicus	ZJlo024	nigrorum	5.63478485100151e-122
japonicus	ZJlo024	palpebrosus	0
japonicus	ZJlo024	simplex	8.90531817799323e-74
japonicus	ZJlo031	erythropleurus	1.1723896661695e-222
japonicus	ZJlo031	everetti	0
japonicus	ZJlo031	japonicus	0.893141767129608
japonicus	ZJlo031	japonicus_alani	0.106858232870392
japonicus	ZJlo031	meyeni	2.02872476360034e-132
japonicus	ZJlo031	montanus_NORTH	6.92288711289192e-72
japonicus	ZJlo031	montanus_PALAWAN	1.30245677800081e-108
japonicus	ZJlo031	montanus_SOUTH	6.97321224091696e-103
japonicus	ZJlo031	nigrorum	4.88465775247681e-129
japonicus	ZJlo031	palpebrosus	0
japonicus	ZJlo031	simplex	3.0254166405612e-80
japonicus	ZJlo045	erythropleurus	2.97985742984269e-216
japonicus	ZJlo045	everetti	0
japonicus	ZJlo045	japonicus	0.816916038340956
japonicus	ZJlo045	japonicus_alani	0.183083961659044
japonicus	ZJlo045	meyeni	1.5119004140198e-119
japonicus	ZJlo045	montanus_NORTH	1.75534963353407e-62
japonicus	ZJlo045	montanus_PALAWAN	1.44300742432807e-97
japonicus	ZJlo045	montanus_SOUTH	1.6960932196639e-96
japonicus	ZJlo045	nigrorum	5.90631437121749e-121
japonicus	ZJlo045	palpebrosus	0
japonicus	ZJlo045	simplex	2.18255997906805e-71
japonicus	ZJlo046	erythropleurus	1.01349352215506e-220
japonicus	ZJlo046	everetti	0
japonicus	ZJlo046	japonicus	0.870774656587723
japonicus	ZJlo046	japonicus_alani	0.129225343412277
japonicus	ZJlo046	meyeni	5.06246216280007e-124
japonicus	ZJlo046	montanus_NORTH	1.82834935261558e-66
japonicus	ZJlo046	montanus_PALAWAN	2.2833190230994e-102
japonicus	ZJlo046	montanus_SOUTH	2.61522854323391e-100
japonicus	ZJlo046	nigrorum	2.39252226870116e-125
japonicus	ZJlo046	palpebrosus	0
japonicus	ZJlo046	simplex	1.21549651272583e-76
japonicus	ZJlo050	erythropleurus	1.74749910968738e-218
japonicus	ZJlo050	everetti	0
japonicus	ZJlo050	japonicus	0.83628975938082
japonicus	ZJlo050	japonicus_alani	0.16371024061918
japonicus	ZJlo050	meyeni	2.6030542925442e-117
japonicus	ZJlo050	montanus_NORTH	6.07443259233548e-62
japonicus	ZJlo050	montanus_PALAWAN	5.23372986500652e-97
japonicus	ZJlo050	montanus_SOUTH	1.22319201792571e-97
japonicus	ZJlo050	nigrorum	1.24921802319127e-121
japonicus	ZJlo050	palpebrosus	0
japonicus	ZJlo050	simplex	1.24582934847524e-73
japonicus	ZJlo052	erythropleurus	7.15716574144118e-220
japonicus	ZJlo052	everetti	0
japonicus	ZJlo052	japonicus	0.826441453781897
japonicus	ZJlo052	japonicus_alani	0.173558546218103
japonicus	ZJlo052	meyeni	2.10148593943413e-121
japonicus	ZJlo052	montanus_NORTH	1.47032476931242e-64
japonicus	ZJlo052	montanus_PALAWAN	8.62702849297358e-100
japonicus	ZJlo052	montanus_SOUTH	6.11300926011566e-99
japonicus	ZJlo052	nigrorum	1.58508985817466e-123
japonicus	ZJlo052	palpebrosus	0
japonicus	ZJlo052	simplex	1.37853548201608e-75
japonicus	ZJlo055	erythropleurus	6.16130011028326e-224
japonicus	ZJlo055	everetti	0
japonicus	ZJlo055	japonicus	0.846087906151629
japonicus	ZJlo055	japonicus_alani	0.153912093848371
japonicus	ZJlo055	meyeni	2.80854679749158e-125
japonicus	ZJlo055	montanus_NORTH	8.06222037578171e-68
japonicus	ZJlo055	montanus_PALAWAN	7.86254830490855e-104
japonicus	ZJlo055	montanus_SOUTH	5.13594508910219e-103
japonicus	ZJlo055	nigrorum	3.43974958327993e-128
japonicus	ZJlo055	palpebrosus	0
japonicus	ZJlo055	simplex	1.23181283261606e-77
japonicus	ZJja001	erythropleurus	8.05972124125508e-208
japonicus	ZJja001	everetti	0
japonicus	ZJja001	japonicus	0.666431544185945
japonicus	ZJja001	japonicus_alani	0.333568455814055
japonicus	ZJja001	meyeni	6.24763647095653e-120
japonicus	ZJja001	montanus_NORTH	1.44556983223893e-58
japonicus	ZJja001	montanus_PALAWAN	5.13791462937316e-92
japonicus	ZJja001	montanus_SOUTH	4.30433138378713e-85
japonicus	ZJja001	nigrorum	1.55134263040357e-110
japonicus	ZJja001	palpebrosus	0
japonicus	ZJja001	simplex	1.68719663788584e-62
japonicus	ZJja002	erythropleurus	8.58484440689367e-230
japonicus	ZJja002	everetti	0
japonicus	ZJja002	japonicus	0.925483520005531
japonicus	ZJja002	japonicus_alani	0.0745164799944688
japonicus	ZJja002	meyeni	1.90647710711008e-138
japonicus	ZJja002	montanus_NORTH	4.18145692719583e-77
japonicus	ZJja002	montanus_PALAWAN	3.39009318967598e-115
japonicus	ZJja002	montanus_SOUTH	2.99884364732753e-109
japonicus	ZJja002	nigrorum	6.94475486300298e-136
japonicus	ZJja002	palpebrosus	0
japonicus	ZJja002	simplex	6.91150853419646e-84
japonicus	ZJja003	erythropleurus	2.28356212270386e-225
japonicus	ZJja003	everetti	0
japonicus	ZJja003	japonicus	0.923898609870488
japonicus	ZJja003	japonicus_alani	0.0761013901295117
japonicus	ZJja003	meyeni	7.57814607663562e-138
japonicus	ZJja003	montanus_NORTH	1.76811606420488e-75
japonicus	ZJja003	montanus_PALAWAN	4.05411615798498e-113
japonicus	ZJja003	montanus_SOUTH	7.56476514000669e-105
japonicus	ZJja003	nigrorum	1.11717543497812e-131
japonicus	ZJja003	palpebrosus	0
japonicus	ZJja003	simplex	1.70508750573558e-81
japonicus	ZJja004	erythropleurus	9.39329835680897e-208
japonicus	ZJja004	everetti	0
japonicus	ZJja004	japonicus	0.614887600747585
japonicus	ZJja004	japonicus_alani	0.385112399252415
japonicus	ZJja004	meyeni	1.13325848563771e-112
japonicus	ZJja004	montanus_NORTH	3.84386495638093e-54
