Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
2	0.018712	0.002918	0.006974	0.001341	-10437.030
4	0.019540	0.003209	0.007668	0.001474	-10429.100
6	0.020394	0.003209	0.007668	0.001474	-10414.866
8	0.023409	0.002831	0.009242	0.001612	-10405.524
10	0.020661	0.002499	0.007825	0.001483	-10406.234
12	0.020661	0.002499	0.007825	0.001483	-10410.256
14	0.020661	0.002499	0.007825	0.001483	-10430.919
16	0.019147	0.002316	0.007251	0.001374	-10418.158
18	0.018618	0.002316	0.007201	0.001384	-10422.380
20	0.018618	0.002316	0.006933	0.001437	-10433.595
22	0.016381	0.002038	0.006101	0.001265	-10418.790
24	0.016381	0.002038	0.006101	0.001265	-10423.255
26	0.016510	0.001987	0.006148	0.001274	-10403.328
28	0.020028	0.002411	0.007459	0.001546	-10416.040
30	0.018159	0.002225	0.007179	0.001356	-10436.634
32	0.014952	0.001928	0.006238	0.001171	-10439.929
34	0.015047	0.001940	0.006277	0.001178	-10412.396
36	0.015047	0.001940	0.006277	0.001178	-10437.180
38	0.014755	0.001902	0.006155	0.001156	-10413.094
40	0.016288	0.002100	0.007128	0.001216	-10436.782
42	0.014238	0.001942	0.005978	0.001108	-10420.866
44	0.014238	0.001942	0.005624	0.001178	-10394.576
46	0.016587	0.002094	0.006063	0.001270	-10421.820
48	0.014920	0.001997	0.005522	0.001268	-10420.828
50	0.015839	0.002120	0.005862	0.001346	-10399.698
52	0.015839	0.002120	0.006139	0.001285	-10394.084
54	0.018511	0.002477	0.007033	0.001532	-10399.032
56	0.018511	0.002477	0.007257	0.001485	-10408.266
58	0.015948	0.002134	0.005778	0.001384	-10398.354
60	0.019616	0.002453	0.006348	0.001664	-10401.549
62	0.018568	0.002257	0.006458	0.001568	-10426.731
64	0.017467	0.002229	0.006712	0.001472	-10428.835
66	0.017350	0.002134	0.005525	0.001409	-10422.822
