Gen	theta_1JpMe	theta_2MoN	theta_3MoS	theta_4Si	theta_5JpMeMoNMoSSi	theta_6JpMeMoNMoS	theta_7JpMeMoN	tau_5JpMeMoNMoSSi	tau_6JpMeMoNMoS	tau_7JpMeMoN	lnL
47066	0.005301	0.002854	0.022635	0.001825	0.008630	0.005401	0.001668	0.001280	0.000803	0.000789	-10418.984
47068	0.005301	0.002367	0.022453	0.001825	0.008630	0.005401	0.001668	0.001280	0.000803	0.000789	-10400.725
47070	0.005301	0.002367	0.022453	0.001825	0.008435	0.005401	0.001668	0.001291	0.000803	0.000789	-10429.094
47072	0.004867	0.002173	0.020616	0.001675	0.007745	0.003983	0.001532	0.001185	0.000737	0.000724	-10420.110
47074	0.005683	0.002537	0.022844	0.002900	0.009043	0.004651	0.001788	0.001384	0.000861	0.000846	-10392.816
47076	0.005683	0.002537	0.023790	0.002900	0.009043	0.004651	0.001788	0.001384	0.000861	0.000846	-10415.013
47078	0.005683	0.002537	0.023790	0.002900	0.009043	0.004651	0.001788	0.001384	0.000861	0.000846	-10423.757
47080	0.005683	0.002537	0.023790	0.002900	0.009043	0.004651	0.001788	0.001384	0.000861	0.000846	-10406.458
47082	0.005683	0.002537	0.023790	0.002900	0.010017	0.004651	0.001788	0.001333	0.000861	0.000846	-10409.267
47084	0.005535	0.002471	0.023173	0.002825	0.009757	0.004530	0.001742	0.001298	0.000839	0.000824	-10404.866
47086	0.005535	0.002471	0.023173	0.002825	0.009757	0.004530	0.002974	0.001298	0.000839	0.000824	-10388.235
47088	0.005535	0.002471	0.023173	0.002476	0.009757	0.004530	0.002758	0.001298	0.000839	0.000824	-10401.544
47090	0.005535	0.002471	0.023173	0.002476	0.009757	0.004530	0.002758	0.001298	0.000839	0.000824	-10393.596
47092	0.005535	0.002471	0.023173	0.002476	0.009542	0.004330	0.001615	0.001309	0.000839	0.000824	-10399.893
47094	0.005535	0.002471	0.023173	0.002476	0.008560	0.004330	0.001615	0.001319	0.000839	0.000824	-10401.713
47096	0.005539	0.002473	0.023191	0.002478	0.008974	0.004333	0.001616	0.001298	0.000839	0.000824	-10402.190
47098	0.005410	0.002415	0.021813	0.002420	0.007349	0.004232	0.001579	0.001354	0.000820	0.000805	-10395.536
47100	0.005410	0.002415	0.021813	0.002420	0.007349	0.004232	0.001579	0.001354	0.000820	0.000805	-10408.238
47102	0.004807	0.002146	0.019383	0.002151	0.006530	0.003760	0.001403	0.001203	0.000728	0.000715	-10408.169
47104	0.004807	0.002146	0.020398	0.002151	0.007648	0.003760	0.001403	0.001203	0.000728	0.000715	-10389.209
47106	0.004807	0.002146	0.020398	0.002151	0.007648	0.003760	0.001403	0.001203	0.000728	0.000715	-10412.333
47108	0.004807	0.003140	0.019347	0.002151	0.007648	0.003760	0.001403	0.001203	0.000728	0.000715	-10386.463
47110	0.005532	0.003614	0.022265	0.002475	0.008802	0.004328	0.001614	0.001384	0.000838	0.000823	-10403.292
47112	0.005532	0.003614	0.022265	0.002475	0.008249	0.004328	0.000926	0.001384	0.000838	0.000823	-10429.047
47114	0.005532	0.003614	0.022265	0.002475	0.008249	0.004328	0.000910	0.001384	0.000838	0.000837	-10432.879
47116	0.005478	0.003579	0.022047	0.002451	0.009133	0.004285	0.000901	0.001314	0.000830	0.000829	-10416.249
47118	0.005478	0.003579	0.022047	0.002451	0.008090	0.004285	0.000901	0.001376	0.000830	0.000829	-10434.499
47120	0.006266	0.004094	0.025220	0.002803	0.009255	0.005298	0.001031	0.001574	0.000949	0.000949	-10429.867
47122	0.006266	0.003660	0.024107	0.002803	0.009255	0.005298	0.001031	0.001574	0.000949	0.000949	-10425.820
47124	0.006266	0.003660	0.024107	0.002803	0.009863	0.005298	0.001031	0.001535	0.000949	0.000949	-10427.070
47126	0.006978	0.004075	0.026844	0.003122	0.009501	0.005900	0.001148	0.001741	0.001057	0.001056	-10385.407
47128	0.006978	0.004075	0.026844	0.003122	0.010272	0.005900	0.001148	0.001748	0.001057	0.001056	-10404.653
47130	0.006033	0.003524	0.023209	0.002699	0.009809	0.005101	0.000993	0.001455	0.000914	0.000913	-10420.550
47132	0.005125	0.002993	0.020359	0.002292	0.008332	0.004333	0.000843	0.001236	0.000776	0.000776	-10429.169
47134	0.005125	0.002993	0.020359	0.002292	0.008332	0.004333	0.000843	0.001236	0.000776	0.000776	-10426.963
47136	0.004247	0.002481	0.016874	0.001710	0.005944	0.003591	0.000699	0.001086	0.000643	0.000643	-10417.031
47138	0.004047	0.002364	0.015718	0.001629	0.005664	0.003422	0.000666	0.001035	0.000613	0.000613	-10399.060
47140	0.004414	0.001970	0.014819	0.001777	0.006489	0.004686	0.000726	0.001106	0.000669	0.000668	-10405.208
47142	0.004063	0.001813	0.013641	0.001635	0.005973	0.003567	0.000668	0.001018	0.000616	0.000615	-10416.609
47144	0.004949	0.002208	0.016615	0.001992	0.007275	0.004345	0.000814	0.001240	0.000750	0.000749	-10408.747
47146	0.004949	0.002208	0.016615	0.001992	0.007275	0.004345	0.000814	0.001240	0.000750	0.000749	-10413.566
47148	0.004949	0.002208	0.016615	0.001992	0.005818	0.004345	0.000814	0.001240	0.000750	0.000749	-10419.330
47150	0.004949	0.002208	0.017308	0.001992	0.005818	0.004345	0.000814	0.001240	0.000750	0.000749	-10410.819
47152	0.004949	0.003571	0.017308	0.001992	0.005818	0.004345	0.000814	0.001240	0.000750	0.000749	-10429.442
47154	0.004949	0.003224	0.017663	0.001992	0.005818	0.004345	0.000814	0.001240	0.000750	0.000749	-10414.723
47156	0.004949	0.003224	0.017663	0.001992	0.005818	0.004345	0.000814	0.001240	0.000750	0.000749	-10425.108
47158	0.005118	0.003335	0.016244	0.002060	0.006017	0.004401	0.000842	0.001283	0.000775	0.000775	-10431.557
47160	0.004739	0.003088	0.015042	0.001908	0.005897	0.004075	0.000780	0.001188	0.000718	0.000717	-10411.339
47162	0.004739	0.003088	0.015042	0.001908	0.005897	0.005429	0.000780	0.001188	0.000718	0.000717	-10419.862
47164	0.004109	0.002678	0.013043	0.001654	0.005113	0.004707	0.000676	0.001030	0.000623	0.000622	-10426.850
47166	0.003612	0.002354	0.012233	0.001454	0.004494	0.004138	0.000594	0.000905	0.000547	0.000547	-10407.863
47168	0.003612	0.002354	0.012233	0.001454	0.005827	0.004138	0.000594	0.000905	0.000547	0.000547	-10401.510
47170	0.003612	0.002354	0.012233	0.001454	0.005827	0.004138	0.000594	0.000905	0.000547	0.000547	-10406.544
47172	0.003612	0.002354	0.012233	0.001454	0.006865	0.004138	0.000594	0.000905	0.000547	0.000547	-10398.722
47174	0.003757	0.003479	0.012725	0.001512	0.007141	0.005099	0.000618	0.000942	0.000569	0.000569	-10408.166
47176	0.003757	0.003479	0.012725	0.001512	0.008234	0.005099	0.000618	0.000942	0.000569	0.000569	-10423.716
47178	0.003757	0.003479	0.012725	0.001512	0.008248	0.005325	0.000618	0.000977	0.000569	0.000569	-10413.240
47180	0.003304	0.003910	0.012034	0.001330	0.007829	0.004683	0.000990	0.000858	0.000501	0.000500	-10400.948
47182	0.003878	0.003830	0.014122	0.001561	0.009055	0.005496	0.001162	0.001007	0.000587	0.000587	-10422.007
47184	0.003878	0.003399	0.013218	0.001561	0.009055	0.005496	0.001162	0.001007	0.000587	0.000587	-10426.017
47186	0.003878	0.003399	0.013218	0.001561	0.007993	0.005496	0.001162	0.001007	0.000587	0.000587	-10419.314
47188	0.003832	0.003359	0.013062	0.001543	0.007107	0.005431	0.001148	0.000995	0.000581	0.000580	-10414.124
47190	0.003733	0.003272	0.012725	0.001503	0.006923	0.005291	0.000572	0.000969	0.000566	0.000565	-10421.963
47192	0.003733	0.003272	0.012725	0.001503	0.006923	0.005291	0.000509	0.000969	0.000566	0.000565	-10412.068
47194	0.003733	0.003272	0.012725	0.001503	0.006923	0.005291	0.000509	0.000969	0.000566	0.000565	-10419.830
47196	0.003733	0.003243	0.012725	0.001974	0.006923	0.005291	0.000509	0.000969	0.000566	0.000565	-10418.077
47198	0.003891	0.003379	0.013261	0.002057	0.006792	0.005514	0.000531	0.001036	0.000589	0.000589	-10406.156
47200	0.003472	0.003016	0.011835	0.001836	0.006062	0.004921	0.000474	0.000925	0.000526	0.000526	-10405.489
47202	0.003208	0.002786	0.010934	0.001696	0.005601	0.004546	0.000932	0.000854	0.000486	0.000486	-10398.229
47204	0.003320	0.002883	0.011315	0.001755	0.007083	0.004705	0.000965	0.000884	0.000503	0.000503	-10390.093
47206	0.003780	0.003283	0.012884	0.001998	0.008065	0.005357	0.000524	0.001007	0.000573	0.000572	-10374.726
47208	0.003632	0.003155	0.013472	0.001920	0.007749	0.004297	0.000503	0.000967	0.000550	0.000550	-10386.434
47210	0.003553	0.002250	0.013176	0.001878	0.007580	0.004203	0.000807	0.000946	0.000538	0.000538	-10383.358
47212	0.003683	0.002332	0.013660	0.001947	0.007858	0.004357	0.000837	0.000981	0.000558	0.000558	-10418.052
47214	0.004011	0.002540	0.014878	0.002121	0.007494	0.005404	0.000912	0.001038	0.000608	0.000607	-10370.311
47216	0.004011	0.002540	0.014878	0.002121	0.007494	0.005404	0.000912	0.001038	0.000608	0.000607	-10396.371
47218	0.004011	0.002540	0.014531	0.002121	0.007494	0.005404	0.000912	0.001038	0.000608	0.000607	-10372.514
47220	0.004011	0.002540	0.014531	0.002121	0.007494	0.005404	0.000389	0.001038	0.000608	0.000607	-10399.660
47222	0.003873	0.002453	0.014031	0.002048	0.007235	0.005994	0.000376	0.001002	0.000587	0.000586	-10394.089
47224	0.004163	0.002636	0.013123	0.002201	0.007776	0.006442	0.000404	0.001077	0.000631	0.000630	-10398.199
47226	0.004163	0.002636	0.013123	0.002201	0.007776	0.006442	0.000404	0.001077	0.000631	0.000630	-10399.664
47228	0.004163	0.002636	0.013123	0.002201	0.007776	0.006442	0.000404	0.001077	0.000631	0.000630	-10383.770
47230	0.004163	0.002636	0.013123	0.002201	0.006741	0.006442	0.000404	0.001077	0.000631	0.000630	-10409.820
47232	0.004163	0.002636	0.013123	0.002201	0.006741	0.006442	0.000404	0.001077	0.000631	0.000630	-10403.614
47234	0.004163	0.002636	0.013123	0.002201	0.006741	0.007367	0.000404	0.001077	0.000631	0.000630	-10399.748
47236	0.003956	0.002505	0.013157	0.002092	0.006407	0.007799	0.000384	0.001024	0.000599	0.000599	-10404.593
47238	0.003956	0.002505	0.013157	0.002092	0.006407	0.007799	0.000374	0.001024	0.000599	0.000599	-10396.256
47240	0.003956	0.002505	0.013982	0.002092	0.006407	0.007799	0.000374	0.001024	0.000599	0.000599	-10396.361
47242	0.003321	0.002103	0.011738	0.001756	0.005378	0.006547	0.001131	0.000860	0.000503	0.000503	-10407.852
47244	0.003321	0.002103	0.011738	0.001756	0.005378	0.006547	0.001131	0.000860	0.000503	0.000503	-10405.921
47246	0.003695	0.002340	0.013059	0.001953	0.006719	0.007283	0.000623	0.000970	0.000560	0.000559	-10392.524
47248	0.003695	0.002340	0.013059	0.001953	0.006719	0.007283	0.000623	0.000970	0.000560	0.000559	-10389.902
47250	0.003695	0.002340	0.013059	0.001953	0.006719	0.007283	0.000565	0.000970	0.000560	0.000559	-10388.013
47252	0.004062	0.002572	0.014355	0.002147	0.007446	0.008007	0.000621	0.001063	0.000615	0.000615	-10388.239
47254	0.003700	0.002343	0.013711	0.001956	0.006782	0.007293	0.000566	0.000968	0.000560	0.000560	-10396.783
47256	0.003700	0.002343	0.013711	0.001956	0.006121	0.007293	0.000566	0.001013	0.000560	0.000560	-10397.134
47258	0.004519	0.002862	0.016749	0.002389	0.008208	0.010307	0.000691	0.001188	0.000685	0.000684	-10390.981
47260	0.003914	0.002478	0.015116	0.001919	0.007108	0.008925	0.000470	0.001028	0.000593	0.000592	-10391.635
47262	0.003914	0.002478	0.015116	0.001919	0.007108	0.008925	0.000470	0.001028	0.000593	0.000592	-10377.988
47264	0.004495	0.002846	0.018624	0.002204	0.008163	0.010141	0.000540	0.001181	0.000681	0.000680	-10378.552
47266	0.004231	0.002679	0.018300	0.002074	0.008274	0.009545	0.000508	0.001078	0.000641	0.000640	-10397.613
