Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
2	0.013633	0.002473	0.005408	0.001463	-10418.043
4	0.013633	0.002473	0.007174	0.001463	-10409.091
6	0.013633	0.002473	0.007290	0.001440	-10418.465
8	0.013287	0.002410	0.007104	0.001403	-10404.255
10	0.013287	0.002410	0.007104	0.001403	-10382.664
12	0.013287	0.002410	0.007336	0.001359	-10391.912
14	0.015257	0.002922	0.009555	0.001534	-10403.594
16	0.015257	0.002922	0.009555	0.001534	-10391.200
18	0.015257	0.002922	0.009555	0.001534	-10403.916
20	0.014630	0.002802	0.009162	0.001471	-10399.381
22	0.014630	0.002802	0.009162	0.001471	-10398.270
24	0.013787	0.002802	0.009270	0.001454	-10401.559
26	0.013787	0.002802	0.009270	0.001454	-10377.362
28	0.013831	0.002571	0.009496	0.001420	-10409.024
30	0.012083	0.002246	0.007927	0.001298	-10419.696
32	0.012957	0.002237	0.007896	0.001293	-10420.953
34	0.011928	0.002138	0.007544	0.001235	-10426.211
36	0.011928	0.002138	0.007544	0.001235	-10414.306
38	0.010320	0.001849	0.006527	0.001069	-10416.731
40	0.011085	0.001987	0.007011	0.001148	-10422.268
42	0.012844	0.002302	0.008124	0.001330	-10418.053
44	0.012844	0.002302	0.008124	0.001330	-10419.135
46	0.012844	0.002302	0.007887	0.001370	-10405.433
48	0.014309	0.002302	0.007071	0.001528	-10410.472
50	0.014309	0.002302	0.007402	0.001460	-10402.525
52	0.016189	0.002604	0.008270	0.001672	-10419.944
54	0.016189	0.002604	0.010328	0.001681	-10394.730
56	0.014760	0.002374	0.009719	0.001484	-10384.860
58	0.014149	0.002276	0.010201	0.001544	-10403.011
60	0.014149	0.002276	0.009879	0.001594	-10400.786
62	0.014149	0.002276	0.009481	0.001503	-10425.916
64	0.012644	0.002034	0.008473	0.001343	-10439.142
66	0.012644	0.002034	0.007873	0.001446	-10453.286
68	0.013947	0.002034	0.009002	0.001446	-10430.156
70	0.015039	0.002193	0.008332	0.001623	-10422.872
72	0.016317	0.002380	0.009040	0.001761	-10418.916
74	0.015127	0.002206	0.008381	0.001633	-10421.702
76	0.015127	0.002206	0.008401	0.001629	-10427.449
78	0.015127	0.002206	0.008401	0.001629	-10438.227
80	0.015127	0.002206	0.008401	0.001629	-10430.319
82	0.013195	0.001924	0.006003	0.001421	-10416.839
84	0.013195	0.001924	0.006003	0.001421	-10426.069
86	0.011934	0.001740	0.005634	0.001238	-10436.830
