Gen	theta_1Jp	theta_2Me	theta_3MoN	theta_4MoS	theta_5Si	theta_6JpMeMoNMoSSi	theta_7JpMeMoNMoS	theta_8JpMeMoN	theta_9JpMe	tau_6JpMeMoNMoSSi	tau_7JpMeMoNMoS	tau_8JpMeMoN	tau_9JpMe	lnL
2	0.002169	0.001138	0.001905	0.011785	0.001960	0.003050	0.001413	0.004335	0.000627	0.000960	0.000665	0.000359	0.000343	-10416.369
4	0.002516	0.001320	0.002210	0.013671	0.002274	0.003344	0.001635	0.004052	0.000712	0.001137	0.000771	0.000422	0.000407	-10447.602
6	0.002516	0.001320	0.002210	0.013671	0.002274	0.003199	0.001818	0.004333	0.000712	0.001154	0.000736	0.000422	0.000407	-10436.708
8	0.002309	0.001211	0.002028	0.012545	0.002087	0.002936	0.001802	0.003977	0.000643	0.001059	0.000654	0.000387	0.000380	-10424.428
10	0.002679	0.001405	0.001859	0.014555	0.002421	0.003512	0.001954	0.005015	0.000746	0.001214	0.000780	0.000449	0.000440	-10398.173
12	0.002483	0.001302	0.001723	0.013490	0.002244	0.003255	0.001909	0.004648	0.000691	0.001125	0.000707	0.000416	0.000408	-10430.201
14	0.002594	0.001360	0.001800	0.014091	0.002344	0.003165	0.001798	0.005236	0.000718	0.001208	0.000772	0.000435	0.000429	-10417.569
16	0.002132	0.001118	0.001479	0.011581	0.001927	0.002786	0.001502	0.004304	0.000590	0.000969	0.000630	0.000357	0.000353	-10405.678
18	0.002525	0.001324	0.001752	0.013719	0.002672	0.003524	0.001982	0.005098	0.000699	0.001164	0.000713	0.000423	0.000418	-10395.062
20	0.002525	0.001324	0.001752	0.013719	0.002672	0.003529	0.002234	0.004594	0.000699	0.001163	0.000681	0.000423	0.000418	-10403.947
22	0.002525	0.001324	0.001752	0.014096	0.002639	0.003358	0.002260	0.005313	0.000699	0.001186	0.000678	0.000423	0.000418	-10407.696
24	0.002525	0.001324	0.001752	0.014096	0.002639	0.003202	0.002097	0.005313	0.000699	0.001211	0.000698	0.000423	0.000418	-10403.171
26	0.002210	0.001531	0.002067	0.012338	0.002310	0.002783	0.002228	0.004651	0.000612	0.001065	0.000568	0.000370	0.000366	-10395.561
28	0.002519	0.001745	0.002355	0.013729	0.002632	0.002902	0.002650	0.005300	0.000697	0.001266	0.000680	0.000422	0.000417	-10396.276
30	0.002337	0.001619	0.002186	0.012739	0.002442	0.002776	0.002459	0.004918	0.000647	0.001158	0.000631	0.000392	0.000387	-10414.954
32	0.002515	0.001742	0.002352	0.013710	0.002572	0.003112	0.002380	0.004621	0.000300	0.001223	0.000665	0.000421	0.000416	-10417.381
34	0.002720	0.001742	0.002247	0.013710	0.002572	0.003292	0.002380	0.004621	0.000300	0.001193	0.000665	0.000421	0.000416	-10402.821
36	0.002652	0.001699	0.002191	0.013368	0.002508	0.003171	0.002027	0.011170	0.000292	0.001169	0.000683	0.000408	0.000406	-10420.001
38	0.002235	0.001432	0.001847	0.011268	0.001691	0.002808	0.001506	0.009415	0.000246	0.000966	0.000575	0.000344	0.000342	-10404.507
40	0.002235	0.001432	0.001847	0.011268	0.001691	0.002808	0.001331	0.008578	0.000246	0.000966	0.000606	0.000344	0.000342	-10400.853
42	0.002235	0.001432	0.001847	0.011268	0.001691	0.002841	0.001233	0.008578	0.000246	0.000962	0.000627	0.000344	0.000342	-10401.227
44	0.002551	0.001265	0.001703	0.012860	0.001930	0.003014	0.001728	0.009790	0.000281	0.001127	0.000655	0.000393	0.000390	-10401.195
46	0.002748	0.001265	0.001450	0.012330	0.001930	0.003118	0.002015	0.010440	0.000281	0.001111	0.000618	0.000393	0.000390	-10410.200
48	0.002748	0.001265	0.001450	0.012330	0.001930	0.003515	0.002015	0.010255	0.000281	0.001164	0.000618	0.000393	0.000390	-10409.686
50	0.002748	0.001501	0.001450	0.012330	0.001930	0.003531	0.002015	0.011221	0.000709	0.001162	0.000618	0.000393	0.000390	-10420.916
52	0.002249	0.001229	0.001187	0.010092	0.001579	0.002835	0.001649	0.007713	0.000581	0.000959	0.000506	0.000322	0.000319	-10407.220
54	0.002249	0.001229	0.001187	0.010092	0.001579	0.002666	0.001649	0.007713	0.000581	0.000988	0.000506	0.000322	0.000319	-10402.944
56	0.002496	0.001363	0.001317	0.011667	0.001753	0.003172	0.001830	0.008658	0.000644	0.001086	0.000561	0.000357	0.000354	-10435.043
58	0.002171	0.001186	0.001146	0.009964	0.001524	0.002978	0.001491	0.007530	0.000560	0.000911	0.000488	0.000310	0.000308	-10424.647
60	0.002227	0.001216	0.001175	0.010221	0.001563	0.003055	0.001529	0.007724	0.000575	0.000934	0.000501	0.000318	0.000316	-10438.996
62	0.002265	0.000776	0.001208	0.010869	0.001607	0.003323	0.001446	0.008082	0.000591	0.000937	0.000531	0.000327	0.000325	-10449.326
64	0.002455	0.000841	0.001309	0.012672	0.001742	0.003601	0.001567	0.009143	0.000646	0.001015	0.000575	0.000355	0.000349	-10440.865
66	0.002228	0.000764	0.001608	0.011298	0.001581	0.003539	0.001302	0.008298	0.001066	0.000891	0.000541	0.000322	0.000317	-10435.245
68	0.002378	0.000815	0.001717	0.011654	0.001687	0.003953	0.001390	0.007892	0.001137	0.000934	0.000577	0.000343	0.000338	-10430.359
70	0.002378	0.000815	0.001717	0.011654	0.001687	0.003620	0.001608	0.007892	0.000687	0.000967	0.000545	0.000343	0.000338	-10428.809
72	0.002378	0.000815	0.001717	0.011125	0.001687	0.003562	0.001536	0.007892	0.000687	0.001020	0.000555	0.000343	0.000338	-10431.536
74	0.002378	0.000815	0.001717	0.011125	0.001687	0.003562	0.001536	0.007892	0.000696	0.001020	0.000555	0.000343	0.000334	-10425.638
76	0.002126	0.000729	0.001535	0.010494	0.001509	0.003407	0.001520	0.006471	0.000623	0.000885	0.000478	0.000307	0.000299	-10421.119
78	0.002122	0.000729	0.001535	0.010494	0.001509	0.003184	0.001287	0.006471	0.000623	0.000912	0.000509	0.000307	0.000298	-10438.248
80	0.002122	0.000729	0.001535	0.010258	0.001509	0.003203	0.001287	0.006471	0.000623	0.000912	0.000509	0.000307	0.000298	-10455.521
82	0.002122	0.000729	0.001473	0.010258	0.001509	0.003203	0.001287	0.006471	0.000623	0.000912	0.000509	0.000307	0.000298	-10439.554
84	0.002352	0.001247	0.001632	0.011367	0.001672	0.003464	0.001795	0.006715	0.000691	0.001021	0.000518	0.000340	0.000330	-10437.975
86	0.002352	0.001247	0.002088	0.011367	0.001672	0.003881	0.001595	0.006715	0.000698	0.000964	0.000494	0.000340	0.000327	-10439.108
88	0.002415	0.001281	0.002661	0.011595	0.001717	0.003899	0.001450	0.007525	0.000717	0.001001	0.000527	0.000350	0.000336	-10442.368
90	0.002443	0.001296	0.002692	0.011729	0.001737	0.004230	0.001492	0.007612	0.000725	0.000980	0.000530	0.000354	0.000340	-10445.432
92	0.002376	0.001260	0.002618	0.011408	0.001689	0.003882	0.001451	0.007403	0.000705	0.000979	0.000516	0.000344	0.000330	-10451.259
94	0.002710	0.001437	0.002986	0.013256	0.001927	0.004078	0.001373	0.008444	0.000804	0.001093	0.000628	0.000392	0.000377	-10430.075
