Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
2	0.008117	0.014052	0.003099	0.004314	0.003297	0.001660	0.000709	-10417.514
4	0.009215	0.015952	0.004185	0.004904	0.003405	0.001844	0.000805	-10426.700
6	0.009059	0.016537	0.003752	0.004621	0.003578	0.001904	0.000794	-10416.848
8	0.009059	0.016128	0.003752	0.004892	0.003578	0.001842	0.000794	-10418.298
10	0.009059	0.016630	0.003478	0.005833	0.003621	0.001842	0.000896	-10424.859
12	0.009059	0.016630	0.003478	0.005627	0.003621	0.001899	0.000896	-10409.016
14	0.009685	0.016485	0.003410	0.005523	0.003621	0.001873	0.000896	-10434.006
16	0.009896	0.016843	0.003484	0.005215	0.004076	0.001999	0.000905	-10427.055
18	0.009896	0.016843	0.003697	0.004777	0.004540	0.002099	0.000905	-10448.240
20	0.010304	0.016468	0.003697	0.004694	0.004540	0.002121	0.000905	-10429.039
22	0.010567	0.016889	0.003791	0.004913	0.004243	0.002153	0.001018	-10422.427
24	0.010567	0.016889	0.003791	0.004589	0.005328	0.002132	0.000925	-10403.927
26	0.010567	0.016889	0.003791	0.004668	0.005328	0.002112	0.000925	-10419.739
28	0.010567	0.017218	0.003791	0.004668	0.005328	0.002112	0.000925	-10433.544
30	0.010567	0.017218	0.003791	0.004730	0.005328	0.002097	0.000925	-10417.654
32	0.010186	0.016499	0.003654	0.005077	0.005136	0.001987	0.000892	-10409.887
34	0.008969	0.015107	0.003042	0.004689	0.004854	0.001810	0.000791	-10425.120
36	0.008969	0.015107	0.003042	0.004502	0.004854	0.001853	0.000791	-10418.101
38	0.008969	0.015107	0.003042	0.004301	0.005301	0.001908	0.000724	-10410.464
40	0.009325	0.015107	0.003087	0.004045	0.004857	0.001870	0.000791	-10437.127
42	0.009325	0.015609	0.003087	0.003593	0.005340	0.001870	0.000719	-10418.495
44	0.010130	0.016955	0.003354	0.003951	0.005800	0.001887	0.000781	-10424.672
46	0.010127	0.016951	0.003353	0.003496	0.005937	0.001918	0.000781	-10442.312
48	0.010127	0.016951	0.003353	0.003718	0.005628	0.001850	0.000824	-10423.513
50	0.010127	0.016951	0.003353	0.003947	0.005794	0.001789	0.000800	-10430.733
52	0.010127	0.016951	0.003353	0.004248	0.005794	0.001719	0.000800	-10418.956
54	0.009771	0.016951	0.003353	0.004042	0.005794	0.001766	0.000800	-10421.319
56	0.009392	0.016533	0.003353	0.004497	0.005983	0.001819	0.000775	-10418.944
58	0.009035	0.015904	0.003664	0.004326	0.005755	0.001750	0.000746	-10444.490
60	0.009035	0.015904	0.003248	0.004326	0.005744	0.001750	0.000680	-10407.470
62	0.009035	0.015904	0.003248	0.004697	0.005744	0.001666	0.000680	-10407.400
64	0.009666	0.017014	0.003475	0.004893	0.006145	0.001810	0.000727	-10437.475
66	0.008802	0.015494	0.002958	0.004644	0.006049	0.001609	0.000662	-10411.861
68	0.008802	0.015351	0.002958	0.004844	0.006049	0.001570	0.000662	-10405.659
70	0.008506	0.014835	0.002859	0.004681	0.005846	0.001517	0.000640	-10423.198
72	0.008506	0.014835	0.003539	0.004344	0.005667	0.001556	0.000660	-10440.012
74	0.007928	0.014401	0.003298	0.004049	0.005282	0.001450	0.000615	-10424.072
76	0.007928	0.014401	0.002884	0.004049	0.005282	0.001450	0.000615	-10428.571
78	0.009041	0.016300	0.003289	0.005084	0.006023	0.001566	0.000702	-10411.867
80	0.008109	0.014619	0.002949	0.004560	0.006031	0.001405	0.000629	-10418.754
82	0.007818	0.015019	0.003030	0.004440	0.006313	0.001487	0.000642	-10418.611
84	0.007818	0.015019	0.003030	0.004991	0.005889	0.001394	0.000642	-10419.883
86	0.007818	0.015019	0.003287	0.004745	0.006124	0.001514	0.000579	-10420.330
88	0.007563	0.014529	0.003180	0.004349	0.006232	0.001515	0.000561	-10411.041
90	0.008399	0.016135	0.003531	0.005249	0.006921	0.001682	0.000622	-10419.250
92	0.007722	0.014834	0.003247	0.004826	0.006009	0.001546	0.000572	-10419.533
94	0.007574	0.014549	0.003298	0.004959	0.005944	0.001473	0.000557	-10411.362
96	0.007238	0.014278	0.003152	0.004613	0.005697	0.001432	0.000532	-10412.366
98	0.007238	0.014278	0.003584	0.004275	0.005697	0.001503	0.000532	-10411.130
100	0.007238	0.014278	0.003584	0.004275	0.005697	0.001503	0.000532	-10414.790
102	0.007238	0.014278	0.003584	0.004633	0.005697	0.001480	0.000532	-10420.579
104	0.006131	0.012095	0.003036	0.003890	0.004228	0.001260	0.000463	-10404.877
106	0.006131	0.011572	0.003036	0.003634	0.004228	0.001317	0.000463	-10400.490
108	0.006131	0.011572	0.003036	0.003634	0.004265	0.001317	0.000459	-10428.077
110	0.005913	0.011162	0.002786	0.003505	0.004114	0.001270	0.000443	-10391.058
112	0.005293	0.009823	0.002461	0.003022	0.003682	0.001165	0.000397	-10400.101
114	0.005691	0.010080	0.002461	0.003286	0.003734	0.001103	0.000391	-10397.056
116	0.005691	0.010080	0.002461	0.003461	0.003734	0.001067	0.000391	-10408.098
118	0.006531	0.011484	0.002458	0.003943	0.003953	0.001215	0.000479	-10400.128
120	0.006531	0.011868	0.002458	0.003893	0.003953	0.001225	0.000479	-10414.881
122	0.006885	0.011868	0.002458	0.004273	0.004280	0.001225	0.000443	-10412.552
124	0.006469	0.011868	0.002458	0.004238	0.004280	0.001231	0.000443	-10424.908
126	0.007337	0.013462	0.002788	0.004500	0.003865	0.001458	0.000580	-10438.585
128	0.009416	0.017276	0.003578	0.006532	0.005405	0.001740	0.000683	-10445.757
130	0.008144	0.014942	0.003095	0.005953	0.004267	0.001458	0.000591	-10429.951
