Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
2	0.006273	0.014395	0.002435	0.005278	0.002717	0.001513	0.000771	-10431.041
4	0.006273	0.013895	0.002435	0.004798	0.002717	0.001587	0.000771	-10412.899
6	0.006273	0.013907	0.002435	0.004938	0.003191	0.001564	0.000771	-10427.229
8	0.006273	0.013907	0.003096	0.004441	0.003191	0.001653	0.000771	-10424.091
10	0.006273	0.013907	0.003096	0.004945	0.003191	0.001632	0.000771	-10398.114
12	0.006343	0.013476	0.003131	0.004574	0.003227	0.001731	0.000780	-10407.799
14	0.006343	0.014098	0.003131	0.005006	0.003227	0.001649	0.000780	-10415.282
16	0.005938	0.013196	0.002930	0.004087	0.003416	0.001663	0.000730	-10402.712
18	0.005938	0.013196	0.002930	0.003591	0.003416	0.001663	0.000730	-10399.226
20	0.006077	0.013196	0.002930	0.002940	0.003416	0.001663	0.000730	-10402.835
22	0.005426	0.011783	0.002617	0.002827	0.003050	0.001425	0.000652	-10409.135
24	0.005975	0.012976	0.002882	0.002992	0.003359	0.001604	0.000718	-10404.908
26	0.005975	0.013820	0.002882	0.003004	0.003406	0.001601	0.000708	-10388.001
28	0.006024	0.014132	0.002905	0.003142	0.003434	0.001581	0.000714	-10371.121
30	0.005495	0.014398	0.002960	0.003870	0.003498	0.001618	0.000727	-10398.912
32	0.005495	0.014398	0.002960	0.004017	0.003498	0.001647	0.000727	-10411.477
34	0.005683	0.013408	0.002756	0.003741	0.003258	0.001534	0.000677	-10428.994
36	0.005683	0.013408	0.002756	0.003714	0.003195	0.001540	0.000677	-10431.200
38	0.005683	0.013408	0.002756	0.003463	0.003195	0.001679	0.000677	-10420.376
40	0.005683	0.013408	0.002756	0.004029	0.003195	0.001538	0.000677	-10414.766
42	0.005683	0.013408	0.002756	0.003469	0.003195	0.001616	0.000677	-10441.519
44	0.005683	0.013408	0.002815	0.003155	0.003195	0.001709	0.000677	-10434.552
46	0.005683	0.013408	0.002815	0.003155	0.003195	0.001709	0.000677	-10430.019
48	0.004880	0.011513	0.002417	0.003557	0.002744	0.001368	0.000581	-10434.714
50	0.005359	0.012643	0.002655	0.004382	0.003210	0.001408	0.000599	-10444.890
52	0.004130	0.009744	0.002046	0.003258	0.002474	0.001108	0.000462	-10439.533
54	0.004736	0.010799	0.002346	0.002832	0.002837	0.001373	0.000529	-10413.800
56	0.003987	0.009092	0.001975	0.002608	0.002388	0.001095	0.000446	-10409.012
58	0.003987	0.009675	0.001975	0.003906	0.002388	0.001095	0.000446	-10420.078
60	0.004055	0.009840	0.002296	0.003942	0.002429	0.001118	0.000453	-10406.360
62	0.003989	0.009680	0.002259	0.003878	0.002389	0.001100	0.000446	-10401.285
64	0.004930	0.011964	0.002947	0.005071	0.002953	0.001315	0.000551	-10413.325
66	0.004288	0.010406	0.002115	0.005186	0.002569	0.001144	0.000479	-10421.015
68	0.004288	0.010406	0.002115	0.004692	0.002569	0.001214	0.000479	-10420.437
70	0.004288	0.010406	0.002115	0.004692	0.002914	0.001214	0.000479	-10398.936
72	0.004483	0.010011	0.002115	0.004660	0.002914	0.001214	0.000479	-10391.390
74	0.004483	0.010011	0.002115	0.004260	0.002591	0.001284	0.000539	-10385.537
76	0.005704	0.010525	0.002224	0.004807	0.002413	0.001297	0.000640	-10422.559
78	0.006556	0.013205	0.002553	0.004065	0.003021	0.001440	0.000675	-10412.242
80	0.006009	0.011562	0.002340	0.003174	0.002616	0.001442	0.000655	-10397.302
82	0.006009	0.011562	0.002340	0.003174	0.002616	0.001442	0.000655	-10400.162
84	0.006009	0.011562	0.002340	0.003510	0.002525	0.001367	0.000655	-10411.471
86	0.005865	0.010862	0.002284	0.003515	0.002464	0.001316	0.000639	-10425.604
88	0.005865	0.010862	0.002284	0.003515	0.002464	0.001316	0.000639	-10410.188
90	0.005865	0.011333	0.002284	0.003099	0.002464	0.001407	0.000639	-10398.264
92	0.005865	0.011816	0.002284	0.003372	0.002464	0.001345	0.000639	-10423.227
94	0.007403	0.013699	0.002883	0.004570	0.003337	0.001637	0.000752	-10412.466
96	0.007403	0.013699	0.002883	0.004570	0.003570	0.001637	0.000703	-10425.033
98	0.007403	0.013118	0.002883	0.004833	0.003440	0.001586	0.000730	-10428.334
100	0.007403	0.013118	0.002883	0.004270	0.003440	0.001699	0.000730	-10428.188
102	0.007403	0.013118	0.002883	0.004847	0.003440	0.001584	0.000730	-10461.979
104	0.007884	0.013970	0.003071	0.004660	0.003801	0.001788	0.000749	-10456.513
106	0.007706	0.013110	0.003001	0.004561	0.003887	0.001746	0.000700	-10466.282
108	0.006912	0.011760	0.002692	0.004070	0.003487	0.001571	0.000628	-10432.817
110	0.006049	0.009624	0.002203	0.003586	0.002854	0.001231	0.000514	-10423.211
112	0.005398	0.008587	0.001764	0.003615	0.002546	0.001098	0.000458	-10444.965
114	0.005398	0.008587	0.001764	0.003603	0.002546	0.001100	0.000458	-10426.207
116	0.005398	0.008587	0.001764	0.003603	0.002546	0.001100	0.000458	-10435.644
118	0.006029	0.010840	0.002053	0.004585	0.002963	0.001352	0.000533	-10408.288
120	0.006029	0.010840	0.002053	0.004585	0.002963	0.001352	0.000533	-10414.108
122	0.006023	0.010829	0.002051	0.004116	0.003718	0.001443	0.000533	-10437.405
124	0.005552	0.010475	0.002051	0.004116	0.003718	0.001443	0.000533	-10415.071
126	0.005552	0.010475	0.002051	0.004116	0.003718	0.001443	0.000533	-10441.003
128	0.005050	0.009975	0.001865	0.003906	0.003382	0.001278	0.000484	-10441.691
130	0.005971	0.011794	0.002205	0.005085	0.003998	0.001425	0.000573	-10417.090
132	0.005197	0.010917	0.001919	0.004404	0.003480	0.001244	0.000499	-10413.484
134	0.005343	0.012353	0.002931	0.006415	0.003975	0.001387	0.000569	-10414.666
136	0.005343	0.012353	0.002931	0.005649	0.003975	0.001498	0.000569	-10417.638
138	0.004778	0.011046	0.002621	0.005240	0.003554	0.001340	0.000509	-10404.597
140	0.003800	0.008785	0.002084	0.003686	0.003312	0.001152	0.000405	-10406.664
142	0.004461	0.010315	0.002447	0.004787	0.003889	0.001352	0.000476	-10394.637
144	0.004461	0.010315	0.002447	0.004636	0.003889	0.001308	0.000476	-10399.577
146	0.004461	0.010315	0.002447	0.004636	0.003889	0.001308	0.000476	-10401.572
148	0.005080	0.010315	0.002447	0.004636	0.003654	0.001308	0.000506	-10397.170
150	0.005787	0.011750	0.002788	0.005281	0.004163	0.001490	0.000576	-10377.284
152	0.005700	0.010875	0.002746	0.005058	0.004733	0.001467	0.000492	-10419.472
154	0.006769	0.013717	0.004084	0.006288	0.005339	0.001696	0.000615	-10401.918
156	0.006769	0.013717	0.004084	0.006057	0.005339	0.001737	0.000615	-10409.665
158	0.006769	0.013114	0.004084	0.005423	0.005339	0.001737	0.000615	-10405.728
160	0.006769	0.013114	0.004084	0.005836	0.005339	0.001658	0.000615	-10374.090
162	0.006769	0.012605	0.004084	0.005113	0.005339	0.001621	0.000615	-10383.938
164	0.007827	0.014574	0.004722	0.005933	0.006362	0.001870	0.000690	-10381.016
166	0.006637	0.012664	0.004103	0.004822	0.005528	0.001696	0.000599	-10393.496
168	0.006637	0.012664	0.004103	0.005211	0.005528	0.001614	0.000599	-10397.804
170	0.006637	0.012664	0.004103	0.005016	0.005352	0.001653	0.000599	-10380.602
172	0.006637	0.012664	0.004103	0.004676	0.005352	0.001730	0.000599	-10382.955
174	0.006696	0.012776	0.004139	0.004997	0.005399	0.001681	0.000605	-10388.812
176	0.006696	0.012270	0.004139	0.005437	0.005399	0.001594	0.000605	-10381.556
178	0.007642	0.014307	0.004724	0.007241	0.006162	0.001820	0.000690	-10391.920
180	0.007642	0.014307	0.004724	0.006855	0.006162	0.001819	0.000690	-10370.107
182	0.007642	0.014307	0.004724	0.006207	0.006568	0.001941	0.000648	-10385.100
184	0.007642	0.014307	0.004724	0.006294	0.006568	0.002022	0.000648	-10393.853
186	0.007642	0.014899	0.004724	0.005970	0.006568	0.002096	0.000648	-10385.153
188	0.006293	0.012268	0.003890	0.004916	0.005786	0.001726	0.000533	-10416.057
190	0.007463	0.014152	0.004613	0.006079	0.006658	0.001989	0.000652	-10408.514
192	0.006610	0.012535	0.003558	0.005739	0.005898	0.001689	0.000577	-10384.143
194	0.006081	0.012535	0.003558	0.005309	0.005811	0.001779	0.000586	-10399.871
196	0.006081	0.012535	0.003218	0.005035	0.005811	0.001844	0.000586	-10392.101
198	0.006804	0.014026	0.003601	0.005960	0.006386	0.001986	0.000643	-10401.094
200	0.007175	0.014026	0.003601	0.006177	0.006256	0.001939	0.000656	-10403.087
202	0.006904	0.013082	0.002850	0.005517	0.006008	0.001866	0.000585	-10409.061
204	0.006829	0.013447	0.002819	0.005193	0.006073	0.001910	0.000566	-10402.056
206	0.007768	0.015297	0.003662	0.006299	0.006908	0.002077	0.000644	-10411.841
208	0.006929	0.013962	0.003266	0.005815	0.005609	0.001810	0.000575	-10396.408
210	0.006463	0.013022	0.003047	0.005826	0.005231	0.001773	0.000536	-10421.819
212	0.006463	0.013022	0.002635	0.005950	0.004203	0.001747	0.000586	-10406.904
214	0.006463	0.013022	0.002635	0.005777	0.004203	0.001782	0.000586	-10408.962
216	0.006463	0.013022	0.002635	0.005990	0.004203	0.001765	0.000586	-10394.532
218	0.006034	0.012158	0.002460	0.005914	0.003327	0.001588	0.000607	-10431.354
220	0.006034	0.012158	0.002460	0.005546	0.003327	0.001653	0.000607	-10437.428
222	0.006034	0.012158	0.002460	0.005914	0.003327	0.001588	0.000607	-10422.039
224	0.006034	0.012158	0.002460	0.005497	0.003483	0.001662	0.000580	-10408.294
226	0.006034	0.012689	0.003122	0.006838	0.003483	0.001543	0.000580	-10415.225
228	0.006034	0.012689	0.003122	0.006457	0.003483	0.001600	0.000580	-10406.739
230	0.005667	0.012921	0.003179	0.006032	0.003546	0.001723	0.000590	-10404.799
232	0.005667	0.012921	0.003179	0.006327	0.003546	0.001670	0.000590	-10406.489
234	0.005667	0.012345	0.003179	0.006716	0.002917	0.001598	0.000590	-10424.625
236	0.005667	0.012345	0.003179	0.006716	0.002917	0.001598	0.000590	-10414.009
238	0.006178	0.012345	0.003179	0.006618	0.002917	0.001613	0.000590	-10412.815
240	0.006557	0.012345	0.003179	0.005926	0.003291	0.001729	0.000641	-10417.489
242	0.006557	0.012345	0.003179	0.006007	0.003415	0.001715	0.000618	-10429.524
244	0.005582	0.010029	0.002706	0.005819	0.002908	0.001347	0.000526	-10433.262
