Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
2	0.019049	0.002765	0.011414	0.001480	-10444.735
4	0.020496	0.002975	0.012215	0.001601	-10428.169
6	0.020505	0.002975	0.012669	0.001544	-10421.778
8	0.020505	0.002975	0.012939	0.001512	-10455.837
10	0.020505	0.002975	0.012147	0.001560	-10440.245
12	0.020505	0.002731	0.012800	0.001595	-10418.362
14	0.020995	0.002731	0.014062	0.001595	-10432.673
16	0.020995	0.002731	0.013683	0.001639	-10418.876
18	0.020576	0.002677	0.013410	0.001607	-10409.041
20	0.020576	0.002677	0.012079	0.001696	-10405.950
22	0.020576	0.003186	0.012757	0.001606	-10405.780
24	0.021749	0.003186	0.012825	0.001597	-10399.866
26	0.020886	0.003060	0.012589	0.001577	-10415.467
28	0.022618	0.002910	0.013633	0.001708	-10401.647
30	0.022618	0.002910	0.013712	0.001698	-10408.046
32	0.022618	0.002910	0.013934	0.001671	-10408.533
34	0.022618	0.002910	0.013489	0.001671	-10409.598
36	0.022618	0.002910	0.013182	0.001710	-10396.489
38	0.022618	0.002910	0.013557	0.001662	-10403.556
40	0.022618	0.002910	0.013486	0.001625	-10395.257
42	0.022618	0.002910	0.012885	0.001701	-10397.383
44	0.018580	0.002391	0.010971	0.001348	-10392.263
46	0.020812	0.002678	0.012382	0.001498	-10381.110
48	0.020149	0.002678	0.012991	0.001428	-10392.830
50	0.020149	0.002678	0.012832	0.001446	-10383.647
52	0.020149	0.003829	0.012903	0.001438	-10387.916
54	0.018159	0.002690	0.011629	0.001296	-10401.107
56	0.016219	0.002320	0.010027	0.001117	-10401.908
58	0.016219	0.002320	0.009455	0.001185	-10396.488
60	0.016219	0.002320	0.010813	0.001217	-10408.549
62	0.013884	0.001986	0.009150	0.001054	-10409.212
64	0.014855	0.002041	0.008821	0.001154	-10406.414
66	0.013651	0.001875	0.008106	0.001061	-10395.303
68	0.013651	0.001875	0.007625	0.001128	-10416.416
70	0.015795	0.002071	0.009469	0.001246	-10400.577
72	0.015795	0.002071	0.009469	0.001246	-10399.752
74	0.014453	0.001895	0.008903	0.001109	-10416.836
76	0.014453	0.001895	0.008959	0.001102	-10422.249
78	0.014453	0.001895	0.007701	0.001093	-10399.139
80	0.014453	0.001895	0.007701	0.001093	-10413.668
82	0.014453	0.001895	0.007391	0.001139	-10408.127
84	0.014453	0.001895	0.007870	0.001069	-10410.011
86	0.015646	0.002417	0.007881	0.001251	-10393.704
88	0.015646	0.002417	0.008161	0.001209	-10393.048
90	0.015646	0.002417	0.009261	0.001160	-10401.570
92	0.015282	0.002417	0.009648	0.001114	-10381.341
94	0.015282	0.002417	0.009269	0.001159	-10388.134
96	0.015282	0.002417	0.009753	0.001102	-10411.198
98	0.015282	0.002417	0.009753	0.001102	-10396.040
100	0.015282	0.002417	0.009265	0.001160	-10410.463
102	0.015282	0.002417	0.009748	0.001102	-10406.893
104	0.014140	0.002237	0.009020	0.001020	-10429.540
106	0.016120	0.002550	0.011083	0.001162	-10441.263
108	0.016789	0.002656	0.011135	0.001255	-10423.525
110	0.016935	0.002571	0.010781	0.001215	-10434.406
112	0.018764	0.002849	0.011945	0.001346	-10421.295
114	0.018764	0.002849	0.011669	0.001378	-10421.803
116	0.019271	0.002849	0.011530	0.001395	-10414.717
118	0.017578	0.002599	0.010537	0.001270	-10434.146
120	0.016336	0.002309	0.008957	0.001180	-10445.981
122	0.017990	0.002625	0.010180	0.001341	-10444.123
124	0.016493	0.002406	0.009216	0.001245	-10428.267
126	0.018494	0.002698	0.010926	0.001396	-10434.966
128	0.018009	0.002578	0.010418	0.001329	-10436.069
130	0.018009	0.002578	0.010925	0.001267	-10419.601
132	0.018821	0.002554	0.012341	0.001232	-10415.260
134	0.017724	0.002457	0.011642	0.001209	-10407.599
136	0.018094	0.002457	0.011287	0.001247	-10408.658
138	0.021648	0.002940	0.013396	0.001440	-10406.142
140	0.018559	0.002520	0.010913	0.001299	-10410.629
142	0.018559	0.002520	0.010129	0.001299	-10385.480
144	0.021152	0.003451	0.011633	0.001470	-10394.143
146	0.021152	0.003451	0.011805	0.001448	-10400.812
148	0.021152	0.003451	0.011750	0.001455	-10414.577
150	0.021152	0.003451	0.012500	0.001461	-10412.816
152	0.018356	0.002995	0.010604	0.001297	-10414.686
154	0.018356	0.002995	0.011021	0.001297	-10418.702
156	0.015594	0.002544	0.009498	0.001131	-10409.615
158	0.017175	0.002802	0.010457	0.001246	-10412.155
160	0.015355	0.002505	0.009792	0.001164	-10412.639
162	0.012974	0.002804	0.008350	0.000983	-10416.533
164	0.012974	0.002804	0.008350	0.000983	-10417.064
166	0.012974	0.002804	0.008350	0.000983	-10385.961
168	0.012974	0.002804	0.008861	0.000927	-10404.068
170	0.012719	0.002136	0.008216	0.000859	-10389.175
172	0.012123	0.002256	0.009857	0.000851	-10393.760
174	0.012123	0.002256	0.008604	0.000902	-10392.977
176	0.012617	0.002235	0.008033	0.000948	-10374.487
178	0.010745	0.001447	0.006366	0.000868	-10392.087
180	0.010745	0.001447	0.006604	0.000836	-10394.947
182	0.012801	0.001623	0.007395	0.000940	-10404.423
184	0.011329	0.001437	0.005859	0.000832	-10421.348
186	0.011329	0.001437	0.006034	0.000808	-10408.816
188	0.011329	0.001437	0.006254	0.000779	-10397.235
190	0.011329	0.001437	0.006002	0.000812	-10407.392
