Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
2	0.004748	0.014645	0.001753	0.004360	0.000957	0.000943	0.000611	-10428.241
4	0.004639	0.014892	0.001753	0.005036	0.000992	0.000943	0.000589	-10443.504
6	0.005159	0.014892	0.001753	0.005973	0.000992	0.000887	0.000589	-10438.710
8	0.005159	0.014892	0.001753	0.005973	0.000992	0.000887	0.000589	-10432.157
10	0.005870	0.017545	0.001995	0.006797	0.001129	0.001010	0.000671	-10452.302
12	0.005870	0.017545	0.001995	0.006797	0.001129	0.001010	0.000671	-10443.217
14	0.006658	0.019898	0.002263	0.007265	0.001280	0.001169	0.000761	-10434.963
16	0.006658	0.019898	0.002263	0.007685	0.001398	0.001146	0.000697	-10419.327
18	0.006237	0.018643	0.002120	0.007200	0.001200	0.001074	0.000713	-10445.896
20	0.006243	0.018659	0.002040	0.007206	0.001201	0.001075	0.000713	-10440.492
22	0.005346	0.016497	0.001747	0.006171	0.001028	0.000921	0.000611	-10449.410
24	0.006057	0.018690	0.001980	0.006992	0.001216	0.001043	0.000663	-10437.814
26	0.005570	0.017188	0.001821	0.006430	0.001013	0.000959	0.000673	-10438.321
28	0.005570	0.017188	0.001821	0.006093	0.001013	0.000951	0.000673	-10423.820
30	0.005013	0.015469	0.001639	0.005483	0.000911	0.000856	0.000606	-10427.028
32	0.005013	0.014878	0.001639	0.005483	0.000911	0.000856	0.000606	-10409.219
34	0.005013	0.014878	0.001639	0.005483	0.000911	0.000856	0.000606	-10432.248
36	0.004058	0.012045	0.001326	0.005115	0.000738	0.000693	0.000490	-10461.938
38	0.004352	0.012917	0.001423	0.004032	0.000791	0.000743	0.000526	-10433.251
40	0.004888	0.014507	0.001598	0.004529	0.000889	0.000835	0.000591	-10418.134
42	0.004888	0.014507	0.001598	0.004529	0.000860	0.000835	0.000610	-10427.988
44	0.004888	0.014507	0.001598	0.004529	0.000860	0.000835	0.000610	-10417.721
46	0.004542	0.013479	0.001335	0.004208	0.000799	0.000775	0.000567	-10434.723
48	0.004542	0.013479	0.001335	0.004208	0.000799	0.000775	0.000567	-10430.371
50	0.004542	0.013479	0.001335	0.004208	0.000799	0.000775	0.000567	-10451.348
52	0.004641	0.013775	0.001364	0.004300	0.000817	0.000792	0.000579	-10424.774
54	0.003989	0.011838	0.001173	0.003343	0.000702	0.000681	0.000498	-10466.676
56	0.003989	0.011838	0.001173	0.003343	0.000702	0.000681	0.000498	-10441.013
58	0.004965	0.013914	0.001378	0.003930	0.000825	0.000800	0.000585	-10446.023
60	0.004965	0.013914	0.001378	0.003930	0.000825	0.000800	0.000585	-10438.026
62	0.004965	0.014655	0.001378	0.003930	0.000801	0.000800	0.000603	-10423.602
64	0.005642	0.016652	0.001566	0.004465	0.000975	0.000910	0.000640	-10448.987
66	0.005445	0.015494	0.001511	0.004304	0.000941	0.000878	0.000617	-10438.844
68	0.006142	0.017479	0.001705	0.005767	0.001061	0.000951	0.000696	-10468.186
70	0.005077	0.014448	0.001409	0.004767	0.000877	0.000786	0.000576	-10461.634
72	0.005077	0.014448	0.001409	0.004767	0.000877	0.000786	0.000576	-10463.391
74	0.005721	0.016372	0.001597	0.005402	0.000974	0.000891	0.000666	-10465.683
76	0.004551	0.013021	0.001270	0.003439	0.000775	0.000719	0.000529	-10457.705
78	0.005005	0.014321	0.001397	0.003783	0.000852	0.000791	0.000582	-10455.777
80	0.004936	0.014125	0.001922	0.003731	0.000841	0.000780	0.000574	-10465.688
82	0.005712	0.015553	0.002224	0.004317	0.000897	0.000903	0.000720	-10446.876
84	0.005712	0.015682	0.002224	0.004317	0.000897	0.000903	0.000720	-10432.874
86	0.005712	0.015682	0.002224	0.004982	0.000897	0.000903	0.000720	-10432.551
88	0.005712	0.016453	0.002224	0.004982	0.000897	0.000903	0.000720	-10418.885
90	0.005485	0.014960	0.002135	0.004095	0.000875	0.000867	0.000681	-10421.805
92	0.005485	0.014960	0.002135	0.003629	0.000875	0.000867	0.000681	-10436.817
94	0.006646	0.016555	0.002363	0.004016	0.000968	0.000959	0.000754	-10453.911
96	0.006646	0.016555	0.002363	0.004016	0.000968	0.000959	0.000754	-10427.345
98	0.006036	0.014468	0.002146	0.003647	0.000858	0.000871	0.000702	-10441.234
100	0.006036	0.014468	0.002146	0.003647	0.000858	0.000871	0.000702	-10459.408
102	0.006807	0.016316	0.002420	0.004113	0.000967	0.000982	0.000792	-10437.896
104	0.006807	0.016316	0.001682	0.004113	0.000967	0.000982	0.000792	-10431.535
106	0.006807	0.016316	0.001848	0.004981	0.000967	0.000982	0.000792	-10459.940
108	0.006807	0.016316	0.001848	0.004405	0.000967	0.000982	0.000792	-10439.421
110	0.005851	0.016316	0.001848	0.004538	0.000967	0.000982	0.000792	-10434.518
112	0.005571	0.015534	0.001759	0.004320	0.000921	0.000935	0.000754	-10439.829
114	0.005571	0.015534	0.001759	0.004880	0.000921	0.000935	0.000754	-10454.622
116	0.005571	0.016535	0.001759	0.004880	0.000892	0.000935	0.000778	-10448.904
118	0.006057	0.017979	0.001913	0.005306	0.000969	0.001017	0.000846	-10459.017
120	0.006147	0.017979	0.001913	0.005306	0.000969	0.001017	0.000846	-10458.801
122	0.006815	0.019933	0.002121	0.006598	0.001143	0.001128	0.000882	-10481.469
124	0.006815	0.020598	0.002121	0.006475	0.001143	0.001128	0.000882	-10454.719
126	0.006815	0.020598	0.002121	0.007233	0.001143	0.001102	0.000882	-10457.115
128	0.006758	0.020428	0.002103	0.007173	0.001133	0.001093	0.000875	-10447.547
130	0.006071	0.018352	0.001603	0.006444	0.001018	0.000982	0.000786	-10439.612
132	0.006071	0.018352	0.001603	0.005997	0.001018	0.000996	0.000786	-10440.537
134	0.006071	0.018352	0.001603	0.005997	0.001018	0.000996	0.000786	-10446.062
136	0.006957	0.021029	0.001837	0.006872	0.001167	0.001142	0.000901	-10467.508
138	0.006957	0.021029	0.001837	0.006872	0.001167	0.001142	0.000901	-10445.276
140	0.006463	0.018980	0.001706	0.006634	0.001080	0.001052	0.000840	-10452.061
142	0.006463	0.018980	0.001706	0.005420	0.001092	0.001078	0.000830	-10433.717
144	0.006888	0.019365	0.001706	0.005420	0.001092	0.001078	0.000830	-10437.129
146	0.006888	0.019365	0.001706	0.005420	0.001092	0.001078	0.000830	-10445.177
148	0.006871	0.020751	0.001702	0.005407	0.001095	0.001050	0.000824	-10424.462
150	0.006871	0.020751	0.001702	0.005407	0.001127	0.001050	0.000801	-10429.318
152	0.006871	0.020751	0.001702	0.004652	0.001127	0.001050	0.000801	-10435.285
154	0.006235	0.019215	0.001545	0.004222	0.001009	0.000953	0.000737	-10443.809
156	0.006235	0.018900	0.001545	0.004222	0.001009	0.000953	0.000737	-10463.731
158	0.006735	0.020415	0.001668	0.005056	0.001090	0.001029	0.000796	-10436.985
160	0.006735	0.020415	0.001668	0.005458	0.001090	0.001012	0.000796	-10430.827
162	0.007420	0.022489	0.001838	0.006074	0.001200	0.001112	0.000877	-10444.443
164	0.007303	0.022136	0.002564	0.005979	0.001181	0.001095	0.000863	-10425.276
166	0.007303	0.022136	0.001984	0.005979	0.001181	0.001095	0.000863	-10429.895
168	0.006732	0.020404	0.001829	0.006016	0.001089	0.001009	0.000795	-10415.236
170	0.006571	0.021908	0.001963	0.006630	0.001264	0.001076	0.000790	-10423.531
172	0.006571	0.020893	0.001963	0.006436	0.001264	0.001085	0.000790	-10448.965
174	0.006587	0.020946	0.001968	0.006453	0.001271	0.001087	0.000790	-10453.766
176	0.007953	0.023460	0.002205	0.006916	0.001423	0.001218	0.000885	-10445.029
178	0.006960	0.020269	0.001929	0.005500	0.001245	0.001066	0.000774	-10434.742
180	0.006838	0.019257	0.001896	0.005522	0.001224	0.001041	0.000761	-10437.672
182	0.007642	0.021589	0.002118	0.005784	0.001367	0.001173	0.000850	-10440.344
184	0.006674	0.018497	0.001850	0.005051	0.001194	0.001024	0.000742	-10483.381
186	0.007639	0.021172	0.002118	0.005782	0.001349	0.001173	0.000861	-10453.030
188	0.007639	0.021172	0.002118	0.005347	0.001241	0.001173	0.000936	-10462.338
190	0.006883	0.019076	0.001908	0.004818	0.001110	0.001056	0.000850	-10452.350
192	0.008008	0.022192	0.002220	0.005604	0.001291	0.001229	0.000989	-10449.908
194	0.007757	0.019589	0.001959	0.003861	0.001139	0.001144	0.000873	-10463.828
196	0.007757	0.019589	0.001959	0.004516	0.001123	0.001105	0.000886	-10475.690
198	0.007757	0.019589	0.001959	0.004509	0.001123	0.001105	0.000886	-10446.661
200	0.007118	0.017974	0.001798	0.003724	0.000994	0.001058	0.000842	-10456.238
202	0.007277	0.018987	0.001838	0.003807	0.001017	0.001081	0.000861	-10457.479
204	0.007132	0.018609	0.001801	0.003732	0.000998	0.001060	0.000842	-10440.160
206	0.007132	0.018609	0.001801	0.004650	0.000998	0.001047	0.000842	-10442.375
208	0.007132	0.018609	0.001801	0.004650	0.000998	0.001047	0.000842	-10452.835
210	0.007132	0.018609	0.001801	0.004171	0.000998	0.001047	0.000842	-10461.787
212	0.007132	0.019104	0.001801	0.005122	0.000998	0.001034	0.000842	-10446.738
214	0.006266	0.016785	0.001583	0.004500	0.000877	0.000909	0.000740	-10450.859
216	0.006266	0.016785	0.001583	0.004500	0.000877	0.000909	0.000740	-10440.165
218	0.006266	0.016785	0.001583	0.004500	0.000877	0.000909	0.000740	-10454.178
220	0.005187	0.013894	0.001310	0.003725	0.000726	0.000752	0.000613	-10467.170
222	0.005589	0.014223	0.001412	0.004014	0.000782	0.000811	0.000660	-10430.855
224	0.005589	0.014223	0.001412	0.004014	0.000782	0.000811	0.000660	-10454.947
226	0.005384	0.013700	0.001360	0.004388	0.000753	0.000781	0.000636	-10459.661
228	0.005883	0.014972	0.001486	0.004795	0.000823	0.000853	0.000695	-10459.129
230	0.005883	0.016076	0.001486	0.004795	0.000823	0.000853	0.000695	-10448.039
232	0.006047	0.016859	0.001558	0.005029	0.000850	0.000895	0.000740	-10432.957
234	0.006047	0.016859	0.001558	0.005029	0.000850	0.000895	0.000740	-10450.678
236	0.007040	0.019628	0.001814	0.005316	0.000990	0.001042	0.000861	-10435.635
238	0.007040	0.019628	0.001814	0.005316	0.000990	0.001042	0.000861	-10437.077
240	0.006887	0.019200	0.001775	0.004755	0.000968	0.001019	0.000843	-10441.208
242	0.007165	0.018072	0.001671	0.004284	0.000911	0.000959	0.000793	-10427.178
244	0.006506	0.015790	0.001309	0.003642	0.000828	0.000881	0.000720	-10435.443
246	0.006709	0.016283	0.001350	0.003735	0.000853	0.000909	0.000743	-10441.417
248	0.007479	0.018152	0.001505	0.004164	0.000951	0.001013	0.000828	-10448.377
250	0.007479	0.018152	0.001505	0.003495	0.000951	0.001056	0.000828	-10452.143
252	0.007138	0.017927	0.001437	0.003851	0.000908	0.001008	0.000790	-10449.205
254	0.007165	0.018439	0.001437	0.003851	0.000908	0.001008	0.000790	-10430.167
256	0.007165	0.018439	0.001437	0.003851	0.000908	0.001008	0.000790	-10442.909
258	0.006745	0.018785	0.001464	0.005221	0.000925	0.000971	0.000805	-10455.760
260	0.006745	0.018785	0.001464	0.005965	0.000925	0.000971	0.000805	-10460.411
262	0.006745	0.018785	0.001464	0.005892	0.000925	0.000973	0.000805	-10450.721
264	0.007949	0.020311	0.001583	0.005588	0.001000	0.001073	0.000870	-10420.127
266	0.007949	0.020311	0.001583	0.005588	0.001000	0.001073	0.000870	-10447.660
268	0.007143	0.018250	0.001422	0.005021	0.000899	0.000964	0.000782	-10456.991
270	0.007143	0.018250	0.001422	0.005021	0.000899	0.000964	0.000782	-10460.416
272	0.007143	0.017627	0.001422	0.005021	0.000899	0.000964	0.000782	-10453.068
274	0.007143	0.017627	0.001422	0.005021	0.000899	0.000964	0.000782	-10430.270
276	0.006297	0.015539	0.001254	0.004021	0.000792	0.000850	0.000689	-10434.933
278	0.006297	0.016265	0.001254	0.004021	0.000792	0.000850	0.000689	-10455.550
280	0.006297	0.016265	0.001254	0.003114	0.000808	0.000850	0.000676	-10465.348
282	0.007074	0.018273	0.001408	0.004099	0.000907	0.000955	0.000760	-10447.234
284	0.008240	0.021286	0.001641	0.004775	0.001057	0.001113	0.000885	-10438.776
286	0.007243	0.018709	0.001442	0.004301	0.000929	0.000973	0.000778	-10456.293
