Gen	theta_1JpMe	theta_2MoN	theta_3MoS	theta_4Si	theta_5JpMeMoNMoSSi	theta_6JpMeMoNMoS	theta_7JpMeMoN	tau_5JpMeMoNMoSSi	tau_6JpMeMoNMoS	tau_7JpMeMoN	lnL
2	0.002977	0.001910	0.012722	0.002453	0.003133	0.001149	0.004748	0.001128	0.000590	0.000286	-10452.387
4	0.002977	0.001910	0.012722	0.001873	0.002870	0.001125	0.004748	0.001177	0.000596	0.000286	-10458.599
6	0.002672	0.001714	0.011422	0.001681	0.002577	0.001147	0.004262	0.001057	0.000502	0.000257	-10472.863
8	0.003069	0.001969	0.013117	0.001931	0.003160	0.001339	0.004895	0.001173	0.000572	0.000295	-10463.415
10	0.003069	0.001969	0.012371	0.001931	0.002820	0.001117	0.004895	0.001246	0.000627	0.000295	-10433.268
12	0.003181	0.002041	0.011952	0.002001	0.003173	0.001314	0.005074	0.001241	0.000609	0.000306	-10429.998
14	0.002896	0.001858	0.011739	0.001822	0.002679	0.001073	0.004620	0.001175	0.000586	0.000278	-10448.195
16	0.003312	0.002125	0.013423	0.002083	0.003139	0.001273	0.005282	0.001327	0.000658	0.000318	-10455.718
18	0.002906	0.001864	0.011778	0.001828	0.003126	0.001117	0.005258	0.001207	0.000577	0.000279	-10417.620
20	0.002731	0.001752	0.011068	0.001718	0.003713	0.001144	0.004941	0.001134	0.000519	0.000262	-10425.482
22	0.002731	0.001752	0.011068	0.001718	0.003940	0.000990	0.005542	0.001099	0.000558	0.000270	-10419.465
24	0.002731	0.001752	0.011068	0.001718	0.004053	0.000949	0.005561	0.001099	0.000570	0.000286	-10444.307
26	0.003022	0.002024	0.012250	0.001901	0.004724	0.001051	0.006192	0.001187	0.000631	0.000315	-10423.283
28	0.003091	0.002070	0.012527	0.001944	0.003633	0.001514	0.005820	0.001214	0.000597	0.000322	-10408.139
30	0.002682	0.001796	0.010872	0.001687	0.002986	0.001314	0.004708	0.001083	0.000518	0.000300	-10410.105
32	0.002787	0.001478	0.011295	0.001753	0.002948	0.001070	0.004891	0.001054	0.000601	0.000311	-10418.960
34	0.002787	0.001478	0.011295	0.001753	0.002948	0.001070	0.005735	0.001054	0.000601	0.000266	-10426.824
36	0.002787	0.001478	0.011295	0.001753	0.003281	0.000881	0.006734	0.001054	0.000673	0.000266	-10427.841
38	0.003323	0.001763	0.013467	0.002090	0.003402	0.001289	0.008030	0.001325	0.000713	0.000317	-10437.293
40	0.003323	0.001763	0.013941	0.002090	0.003780	0.001289	0.008030	0.001264	0.000713	0.000317	-10416.607
42	0.003371	0.001788	0.014143	0.002529	0.003574	0.001161	0.009849	0.001324	0.000774	0.000292	-10422.584
44	0.003371	0.001788	0.014143	0.002529	0.003262	0.001161	0.010631	0.001376	0.000774	0.000292	-10427.238
46	0.003371	0.001788	0.014306	0.002529	0.003262	0.001326	0.009002	0.001376	0.000714	0.000345	-10437.315
48	0.003371	0.001788	0.014306	0.002529	0.003262	0.001487	0.009752	0.001376	0.000674	0.000319	-10437.642
50	0.003371	0.001788	0.014306	0.002529	0.003262	0.001487	0.010116	0.001376	0.000674	0.000319	-10412.744
52	0.002853	0.001513	0.011732	0.002140	0.002843	0.001258	0.008561	0.001147	0.000570	0.000270	-10428.709
54	0.002853	0.002095	0.012341	0.002140	0.002773	0.001258	0.008857	0.001162	0.000570	0.000276	-10430.631
56	0.002853	0.002095	0.012341	0.002140	0.002893	0.001335	0.008098	0.001137	0.000553	0.000269	-10447.124
58	0.002853	0.002095	0.012341	0.002140	0.002893	0.001156	0.008098	0.001137	0.000598	0.000269	-10444.884
60	0.002853	0.002095	0.012341	0.002140	0.002893	0.001048	0.008098	0.001137	0.000632	0.000269	-10453.669
62	0.002853	0.002202	0.012341	0.002140	0.002893	0.001168	0.008098	0.001137	0.000594	0.000269	-10438.177
64	0.002853	0.002202	0.012341	0.002140	0.002893	0.001192	0.008098	0.001137	0.000587	0.000269	-10428.482
66	0.002798	0.002160	0.012105	0.002099	0.002717	0.001357	0.007943	0.001041	0.000533	0.000263	-10426.205
68	0.002798	0.002160	0.012105	0.002099	0.002741	0.001256	0.007943	0.001039	0.000555	0.000263	-10423.356
70	0.003283	0.002534	0.014203	0.002463	0.003319	0.001754	0.009320	0.001200	0.000596	0.000309	-10413.985
72	0.003283	0.002534	0.014203	0.002463	0.003065	0.001624	0.008588	0.001248	0.000619	0.000311	-10428.965
74	0.002938	0.002268	0.012710	0.002204	0.002743	0.001637	0.007685	0.001117	0.000523	0.000278	-10445.771
76	0.003252	0.002510	0.014066	0.002439	0.003300	0.001526	0.008562	0.001183	0.000630	0.000308	-10440.449
78	0.003252	0.002510	0.014066	0.002439	0.003065	0.001854	0.008562	0.001225	0.000631	0.000308	-10462.719
80	0.002790	0.002154	0.012069	0.002093	0.003758	0.001306	0.007347	0.001051	0.000602	0.000264	-10458.687
82	0.003127	0.002413	0.013525	0.002345	0.003763	0.001559	0.007547	0.001238	0.000652	0.000323	-10427.635
84	0.003127	0.002413	0.013525	0.002345	0.004728	0.001738	0.006978	0.001208	0.000618	0.000323	-10445.054
86	0.003127	0.002413	0.013525	0.002345	0.004438	0.001722	0.007767	0.001246	0.000621	0.000323	-10452.593
88	0.003127	0.002209	0.013525	0.002345	0.003947	0.001632	0.007767	0.001323	0.000637	0.000323	-10446.429
90	0.003127	0.002209	0.014732	0.002345	0.004333	0.001632	0.007767	0.001225	0.000637	0.000323	-10445.195
92	0.003127	0.002209	0.014732	0.002345	0.004333	0.001632	0.006040	0.001225	0.000637	0.000355	-10440.053
94	0.003127	0.002209	0.014732	0.002345	0.004333	0.001150	0.007062	0.001225	0.000755	0.000355	-10444.344
96	0.003196	0.002258	0.015060	0.002398	0.004103	0.001413	0.006505	0.001294	0.000703	0.000363	-10435.643
98	0.002819	0.001992	0.013283	0.002673	0.004434	0.001246	0.006046	0.001142	0.000620	0.000304	-10439.865
100	0.002883	0.002037	0.013586	0.002734	0.004078	0.001274	0.006184	0.001227	0.000634	0.000311	-10442.707
102	0.002883	0.002037	0.013586	0.002734	0.004902	0.001479	0.006184	0.001170	0.000590	0.000311	-10436.217
104	0.003394	0.002398	0.015990	0.003218	0.007400	0.001545	0.007279	0.001292	0.000736	0.000366	-10456.538
106	0.003394	0.002398	0.015990	0.003218	0.006411	0.001825	0.006305	0.001379	0.000679	0.000366	-10423.820
108	0.003394	0.002398	0.015990	0.003956	0.005762	0.002150	0.006305	0.001407	0.000631	0.000366	-10449.458
110	0.003394	0.002398	0.015990	0.003956	0.005969	0.002150	0.006361	0.001380	0.000631	0.000397	-10436.381
112	0.003087	0.002181	0.014543	0.004376	0.005428	0.001636	0.006416	0.001255	0.000616	0.000326	-10426.288
114	0.002766	0.002335	0.015573	0.003325	0.005388	0.002061	0.006871	0.001398	0.000625	0.000349	-10421.695
116	0.002766	0.002335	0.015573	0.002679	0.005587	0.002100	0.006871	0.001457	0.000620	0.000349	-10429.374
118	0.002941	0.002484	0.016562	0.002849	0.004685	0.002233	0.007307	0.001549	0.000659	0.000371	-10434.303
120	0.002941	0.002484	0.015731	0.002849	0.004903	0.002688	0.007307	0.001510	0.000610	0.000371	-10436.622
122	0.002941	0.002484	0.014303	0.002849	0.004415	0.002688	0.006743	0.001609	0.000610	0.000363	-10415.593
124	0.003334	0.002449	0.014102	0.002809	0.004455	0.002849	0.005919	0.001564	0.000585	0.000402	-10421.462
126	0.003900	0.002864	0.016493	0.003285	0.005454	0.002506	0.006922	0.001800	0.000684	0.000470	-10453.127
128	0.003335	0.002449	0.013653	0.002810	0.004896	0.002472	0.006446	0.001495	0.000561	0.000369	-10415.288
130	0.003541	0.002601	0.014496	0.002983	0.005337	0.002414	0.006844	0.001561	0.000595	0.000392	-10428.085
132	0.003119	0.002290	0.012766	0.002627	0.004582	0.002751	0.006110	0.001397	0.000492	0.000381	-10446.243
134	0.002635	0.001935	0.011568	0.002220	0.003570	0.002496	0.005088	0.001245	0.000409	0.000322	-10432.840
136	0.002635	0.001935	0.011568	0.002220	0.003377	0.002103	0.005088	0.001293	0.000425	0.000322	-10404.427
138	0.002635	0.001935	0.011568	0.002220	0.003672	0.002103	0.004457	0.001223	0.000425	0.000322	-10430.928
140	0.003022	0.002219	0.013268	0.002546	0.004487	0.002412	0.005112	0.001346	0.000488	0.000369	-10442.896
142	0.003022	0.002219	0.013268	0.002546	0.004678	0.002412	0.005112	0.001311	0.000488	0.000369	-10437.189
144	0.002992	0.002197	0.013134	0.002520	0.004673	0.002387	0.005061	0.001291	0.000483	0.000365	-10415.367
146	0.002992	0.002197	0.012530	0.002520	0.004943	0.002387	0.004277	0.001247	0.000483	0.000365	-10434.631
148	0.003128	0.002297	0.013102	0.002635	0.004504	0.003265	0.003903	0.001421	0.000505	0.000362	-10411.879
150	0.002767	0.002032	0.011588	0.002331	0.003712	0.002888	0.004714	0.001316	0.000446	0.000320	-10415.966
152	0.002767	0.002032	0.011588	0.001769	0.004090	0.002889	0.004714	0.001236	0.000446	0.000320	-10428.010
154	0.002603	0.001903	0.010904	0.001664	0.003936	0.002189	0.004436	0.001148	0.000449	0.000301	-10427.672
156	0.002603	0.002206	0.011969	0.001664	0.004157	0.002189	0.004249	0.001111	0.000449	0.000314	-10436.002
158	0.002603	0.002206	0.011969	0.001664	0.004030	0.002189	0.004249	0.001132	0.000449	0.000314	-10426.882
160	0.002952	0.002589	0.013571	0.001887	0.004139	0.002482	0.003247	0.001364	0.000509	0.000357	-10453.759
162	0.002646	0.002321	0.012167	0.001692	0.003940	0.002225	0.002302	0.001178	0.000456	0.000320	-10422.106
164	0.003046	0.002672	0.014006	0.001948	0.004931	0.002561	0.002649	0.001289	0.000525	0.000368	-10445.407
166	0.002817	0.002426	0.012951	0.001801	0.003834	0.002368	0.002450	0.001191	0.000486	0.000340	-10445.573
168	0.002817	0.002426	0.014094	0.001801	0.003834	0.002368	0.002450	0.001191	0.000486	0.000340	-10454.062
170	0.002930	0.002524	0.014663	0.001874	0.003757	0.002333	0.003466	0.001282	0.000514	0.000354	-10435.711
172	0.002930	0.002524	0.014692	0.001874	0.003757	0.002333	0.002717	0.001282	0.000514	0.000354	-10445.298
174	0.002930	0.002524	0.014692	0.001874	0.003757	0.001728	0.002717	0.001282	0.000570	0.000354	-10443.404
176	0.002930	0.002524	0.014692	0.001874	0.004780	0.001728	0.002717	0.001241	0.000570	0.000354	-10421.709
178	0.002930	0.002524	0.014473	0.001874	0.004931	0.001728	0.003213	0.001220	0.000570	0.000354	-10451.813
180	0.002930	0.002524	0.014473	0.001874	0.003983	0.001728	0.003800	0.001259	0.000570	0.000354	-10430.213
182	0.002905	0.002502	0.014217	0.001858	0.004219	0.001713	0.003767	0.001205	0.000565	0.000351	-10433.109
184	0.002905	0.002502	0.014217	0.001858	0.003845	0.001713	0.003767	0.001205	0.000565	0.000351	-10452.562
186	0.002962	0.002551	0.014494	0.001894	0.003920	0.001747	0.003841	0.001228	0.000576	0.000358	-10426.231
188	0.002635	0.002269	0.012892	0.001684	0.003415	0.001554	0.004112	0.001128	0.000512	0.000318	-10448.939
190	0.002930	0.002523	0.014338	0.001873	0.004127	0.001669	0.004574	0.001200	0.000577	0.000354	-10435.187
192	0.002521	0.001747	0.012336	0.001612	0.003551	0.001436	0.003935	0.001033	0.000497	0.000304	-10417.907
194	0.002521	0.001747	0.012336	0.001612	0.003452	0.001436	0.003935	0.001048	0.000497	0.000304	-10442.066
196	0.002521	0.001747	0.012336	0.001612	0.003754	0.001297	0.003935	0.001008	0.000517	0.000304	-10435.608
198	0.002535	0.001757	0.012405	0.001621	0.003268	0.001562	0.004561	0.001090	0.000485	0.000306	-10453.777
200	0.002930	0.002031	0.014340	0.001874	0.004217	0.001806	0.005273	0.001187	0.000560	0.000354	-10437.828
202	0.002595	0.001798	0.012699	0.001659	0.003735	0.001599	0.004670	0.001052	0.000496	0.000313	-10441.403
204	0.002845	0.001972	0.013923	0.001819	0.004095	0.001754	0.005120	0.001153	0.000544	0.000344	-10430.556
206	0.003358	0.002327	0.016434	0.002147	0.005231	0.002070	0.006043	0.001306	0.000642	0.000406	-10448.915
208	0.003358	0.002327	0.017162	0.002147	0.005051	0.002070	0.005293	0.001330	0.000642	0.000406	-10438.770
210	0.003823	0.002649	0.019539	0.002445	0.005472	0.002357	0.006907	0.001554	0.000731	0.000462	-10430.227
212	0.003678	0.002548	0.018794	0.002351	0.005114	0.002630	0.008079	0.001521	0.000667	0.000443	-10455.689
214	0.003252	0.002170	0.016570	0.002079	0.004157	0.002537	0.007144	0.001411	0.000574	0.000392	-10461.418
216	0.003607	0.002407	0.018900	0.002306	0.004917	0.003058	0.008393	0.001508	0.000636	0.000411	-10450.397
218	0.003607	0.002407	0.018900	0.002306	0.005332	0.003058	0.007019	0.001555	0.000636	0.000411	-10447.336
220	0.003150	0.002102	0.017069	0.002191	0.004090	0.002323	0.006130	0.001353	0.000585	0.000359	-10459.797
222	0.003150	0.002102	0.017707	0.002191	0.003776	0.002323	0.005111	0.001293	0.000585	0.000359	-10464.510
224	0.003150	0.002102	0.017075	0.002191	0.005491	0.002323	0.005111	0.001236	0.000585	0.000359	-10434.442
226	0.003237	0.002160	0.017546	0.003209	0.003883	0.002387	0.005252	0.001319	0.000601	0.000369	-10429.069
228	0.003256	0.002265	0.018395	0.003365	0.003452	0.002573	0.006042	0.001383	0.000683	0.000386	-10452.068
